parcel_id,project_id,survey_number,village,land_area_acres,land_use_type,ownership_type,owner_count,ownership_verified,ownership_conflict,document_status,acquisition_status,possession_status,compensation_status,legal_dispute_flag
PARCEL-0002971,LG-000296,Sy.No 105/3C,Bhavanipur (Alirajpur),565.12,Commercial,Private,3,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0002972,LG-000296,Sy.No 106/3C,Haripur (Alirajpur),565.12,Residential,Private,3,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0002973,LG-000296,Sy.No 107/2B,Govindpur (Alirajpur),565.12,Residential,Community,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0002974,LG-000296,Sy.No 108/1A,Gopalpur (Alirajpur),565.12,Commercial,Government,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0002975,LG-000296,Sy.No 109/1A,Sultanpur (Alirajpur),565.12,Residential,Government,2,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0002976,LG-000296,Sy.No 110/2B,Rampur (Alirajpur),565.12,Residential,Private,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0002977,LG-000296,Sy.No 111/1A,Devpur (Alirajpur),565.12,Barren,Private,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0002978,LG-000297,Sy.No 101/1A,Rampur (Anuppur),1011.27,Agricultural,Community,5,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0002979,LG-000297,Sy.No 102/3C,Rampur (Anuppur),1011.27,Agricultural,Community,2,0,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0002980,LG-000297,Sy.No 103/2B,Kalyanpur (Anuppur),1011.27,Agricultural,Private,2,0,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0002981,LG-000297,Sy.No 104/4D,Nandpur (Anuppur),1011.27,Barren,Community,1,1,1,Pending,Identified,Pending,Disputed,1
PARCEL-0002982,LG-000297,Sy.No 105/4D,Sultanpur (Anuppur),1011.27,Commercial,Government,4,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0002983,LG-000297,Sy.No 106/4D,Anandpur (Anuppur),1011.27,Residential,Private,5,0,1,Pending,Identified,Pending,Disputed,1
PARCEL-0002984,LG-000297,Sy.No 107/2B,Chandpur (Anuppur),1011.27,Commercial,Government,4,1,0,Rejected,Identified,Pending,Pending,0
PARCEL-0002985,LG-000298,Sy.No 101/4D,Nandpur (Ashoknagar),74.75,Agricultural,Community,5,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0002986,LG-000298,Sy.No 102/2B,Chandpur (Ashoknagar),74.75,Barren,Private,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0002987,LG-000298,Sy.No 103/4D,Kishanpur (Ashoknagar),74.75,Commercial,Community,1,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0002988,LG-000298,Sy.No 104/4D,Devpur (Ashoknagar),74.75,Commercial,Community,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0002989,LG-000298,Sy.No 105/1A,Gopalpur (Ashoknagar),74.75,Barren,Community,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0002990,LG-000298,Sy.No 106/3C,Govindpur (Ashoknagar),74.75,Commercial,Private,5,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0002991,LG-000298,Sy.No 107/2B,Fatehpur (Ashoknagar),74.75,Agricultural,Community,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0002992,LG-000298,Sy.No 108/4D,Sultanpur (Ashoknagar),74.75,Residential,Government,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0002993,LG-000298,Sy.No 109/2B,Govindpur (Ashoknagar),74.75,Barren,Community,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0002994,LG-000298,Sy.No 110/4D,Fatehpur (Ashoknagar),74.75,Barren,Private,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0002995,LG-000298,Sy.No 111/2B,Gopalpur (Ashoknagar),74.75,Commercial,Community,5,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0002996,LG-000299,Sy.No 101/4D,Govindpur (Balaghat),994.5,Barren,Government,5,0,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0002997,LG-000299,Sy.No 102/3C,Haripur (Balaghat),994.5,Residential,Government,1,1,0,Rejected,Identified,Pending,Pending,0
PARCEL-0002998,LG-000299,Sy.No 103/2B,Anandpur (Balaghat),994.5,Residential,Community,3,0,0,Rejected,Identified,Pending,Pending,0
PARCEL-0002999,LG-000299,Sy.No 104/3C,Anandpur (Balaghat),994.5,Commercial,Community,4,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0003000,LG-000299,Sy.No 105/4D,Chandpur (Balaghat),994.5,Barren,Government,1,0,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0003001,LG-000299,Sy.No 106/4D,Haripur (Balaghat),994.5,Agricultural,Government,4,0,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0003002,LG-000299,Sy.No 107/2B,Gopalpur (Balaghat),994.5,Residential,Community,2,0,1,Missing,Identified,Pending,Disputed,1
PARCEL-0003003,LG-000299,Sy.No 108/3C,Rampur (Balaghat),994.5,Residential,Government,3,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0003004,LG-000299,Sy.No 109/1A,Shivpur (Balaghat),994.5,Agricultural,Government,3,0,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0003005,LG-000300,Sy.No 101/1A,Anandpur (Barwani),588.1,Agricultural,Government,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003006,LG-000300,Sy.No 102/4D,Haripur (Barwani),588.1,Residential,Private,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003007,LG-000300,Sy.No 103/1A,Sultanpur (Barwani),588.1,Commercial,Private,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003008,LG-000300,Sy.No 104/2B,Sultanpur (Barwani),588.1,Commercial,Government,4,0,0,Verified,Transferred,In Progress,Pending,0
PARCEL-0003009,LG-000300,Sy.No 105/4D,Kalyanpur (Barwani),588.1,Barren,Private,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003010,LG-000300,Sy.No 106/1A,Haripur (Barwani),588.1,Barren,Community,3,0,0,Verified,Notified,In Progress,Pending,0
PARCEL-0003011,LG-000300,Sy.No 107/3C,Fatehpur (Barwani),588.1,Agricultural,Community,1,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003012,LG-000300,Sy.No 108/2B,Nandpur (Barwani),588.1,Agricultural,Government,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003013,LG-000301,Sy.No 101/3C,Sultanpur (Betul),688.78,Commercial,Private,2,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003014,LG-000301,Sy.No 102/2B,Nandpur (Betul),688.78,Residential,Government,3,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003015,LG-000301,Sy.No 103/1A,Anandpur (Betul),688.78,Commercial,Community,4,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003016,LG-000301,Sy.No 104/1A,Fatehpur (Betul),688.78,Barren,Private,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003017,LG-000301,Sy.No 105/4D,Haripur (Betul),688.78,Commercial,Government,1,1,1,Verified,Transferred,In Progress,Approved,1
PARCEL-0003018,LG-000301,Sy.No 106/4D,Chandpur (Betul),688.78,Agricultural,Private,1,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003019,LG-000301,Sy.No 107/1A,Fatehpur (Betul),688.78,Barren,Government,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003020,LG-000301,Sy.No 108/4D,Rampur (Betul),688.78,Barren,Private,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003021,LG-000301,Sy.No 109/1A,Kalyanpur (Betul),688.78,Barren,Community,4,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003022,LG-000301,Sy.No 110/1A,Kalyanpur (Betul),688.78,Residential,Private,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003023,LG-000301,Sy.No 111/4D,Govindpur (Betul),688.78,Barren,Private,3,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003024,LG-000301,Sy.No 112/1A,Fatehpur (Betul),688.78,Barren,Community,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003025,LG-000302,Sy.No 101/4D,Shivpur (Bhind),62.46,Residential,Private,5,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003026,LG-000302,Sy.No 102/2B,Fatehpur (Bhind),62.46,Residential,Private,2,0,0,Verified,Transferred,In Progress,Pending,0
PARCEL-0003027,LG-000302,Sy.No 103/2B,Govindpur (Bhind),62.46,Agricultural,Government,5,1,1,Verified,Notified,In Progress,Approved,1
PARCEL-0003028,LG-000302,Sy.No 104/3C,Nandpur (Bhind),62.46,Residential,Private,2,0,0,Verified,Transferred,In Progress,Pending,0
PARCEL-0003029,LG-000302,Sy.No 105/4D,Shivpur (Bhind),62.46,Agricultural,Community,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003030,LG-000302,Sy.No 106/2B,Bhavanipur (Bhind),62.46,Barren,Private,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003031,LG-000302,Sy.No 107/2B,Kishanpur (Bhind),62.46,Barren,Community,5,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003032,LG-000302,Sy.No 108/1A,Chandpur (Bhind),62.46,Agricultural,Private,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003033,LG-000302,Sy.No 109/1A,Madhavpur (Bhind),62.46,Residential,Private,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003034,LG-000302,Sy.No 110/1A,Rampur (Bhind),62.46,Agricultural,Private,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003035,LG-000302,Sy.No 111/3C,Haripur (Bhind),62.46,Residential,Government,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003036,LG-000302,Sy.No 112/3C,Govindpur (Bhind),62.46,Residential,Government,3,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003037,LG-000302,Sy.No 113/4D,Shivpur (Bhind),62.46,Barren,Government,4,1,1,Verified,Acquired,Taken,Approved,1
PARCEL-0003038,LG-000302,Sy.No 114/3C,Devpur (Bhind),62.46,Agricultural,Private,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003039,LG-000302,Sy.No 115/3C,Devpur (Bhind),62.46,Agricultural,Private,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003040,LG-000303,Sy.No 101/4D,Nandpur (Bhopal),746.09,Agricultural,Community,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003041,LG-000303,Sy.No 102/2B,Haripur (Bhopal),746.09,Commercial,Government,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003042,LG-000303,Sy.No 103/4D,Devpur (Bhopal),746.09,Barren,Community,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003043,LG-000303,Sy.No 104/4D,Rampur (Bhopal),746.09,Commercial,Government,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003044,LG-000303,Sy.No 105/2B,Devpur (Bhopal),746.09,Residential,Private,4,1,1,Verified,Acquired,Taken,Approved,1
PARCEL-0003045,LG-000303,Sy.No 106/1A,Shivpur (Bhopal),746.09,Agricultural,Government,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003046,LG-000303,Sy.No 107/1A,Sultanpur (Bhopal),746.09,Commercial,Private,5,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003047,LG-000304,Sy.No 101/2B,Govindpur (Burhanpur),1596.85,Barren,Community,2,1,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0003048,LG-000304,Sy.No 102/2B,Rampur (Burhanpur),1596.85,Residential,Government,3,0,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0003049,LG-000304,Sy.No 103/1A,Kalyanpur (Burhanpur),1596.85,Residential,Private,5,0,0,Pending,Identified,Pending,Pending,0
PARCEL-0003050,LG-000304,Sy.No 104/2B,Gopalpur (Burhanpur),1596.85,Commercial,Private,1,1,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0003051,LG-000304,Sy.No 105/3C,Govindpur (Burhanpur),1596.85,Agricultural,Private,1,0,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0003052,LG-000304,Sy.No 106/2B,Anandpur (Burhanpur),1596.85,Agricultural,Private,2,1,0,Pending,Identified,Pending,Pending,0
PARCEL-0003053,LG-000305,Sy.No 101/3C,Gopalpur (Chhatarpur),175.06,Commercial,Government,4,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0003054,LG-000305,Sy.No 102/2B,Kalyanpur (Chhatarpur),175.06,Barren,Private,2,1,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0003055,LG-000305,Sy.No 103/3C,Bhavanipur (Chhatarpur),175.06,Residential,Community,4,1,0,Rejected,Surveyed,Pending,Pending,0
PARCEL-0003056,LG-000305,Sy.No 104/3C,Chandpur (Chhatarpur),175.06,Residential,Community,4,1,0,Rejected,Identified,Pending,Pending,0
PARCEL-0003057,LG-000305,Sy.No 105/4D,Shivpur (Chhatarpur),175.06,Agricultural,Private,2,1,1,Pending,Identified,Pending,Disputed,1
PARCEL-0003058,LG-000305,Sy.No 106/1A,Anandpur (Chhatarpur),175.06,Agricultural,Government,3,0,1,Pending,Identified,Pending,Disputed,1
PARCEL-0003059,LG-000305,Sy.No 107/1A,Govindpur (Chhatarpur),175.06,Commercial,Private,1,1,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0003060,LG-000305,Sy.No 108/1A,Fatehpur (Chhatarpur),175.06,Residential,Government,2,1,0,Missing,Surveyed,Pending,Pending,0
PARCEL-0003061,LG-000305,Sy.No 109/3C,Fatehpur (Chhatarpur),175.06,Agricultural,Government,5,0,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0003062,LG-000305,Sy.No 110/1A,Madhavpur (Chhatarpur),175.06,Barren,Government,5,0,1,Pending,Identified,Pending,Disputed,1
PARCEL-0003063,LG-000305,Sy.No 111/2B,Devpur (Chhatarpur),175.06,Commercial,Government,4,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0003064,LG-000305,Sy.No 112/3C,Gopalpur (Chhatarpur),175.06,Barren,Government,5,0,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0003065,LG-000305,Sy.No 113/4D,Bhavanipur (Chhatarpur),175.06,Agricultural,Community,1,0,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0003066,LG-000306,Sy.No 101/4D,Devpur (Chhindwara),1267.08,Residential,Community,1,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003067,LG-000306,Sy.No 102/3C,Kishanpur (Chhindwara),1267.08,Agricultural,Community,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003068,LG-000306,Sy.No 103/4D,Rampur (Chhindwara),1267.08,Agricultural,Government,5,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003069,LG-000306,Sy.No 104/2B,Sultanpur (Chhindwara),1267.08,Barren,Private,2,0,0,Verified,Transferred,In Progress,Pending,0
PARCEL-0003070,LG-000306,Sy.No 105/1A,Anandpur (Chhindwara),1267.08,Commercial,Private,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003071,LG-000306,Sy.No 106/3C,Chandpur (Chhindwara),1267.08,Residential,Government,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003072,LG-000307,Sy.No 101/3C,Kalyanpur (Damoh),69.77,Residential,Community,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003073,LG-000307,Sy.No 102/2B,Haripur (Damoh),69.77,Barren,Community,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003074,LG-000307,Sy.No 103/1A,Sultanpur (Damoh),69.77,Commercial,Private,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003075,LG-000307,Sy.No 104/3C,Govindpur (Damoh),69.77,Barren,Community,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003076,LG-000307,Sy.No 105/4D,Madhavpur (Damoh),69.77,Commercial,Government,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003077,LG-000307,Sy.No 106/3C,Kalyanpur (Damoh),69.77,Commercial,Private,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003078,LG-000307,Sy.No 107/1A,Devpur (Damoh),69.77,Commercial,Private,5,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003079,LG-000307,Sy.No 108/3C,Chandpur (Damoh),69.77,Residential,Private,2,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003080,LG-000307,Sy.No 109/4D,Govindpur (Damoh),69.77,Commercial,Government,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003081,LG-000307,Sy.No 110/4D,Chandpur (Damoh),69.77,Residential,Community,3,0,0,Verified,Transferred,In Progress,Pending,0
PARCEL-0003082,LG-000307,Sy.No 111/4D,Fatehpur (Damoh),69.77,Commercial,Private,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003083,LG-000307,Sy.No 112/1A,Nandpur (Damoh),69.77,Agricultural,Community,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003084,LG-000308,Sy.No 101/3C,Fatehpur (Datia),841.56,Residential,Community,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003085,LG-000308,Sy.No 102/4D,Nandpur (Datia),841.56,Commercial,Private,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003086,LG-000308,Sy.No 103/1A,Govindpur (Datia),841.56,Commercial,Community,1,0,0,Verified,Transferred,In Progress,Pending,0
PARCEL-0003087,LG-000308,Sy.No 104/2B,Bhavanipur (Datia),841.56,Commercial,Community,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003088,LG-000308,Sy.No 105/2B,Madhavpur (Datia),841.56,Barren,Government,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003089,LG-000308,Sy.No 106/4D,Gopalpur (Datia),841.56,Commercial,Private,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003090,LG-000309,Sy.No 101/4D,Bhavanipur (Dewas),36.82,Barren,Community,3,1,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0003091,LG-000309,Sy.No 102/4D,Anandpur (Dewas),36.82,Residential,Community,2,0,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0003092,LG-000309,Sy.No 103/2B,Kalyanpur (Dewas),36.82,Commercial,Community,2,1,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0003093,LG-000309,Sy.No 104/4D,Haripur (Dewas),36.82,Residential,Private,1,1,0,Rejected,Identified,Pending,Pending,0
PARCEL-0003094,LG-000309,Sy.No 105/3C,Kishanpur (Dewas),36.82,Barren,Community,4,0,1,Missing,Identified,Pending,Disputed,1
PARCEL-0003095,LG-000309,Sy.No 106/1A,Shivpur (Dewas),36.82,Agricultural,Private,1,0,1,Pending,Identified,Pending,Disputed,1
PARCEL-0003096,LG-000309,Sy.No 107/4D,Fatehpur (Dewas),36.82,Commercial,Government,1,1,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0003097,LG-000309,Sy.No 108/2B,Chandpur (Dewas),36.82,Residential,Government,5,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0003098,LG-000309,Sy.No 109/4D,Devpur (Dewas),36.82,Agricultural,Government,4,1,0,Rejected,Surveyed,Pending,Pending,0
PARCEL-0003099,LG-000309,Sy.No 110/4D,Anandpur (Dewas),36.82,Barren,Community,3,1,0,Rejected,Identified,Pending,Pending,0
PARCEL-0003100,LG-000309,Sy.No 111/4D,Shivpur (Dewas),36.82,Barren,Private,2,0,0,Rejected,Surveyed,Pending,Pending,0
PARCEL-0003101,LG-000310,Sy.No 101/2B,Chandpur (Dhar),961.56,Barren,Community,2,1,0,Missing,Surveyed,Pending,Pending,0
PARCEL-0003102,LG-000310,Sy.No 102/3C,Sultanpur (Dhar),961.56,Residential,Government,5,1,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0003103,LG-000310,Sy.No 103/2B,Govindpur (Dhar),961.56,Barren,Private,2,0,0,Missing,Surveyed,Pending,Pending,0
PARCEL-0003104,LG-000310,Sy.No 104/2B,Bhavanipur (Dhar),961.56,Residential,Private,5,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0003105,LG-000310,Sy.No 105/2B,Haripur (Dhar),961.56,Commercial,Community,5,1,0,Missing,Surveyed,Pending,Pending,0
PARCEL-0003106,LG-000310,Sy.No 106/2B,Chandpur (Dhar),961.56,Barren,Government,1,0,1,Missing,Identified,Pending,Disputed,1
PARCEL-0003107,LG-000310,Sy.No 107/3C,Anandpur (Dhar),961.56,Agricultural,Community,2,1,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0003108,LG-000310,Sy.No 108/4D,Madhavpur (Dhar),961.56,Commercial,Community,1,1,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0003109,LG-000310,Sy.No 109/3C,Chandpur (Dhar),961.56,Barren,Private,2,0,0,Rejected,Surveyed,Pending,Pending,0
PARCEL-0003110,LG-000310,Sy.No 110/3C,Sultanpur (Dhar),961.56,Residential,Private,2,0,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0003111,LG-000311,Sy.No 101/1A,Gopalpur (Dindori),318.51,Residential,Government,1,1,1,Verified,Acquired,Taken,Approved,1
PARCEL-0003112,LG-000311,Sy.No 102/4D,Devpur (Dindori),318.51,Barren,Government,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003113,LG-000311,Sy.No 103/2B,Haripur (Dindori),318.51,Residential,Government,5,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003114,LG-000311,Sy.No 104/2B,Madhavpur (Dindori),318.51,Agricultural,Private,2,1,1,Verified,Notified,In Progress,Approved,1
PARCEL-0003115,LG-000311,Sy.No 105/2B,Bhavanipur (Dindori),318.51,Commercial,Government,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003116,LG-000311,Sy.No 106/3C,Govindpur (Dindori),318.51,Commercial,Private,5,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003117,LG-000311,Sy.No 107/3C,Sultanpur (Dindori),318.51,Residential,Private,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003118,LG-000311,Sy.No 108/1A,Govindpur (Dindori),318.51,Barren,Community,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003119,LG-000311,Sy.No 109/2B,Nandpur (Dindori),318.51,Residential,Community,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003120,LG-000311,Sy.No 110/2B,Fatehpur (Dindori),318.51,Residential,Private,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003121,LG-000311,Sy.No 111/1A,Govindpur (Dindori),318.51,Agricultural,Private,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003122,LG-000311,Sy.No 112/2B,Devpur (Dindori),318.51,Residential,Community,1,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003123,LG-000311,Sy.No 113/1A,Kalyanpur (Dindori),318.51,Agricultural,Government,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003124,LG-000312,Sy.No 101/1A,Bhavanipur (Guna),666.52,Residential,Government,4,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0003125,LG-000312,Sy.No 102/4D,Chandpur (Guna),666.52,Barren,Private,5,0,1,Pending,Identified,Pending,Disputed,1
PARCEL-0003126,LG-000312,Sy.No 103/1A,Haripur (Guna),666.52,Commercial,Community,4,1,0,Missing,Identified,Pending,Pending,0
PARCEL-0003127,LG-000312,Sy.No 104/4D,Shivpur (Guna),666.52,Residential,Government,5,1,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0003128,LG-000312,Sy.No 105/4D,Kishanpur (Guna),666.52,Agricultural,Private,3,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0003129,LG-000312,Sy.No 106/3C,Kishanpur (Guna),666.52,Residential,Private,1,0,1,Missing,Identified,Pending,Disputed,1
PARCEL-0003130,LG-000312,Sy.No 107/4D,Anandpur (Guna),666.52,Agricultural,Community,4,0,0,Rejected,Identified,Pending,Pending,0
PARCEL-0003131,LG-000312,Sy.No 108/3C,Fatehpur (Guna),666.52,Agricultural,Government,1,1,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0003132,LG-000313,Sy.No 101/3C,Rampur (Gwalior),390.08,Barren,Private,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003133,LG-000313,Sy.No 102/2B,Nandpur (Gwalior),390.08,Barren,Government,2,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003134,LG-000313,Sy.No 103/4D,Bhavanipur (Gwalior),390.08,Barren,Private,3,1,1,Verified,Transferred,In Progress,Approved,1
PARCEL-0003135,LG-000313,Sy.No 104/4D,Haripur (Gwalior),390.08,Barren,Government,5,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003136,LG-000313,Sy.No 105/4D,Anandpur (Gwalior),390.08,Residential,Community,5,1,1,Verified,Acquired,Taken,Approved,1
PARCEL-0003137,LG-000313,Sy.No 106/4D,Gopalpur (Gwalior),390.08,Barren,Private,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0003138,LG-000313,Sy.No 107/4D,Nandpur (Gwalior),390.08,Commercial,Private,3,0,1,Verified,Transferred,In Progress,Pending,1
PARCEL-0003139,LG-000313,Sy.No 108/4D,Nandpur (Gwalior),390.08,Residential,Community,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003140,LG-000313,Sy.No 109/4D,Haripur (Gwalior),390.08,Agricultural,Government,1,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003141,LG-000313,Sy.No 110/2B,Shivpur (Gwalior),390.08,Agricultural,Community,1,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0003142,LG-000313,Sy.No 111/4D,Govindpur (Gwalior),390.08,Commercial,Community,4,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003143,LG-000313,Sy.No 112/3C,Nandpur (Gwalior),390.08,Residential,Private,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0003144,LG-000314,Sy.No 101/2B,Sultanpur (Harda),101.88,Commercial,Government,3,1,0,Rejected,Surveyed,Pending,Pending,0
PARCEL-0003145,LG-000314,Sy.No 102/4D,Kishanpur (Harda),101.88,Residential,Private,1,0,1,Pending,Identified,Pending,Disputed,1
PARCEL-0003146,LG-000314,Sy.No 103/3C,Chandpur (Harda),101.88,Commercial,Private,2,1,0,Missing,Identified,Pending,Pending,0
PARCEL-0003147,LG-000314,Sy.No 104/1A,Kalyanpur (Harda),101.88,Agricultural,Community,1,1,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0003148,LG-000314,Sy.No 105/1A,Govindpur (Harda),101.88,Residential,Private,5,1,0,Pending,Identified,Pending,Pending,0
PARCEL-0003149,LG-000314,Sy.No 106/2B,Chandpur (Harda),101.88,Commercial,Government,2,0,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0003150,LG-000314,Sy.No 107/2B,Devpur (Harda),101.88,Residential,Private,1,1,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0003151,LG-000314,Sy.No 108/2B,Sultanpur (Harda),101.88,Commercial,Private,1,1,0,Rejected,Surveyed,Pending,Pending,0
PARCEL-0003152,LG-000314,Sy.No 109/1A,Shivpur (Harda),101.88,Residential,Private,4,0,1,Rejected,Surveyed,Pending,Disputed,1
