admin_id,project_id,department,officer_workload,active_case_count,pending_case_count,staff_available,average_processing_days,approval_backlog,historical_delay_rate,coordination_score
ADM-0001031,LG-000286,Land Records Cell,High,13,30,3,95,15,0.73,4.6
ADM-0001032,LG-000286,Environmental Cell,High,48,16,12,91,21,0.81,3.5
ADM-0001033,LG-000286,Public Works Dept,High,13,23,9,119,12,0.54,2.9
ADM-0001034,LG-000287,Revenue Department,Medium,30,25,13,28,9,0.29,7.6
ADM-0001035,LG-000287,Land Records Cell,Medium,27,10,9,32,5,0.25,8.5
ADM-0001036,LG-000287,Environmental Cell,Medium,16,17,14,30,1,0.15,9.4
ADM-0001037,LG-000287,Public Works Dept,Medium,35,13,6,34,3,0.28,7.8
ADM-0001038,LG-000288,Revenue Department,High,32,27,5,72,31,0.79,3.5
ADM-0001039,LG-000288,Land Records Cell,High,45,29,2,54,16,0.85,4.4
ADM-0001040,LG-000288,Environmental Cell,High,29,23,6,108,18,0.72,4.6
ADM-0001041,LG-000288,Public Works Dept,High,18,8,6,67,20,0.52,4.1
ADM-0001042,LG-000288,Irrigation Department,High,44,10,9,57,27,0.75,3.7
ADM-0001043,LG-000289,Revenue Department,High,19,20,12,117,29,0.69,2.9
ADM-0001044,LG-000289,Land Records Cell,High,49,13,15,52,35,0.81,2.4
ADM-0001045,LG-000289,Environmental Cell,High,43,24,15,111,28,0.78,3.2
ADM-0001046,LG-000289,Public Works Dept,High,21,29,14,118,17,0.74,4.1
ADM-0001047,LG-000289,Irrigation Department,High,34,19,6,52,26,0.69,3.1
ADM-0001048,LG-000290,Revenue Department,Medium,13,27,8,29,2,0.22,9.0
ADM-0001049,LG-000290,Land Records Cell,Medium,29,8,9,29,10,0.16,8.3
ADM-0001050,LG-000290,Environmental Cell,Medium,23,6,5,17,5,0.07,9.7
ADM-0001051,LG-000290,Public Works Dept,Medium,38,17,8,11,0,0.1,8.2
ADM-0001052,LG-000290,Irrigation Department,Medium,30,15,2,16,8,0.31,7.4
ADM-0001053,LG-000291,Revenue Department,High,25,24,10,115,23,0.63,3.8
ADM-0001054,LG-000291,Land Records Cell,High,37,18,10,96,25,0.49,5.0
ADM-0001055,LG-000291,Environmental Cell,High,42,8,15,90,31,0.51,3.7
ADM-0001056,LG-000292,Revenue Department,Medium,19,29,6,14,6,0.34,9.7
ADM-0001057,LG-000292,Land Records Cell,Medium,49,18,12,40,9,0.29,8.4
ADM-0001058,LG-000292,Environmental Cell,Medium,38,18,10,23,9,0.29,9.2
ADM-0001059,LG-000292,Public Works Dept,Medium,13,19,10,15,8,0.29,6.9
ADM-0001060,LG-000293,Revenue Department,High,19,15,14,58,21,0.51,2.1
ADM-0001061,LG-000293,Land Records Cell,High,26,25,5,47,27,0.41,3.0
ADM-0001062,LG-000293,Environmental Cell,High,15,6,14,49,15,0.55,2.1
ADM-0001063,LG-000294,Revenue Department,Medium,45,14,10,15,7,0.15,7.8
ADM-0001064,LG-000294,Land Records Cell,Medium,33,24,10,25,6,0.28,9.5
ADM-0001065,LG-000294,Environmental Cell,Medium,46,13,3,40,3,0.33,6.5
ADM-0001066,LG-000294,Public Works Dept,Medium,38,7,2,23,2,0.12,9.0
ADM-0001067,LG-000295,Revenue Department,High,46,9,14,101,28,0.62,3.2
ADM-0001068,LG-000295,Land Records Cell,High,10,13,2,68,24,0.45,4.6
ADM-0001069,LG-000295,Environmental Cell,High,23,29,2,59,10,0.42,4.0
ADM-0001070,LG-000295,Public Works Dept,High,27,23,15,89,14,0.55,2.8
ADM-0001071,LG-000296,Revenue Department,Medium,42,22,12,38,7,0.27,8.3
ADM-0001072,LG-000296,Land Records Cell,Medium,39,21,4,34,6,0.15,6.7
ADM-0001073,LG-000296,Environmental Cell,Medium,50,11,3,33,2,0.33,7.7
ADM-0001074,LG-000296,Public Works Dept,Medium,28,21,13,40,3,0.18,7.0
ADM-0001075,LG-000296,Irrigation Department,Medium,24,24,8,25,1,0.21,7.2
ADM-0001076,LG-000297,Revenue Department,High,50,19,6,55,38,0.79,4.1
ADM-0001077,LG-000297,Land Records Cell,High,10,27,7,92,13,0.6,4.0
ADM-0001078,LG-000297,Environmental Cell,High,18,28,11,104,24,0.81,2.5
ADM-0001079,LG-000298,Revenue Department,Medium,10,14,11,36,8,0.11,7.8
ADM-0001080,LG-000298,Land Records Cell,Medium,25,10,9,25,0,0.11,6.7
ADM-0001081,LG-000298,Environmental Cell,Medium,47,12,4,26,8,0.29,8.6
ADM-0001082,LG-000298,Public Works Dept,Medium,41,15,4,20,7,0.18,9.1
ADM-0001083,LG-000298,Irrigation Department,Medium,40,16,12,15,6,0.13,7.9
ADM-0001084,LG-000299,Revenue Department,High,11,6,14,58,29,0.55,4.6
ADM-0001085,LG-000299,Land Records Cell,High,29,5,10,105,18,0.68,2.1
ADM-0001086,LG-000300,Revenue Department,Medium,48,17,14,38,10,0.35,6.6
ADM-0001087,LG-000300,Land Records Cell,Medium,16,11,5,10,7,0.19,9.4
ADM-0001088,LG-000300,Environmental Cell,Medium,18,24,4,26,7,0.15,9.6
ADM-0001089,LG-000300,Public Works Dept,Medium,32,12,14,34,10,0.09,9.5
ADM-0001090,LG-000301,Revenue Department,Medium,48,24,10,22,5,0.26,8.3
ADM-0001091,LG-000301,Land Records Cell,Medium,44,28,13,36,9,0.33,7.1
ADM-0001092,LG-000301,Environmental Cell,Medium,13,22,7,26,2,0.13,9.6
ADM-0001093,LG-000301,Public Works Dept,Medium,31,30,2,39,3,0.24,7.9
ADM-0001094,LG-000302,Revenue Department,Medium,12,16,9,33,2,0.31,9.0
ADM-0001095,LG-000302,Land Records Cell,Medium,46,25,15,18,4,0.23,6.7
ADM-0001096,LG-000303,Revenue Department,Medium,47,11,11,29,10,0.33,6.9
ADM-0001097,LG-000303,Land Records Cell,Medium,46,27,8,33,8,0.34,7.9
ADM-0001098,LG-000303,Environmental Cell,Medium,17,8,15,38,3,0.2,8.5
ADM-0001099,LG-000304,Revenue Department,High,28,6,5,64,27,0.68,4.6
ADM-0001100,LG-000304,Land Records Cell,High,19,14,9,87,17,0.76,4.8
ADM-0001101,LG-000304,Environmental Cell,High,35,22,12,46,15,0.65,3.9
ADM-0001102,LG-000304,Public Works Dept,High,36,8,13,81,35,0.56,2.8
ADM-0001103,LG-000305,Revenue Department,High,29,15,5,72,19,0.72,4.6
ADM-0001104,LG-000305,Land Records Cell,High,48,28,7,97,28,0.85,4.8
ADM-0001105,LG-000305,Environmental Cell,High,10,8,5,111,40,0.84,4.1
ADM-0001106,LG-000305,Public Works Dept,High,48,22,8,78,23,0.64,4.7
ADM-0001107,LG-000305,Irrigation Department,High,43,30,2,109,33,0.72,4.7
ADM-0001108,LG-000306,Revenue Department,Medium,22,12,9,40,4,0.3,9.6
ADM-0001109,LG-000306,Land Records Cell,Medium,32,18,10,26,9,0.18,8.2
ADM-0001110,LG-000306,Environmental Cell,Medium,40,12,6,25,0,0.18,9.3
ADM-0001111,LG-000306,Public Works Dept,Medium,28,18,4,20,9,0.23,8.1
ADM-0001112,LG-000307,Revenue Department,Medium,31,18,9,30,5,0.17,7.8
ADM-0001113,LG-000307,Land Records Cell,Medium,26,10,2,28,5,0.22,9.7
ADM-0001114,LG-000307,Environmental Cell,Medium,20,19,12,38,5,0.05,8.6
ADM-0001115,LG-000307,Public Works Dept,Medium,28,18,7,35,6,0.18,6.9
ADM-0001116,LG-000307,Irrigation Department,Medium,36,29,4,31,9,0.3,9.5
ADM-0001117,LG-000308,Revenue Department,Medium,12,30,14,34,0,0.1,7.2
ADM-0001118,LG-000308,Land Records Cell,Medium,16,12,9,14,6,0.28,9.8
ADM-0001119,LG-000309,Revenue Department,High,24,16,5,50,33,0.83,4.3
ADM-0001120,LG-000309,Land Records Cell,High,38,29,4,60,26,0.61,3.1
ADM-0001121,LG-000309,Environmental Cell,High,22,14,7,107,36,0.81,3.5
ADM-0001122,LG-000309,Public Works Dept,High,42,12,11,117,35,0.72,3.4
ADM-0001123,LG-000310,Revenue Department,High,40,24,8,70,33,0.42,4.8
ADM-0001124,LG-000310,Land Records Cell,High,32,23,10,111,31,0.83,2.0
ADM-0001125,LG-000310,Environmental Cell,High,13,5,2,80,31,0.58,3.5
ADM-0001126,LG-000310,Public Works Dept,High,32,9,13,83,37,0.75,3.9
ADM-0001127,LG-000310,Irrigation Department,High,13,19,8,90,15,0.71,4.2
ADM-0001128,LG-000311,Revenue Department,Medium,35,11,4,31,9,0.15,9.6
ADM-0001129,LG-000311,Land Records Cell,Medium,36,19,6,24,0,0.25,9.7
ADM-0001130,LG-000311,Environmental Cell,Medium,39,16,8,38,10,0.33,8.5
ADM-0001131,LG-000311,Public Works Dept,Medium,12,13,4,18,4,0.24,9.2
ADM-0001132,LG-000312,Revenue Department,High,26,25,10,69,35,0.79,3.8
ADM-0001133,LG-000312,Land Records Cell,High,21,17,13,84,29,0.78,4.8
ADM-0001134,LG-000312,Environmental Cell,High,20,22,14,118,36,0.83,3.5
ADM-0001135,LG-000313,Revenue Department,Medium,50,28,14,28,8,0.31,7.8
ADM-0001136,LG-000313,Land Records Cell,Medium,39,24,12,19,2,0.09,7.7
ADM-0001137,LG-000313,Environmental Cell,Medium,42,16,11,38,2,0.29,8.0
ADM-0001138,LG-000313,Public Works Dept,Medium,32,29,15,13,3,0.05,8.5
ADM-0001139,LG-000314,Revenue Department,High,29,26,10,115,11,0.73,5.0
ADM-0001140,LG-000314,Land Records Cell,High,18,15,13,75,29,0.81,2.1
ADM-0001141,LG-000314,Environmental Cell,High,23,10,15,59,38,0.56,4.3
ADM-0001142,LG-000314,Public Works Dept,High,34,11,15,98,10,0.76,2.0
ADM-0001143,LG-000314,Irrigation Department,High,18,14,7,55,36,0.62,2.3
ADM-0001144,LG-000315,Revenue Department,Medium,34,12,12,19,2,0.26,8.3
ADM-0001145,LG-000315,Land Records Cell,Medium,48,20,9,15,6,0.1,8.6
ADM-0001146,LG-000316,Revenue Department,Medium,45,24,8,28,5,0.2,8.9
ADM-0001147,LG-000316,Land Records Cell,Medium,50,16,3,25,4,0.24,7.4
ADM-0001148,LG-000317,Revenue Department,Medium,37,18,6,40,0,0.07,7.4
ADM-0001149,LG-000317,Land Records Cell,Medium,47,6,11,32,0,0.08,7.2
ADM-0001150,LG-000318,Revenue Department,Medium,45,22,7,13,0,0.08,9.4
ADM-0001151,LG-000318,Land Records Cell,Medium,14,29,12,34,1,0.29,8.7
ADM-0001152,LG-000318,Environmental Cell,Medium,27,6,9,26,1,0.13,7.1
ADM-0001153,LG-000318,Public Works Dept,Medium,35,12,4,39,7,0.14,7.1
ADM-0001154,LG-000319,Revenue Department,Medium,42,29,12,25,3,0.05,8.5
ADM-0001155,LG-000319,Land Records Cell,Medium,29,26,6,37,1,0.34,8.3
ADM-0001156,LG-000319,Environmental Cell,Medium,20,12,6,27,2,0.1,9.8
ADM-0001157,LG-000319,Public Works Dept,Medium,39,7,7,30,5,0.26,7.6
ADM-0001158,LG-000320,Revenue Department,Medium,43,5,6,17,9,0.11,8.5
ADM-0001159,LG-000320,Land Records Cell,Medium,44,22,12,38,1,0.25,8.2
ADM-0001160,LG-000320,Environmental Cell,Medium,47,18,9,20,0,0.14,7.9
ADM-0001161,LG-000320,Public Works Dept,Medium,27,25,13,16,0,0.2,7.1
ADM-0001162,LG-000321,Revenue Department,Medium,26,22,14,21,4,0.31,7.1
ADM-0001163,LG-000321,Land Records Cell,Medium,42,28,15,19,8,0.26,7.3
ADM-0001164,LG-000321,Environmental Cell,Medium,46,27,12,34,5,0.08,8.5
ADM-0001165,LG-000321,Public Works Dept,Medium,27,20,9,13,8,0.18,8.1
ADM-0001166,LG-000321,Irrigation Department,Medium,10,21,7,33,10,0.17,7.7
ADM-0001167,LG-000322,Revenue Department,High,46,17,10,116,35,0.43,3.7
ADM-0001168,LG-000322,Land Records Cell,High,19,22,3,45,26,0.6,2.3
ADM-0001169,LG-000322,Environmental Cell,High,50,17,12,114,14,0.8,4.9
ADM-0001170,LG-000323,Revenue Department,High,39,15,13,71,37,0.67,2.8
ADM-0001171,LG-000323,Land Records Cell,High,22,14,5,53,21,0.48,4.5
ADM-0001172,LG-000323,Environmental Cell,High,21,16,15,110,11,0.69,2.4
ADM-0001173,LG-000323,Public Works Dept,High,47,22,4,87,12,0.75,4.8
ADM-0001174,LG-000324,Revenue Department,High,15,26,3,68,40,0.45,3.7
ADM-0001175,LG-000324,Land Records Cell,High,17,8,8,105,16,0.6,4.7
ADM-0001176,LG-000325,Revenue Department,Medium,36,30,13,25,8,0.15,7.7
ADM-0001177,LG-000325,Land Records Cell,Medium,38,18,2,20,8,0.19,9.5
ADM-0001178,LG-000326,Revenue Department,High,27,7,8,94,26,0.76,4.0
ADM-0001179,LG-000326,Land Records Cell,High,25,15,13,107,31,0.59,2.7
ADM-0001180,LG-000326,Environmental Cell,High,14,8,11,101,35,0.67,4.2
ADM-0001181,LG-000326,Public Works Dept,High,17,21,5,56,32,0.58,3.5
ADM-0001182,LG-000326,Irrigation Department,High,39,14,7,75,21,0.44,4.9
ADM-0001183,LG-000327,Revenue Department,High,47,21,15,79,10,0.45,2.9
ADM-0001184,LG-000327,Land Records Cell,High,45,21,2,102,19,0.52,3.5
ADM-0001185,LG-000327,Environmental Cell,High,17,24,4,103,23,0.5,4.9
ADM-0001186,LG-000328,Revenue Department,High,37,6,4,64,14,0.6,2.8
ADM-0001187,LG-000328,Land Records Cell,High,19,27,14,56,25,0.65,4.9
ADM-0001188,LG-000329,Revenue Department,High,11,16,8,104,19,0.43,3.6
ADM-0001189,LG-000329,Land Records Cell,High,19,25,11,83,31,0.49,3.0
ADM-0001190,LG-000330,Revenue Department,Medium,19,26,3,13,8,0.15,9.4
ADM-0001191,LG-000330,Land Records Cell,Medium,31,12,15,16,9,0.24,8.8
ADM-0001192,LG-000331,Revenue Department,High,25,16,15,109,40,0.78,3.1
ADM-0001193,LG-000331,Land Records Cell,High,20,17,11,51,38,0.66,2.3
ADM-0001194,LG-000331,Environmental Cell,High,49,18,5,66,17,0.57,4.3
ADM-0001195,LG-000332,Revenue Department,Medium,10,19,4,34,1,0.3,9.3
ADM-0001196,LG-000332,Land Records Cell,Medium,17,10,7,28,6,0.32,7.8
ADM-0001197,LG-000332,Environmental Cell,Medium,38,23,14,32,5,0.17,6.9
ADM-0001198,LG-000332,Public Works Dept,Medium,49,11,13,21,3,0.06,8.4
ADM-0001199,LG-000333,Revenue Department,High,20,8,11,120,30,0.64,5.0
ADM-0001200,LG-000333,Land Records Cell,High,46,11,11,94,32,0.73,3.5
ADM-0001201,LG-000333,Environmental Cell,High,22,8,4,92,23,0.71,3.2
ADM-0001202,LG-000333,Public Works Dept,High,26,9,2,94,14,0.45,4.3
ADM-0001203,LG-000334,Revenue Department,High,22,17,4,57,27,0.53,2.2
ADM-0001204,LG-000334,Land Records Cell,High,39,13,7,85,36,0.64,4.7
ADM-0001205,LG-000334,Environmental Cell,High,47,8,3,98,22,0.45,2.7
ADM-0001206,LG-000334,Public Works Dept,High,27,27,14,108,19,0.48,4.4
ADM-0001207,LG-000334,Irrigation Department,High,47,24,3,81,16,0.44,4.6
ADM-0001208,LG-000335,Revenue Department,High,22,17,3,108,28,0.65,2.8
ADM-0001209,LG-000335,Land Records Cell,High,44,23,11,109,35,0.49,3.6
ADM-0001210,LG-000335,Environmental Cell,High,41,14,12,79,26,0.55,2.4
ADM-0001211,LG-000335,Public Works Dept,High,18,13,14,53,25,0.79,3.1
ADM-0001212,LG-000335,Irrigation Department,High,16,30,12,98,19,0.81,4.9
ADM-0001213,LG-000336,Revenue Department,High,39,25,4,57,23,0.48,4.0
ADM-0001214,LG-000336,Land Records Cell,High,45,15,9,113,27,0.52,2.9
ADM-0001215,LG-000336,Environmental Cell,High,31,22,7,45,27,0.81,3.5
ADM-0001216,LG-000336,Public Works Dept,High,37,7,2,85,31,0.61,3.2
ADM-0001217,LG-000336,Irrigation Department,High,30,9,10,77,22,0.72,3.0
ADM-0001218,LG-000337,Revenue Department,High,46,29,12,120,27,0.45,3.0
ADM-0001219,LG-000337,Land Records Cell,High,31,8,12,103,25,0.52,2.9
ADM-0001220,LG-000337,Environmental Cell,High,19,7,11,108,35,0.43,2.5
ADM-0001221,LG-000337,Public Works Dept,High,36,12,6,111,40,0.49,2.7
ADM-0001222,LG-000338,Revenue Department,Medium,39,20,15,36,3,0.29,7.7
ADM-0001223,LG-000338,Land Records Cell,Medium,37,27,9,12,9,0.31,8.5
ADM-0001224,LG-000338,Environmental Cell,Medium,31,15,8,27,2,0.07,9.0
ADM-0001225,LG-000339,Revenue Department,Medium,48,23,3,14,0,0.3,8.7
ADM-0001226,LG-000339,Land Records Cell,Medium,31,15,11,26,9,0.27,9.6
ADM-0001227,LG-000339,Environmental Cell,Medium,43,11,9,33,7,0.31,9.8
ADM-0001228,LG-000340,Revenue Department,Medium,33,13,13,15,7,0.32,9.5
ADM-0001229,LG-000340,Land Records Cell,Medium,48,11,3,24,10,0.19,8.1
ADM-0001230,LG-000340,Environmental Cell,Medium,18,30,5,31,0,0.25,8.6
ADM-0001231,LG-000341,Revenue Department,Medium,37,8,14,31,8,0.13,7.8
ADM-0001232,LG-000341,Land Records Cell,Medium,27,28,14,32,8,0.24,7.5
ADM-0001233,LG-000341,Environmental Cell,Medium,27,18,14,37,0,0.3,8.2
ADM-0001234,LG-000342,Revenue Department,High,43,5,6,62,22,0.76,2.4
ADM-0001235,LG-000342,Land Records Cell,High,47,18,8,116,14,0.73,4.3
ADM-0001236,LG-000342,Environmental Cell,High,27,30,9,79,22,0.68,3.0
ADM-0001237,LG-000342,Public Works Dept,High,38,18,11,61,18,0.59,3.0
ADM-0001238,LG-000343,Revenue Department,Medium,14,27,4,33,5,0.15,7.5
ADM-0001239,LG-000343,Land Records Cell,Medium,36,24,4,39,3,0.07,9.1
ADM-0001240,LG-000343,Environmental Cell,Medium,17,27,13,33,4,0.29,9.3
ADM-0001241,LG-000343,Public Works Dept,Medium,34,6,5,21,1,0.27,7.2
ADM-0001242,LG-000343,Irrigation Department,Medium,23,12,11,13,8,0.34,8.6
ADM-0001243,LG-000344,Revenue Department,Medium,12,27,8,14,8,0.17,7.3
ADM-0001244,LG-000344,Land Records Cell,Medium,50,24,4,16,1,0.19,8.8
ADM-0001245,LG-000345,Revenue Department,High,20,10,9,96,29,0.77,4.2
ADM-0001246,LG-000345,Land Records Cell,High,37,10,8,80,18,0.5,4.4
ADM-0001247,LG-000345,Environmental Cell,High,18,19,10,111,20,0.56,2.8
ADM-0001248,LG-000345,Public Works Dept,High,47,9,15,93,34,0.46,4.8
ADM-0001249,LG-000346,Revenue Department,Medium,37,9,3,40,2,0.33,7.9
ADM-0001250,LG-000346,Land Records Cell,Medium,25,15,2,20,7,0.05,8.4
ADM-0001251,LG-000346,Environmental Cell,Medium,16,28,13,34,7,0.2,8.1
ADM-0001252,LG-000346,Public Works Dept,Medium,36,25,5,19,2,0.21,7.2
ADM-0001253,LG-000346,Irrigation Department,Medium,18,11,13,33,10,0.25,7.3
ADM-0001254,LG-000347,Revenue Department,High,50,18,4,64,16,0.45,2.3
ADM-0001255,LG-000347,Land Records Cell,High,20,10,8,98,24,0.56,3.0
ADM-0001256,LG-000347,Environmental Cell,High,44,11,9,71,33,0.8,3.4
ADM-0001257,LG-000347,Public Works Dept,High,49,21,9,75,19,0.79,3.2
ADM-0001258,LG-000347,Irrigation Department,High,49,30,15,75,29,0.44,4.3
ADM-0001259,LG-000348,Revenue Department,Medium,22,12,15,30,8,0.08,7.0
ADM-0001260,LG-000348,Land Records Cell,Medium,16,18,2,25,6,0.09,7.6
ADM-0001261,LG-000348,Environmental Cell,Medium,37,14,15,35,0,0.11,7.8
ADM-0001262,LG-000348,Public Works Dept,Medium,29,5,13,22,9,0.18,7.0
ADM-0001263,LG-000349,Revenue Department,Medium,16,9,9,17,3,0.14,7.7
ADM-0001264,LG-000349,Land Records Cell,Medium,33,17,13,16,5,0.12,9.1
ADM-0001265,LG-000349,Environmental Cell,Medium,43,14,15,25,6,0.1,7.8
ADM-0001266,LG-000349,Public Works Dept,Medium,19,21,10,14,10,0.24,8.7
ADM-0001267,LG-000350,Revenue Department,Medium,11,14,3,35,8,0.25,9.5
ADM-0001268,LG-000350,Land Records Cell,Medium,38,22,15,22,3,0.29,8.0
ADM-0001269,LG-000350,Environmental Cell,Medium,14,21,2,22,5,0.34,8.4
ADM-0001270,LG-000350,Public Works Dept,Medium,24,11,12,26,1,0.14,9.2
ADM-0001271,LG-000350,Irrigation Department,Medium,30,26,13,29,7,0.11,8.8
ADM-0001272,LG-000351,Revenue Department,Medium,22,17,15,19,3,0.29,9.0
ADM-0001273,LG-000351,Land Records Cell,Medium,11,25,9,11,1,0.24,8.5
ADM-0001274,LG-000351,Environmental Cell,Medium,47,16,2,30,5,0.31,9.2
ADM-0001275,LG-000351,Public Works Dept,Medium,36,30,8,12,0,0.32,6.9
ADM-0001276,LG-000351,Irrigation Department,Medium,37,16,2,19,10,0.24,8.5
ADM-0001277,LG-000352,Revenue Department,Medium,40,9,7,12,3,0.3,8.3
ADM-0001278,LG-000352,Land Records Cell,Medium,23,23,11,24,5,0.14,8.3
ADM-0001279,LG-000352,Environmental Cell,Medium,22,21,7,25,3,0.09,7.7
ADM-0001280,LG-000353,Revenue Department,High,19,26,5,62,25,0.44,2.7
ADM-0001281,LG-000353,Land Records Cell,High,11,24,2,84,36,0.57,4.1
ADM-0001282,LG-000353,Environmental Cell,High,17,9,11,96,36,0.51,4.6
ADM-0001283,LG-000354,Revenue Department,Medium,17,6,14,21,0,0.11,8.4
ADM-0001284,LG-000354,Land Records Cell,Medium,15,29,3,13,7,0.25,8.3
ADM-0001285,LG-000354,Environmental Cell,Medium,41,22,13,14,2,0.3,8.2
ADM-0001286,LG-000354,Public Works Dept,Medium,31,14,15,37,7,0.17,8.2
ADM-0001287,LG-000355,Revenue Department,High,31,27,2,104,30,0.76,3.0
ADM-0001288,LG-000355,Land Records Cell,High,30,11,4,77,19,0.84,3.8
ADM-0001289,LG-000356,Revenue Department,Medium,18,19,9,27,8,0.16,6.7
ADM-0001290,LG-000356,Land Records Cell,Medium,17,9,9,34,3,0.22,8.3
ADM-0001291,LG-000356,Environmental Cell,Medium,36,13,7,36,1,0.17,9.8
ADM-0001292,LG-000356,Public Works Dept,Medium,43,16,13,10,5,0.29,6.9
ADM-0001293,LG-000357,Revenue Department,Medium,28,20,14,29,10,0.25,8.4
ADM-0001294,LG-000357,Land Records Cell,Medium,27,29,15,37,5,0.16,7.2
ADM-0001295,LG-000357,Environmental Cell,Medium,47,16,4,30,7,0.18,8.8
ADM-0001296,LG-000357,Public Works Dept,Medium,45,5,15,11,5,0.17,7.4
ADM-0001297,LG-000357,Irrigation Department,Medium,27,27,14,32,3,0.21,9.5
ADM-0001298,LG-000358,Revenue Department,High,16,7,7,61,16,0.8,3.0
ADM-0001299,LG-000358,Land Records Cell,High,41,21,3,81,40,0.8,2.3
ADM-0001300,LG-000358,Environmental Cell,High,45,6,4,49,21,0.71,2.8
ADM-0001301,LG-000358,Public Works Dept,High,10,15,10,61,25,0.7,3.8
ADM-0001302,LG-000358,Irrigation Department,High,27,5,6,59,33,0.65,3.2
ADM-0001303,LG-000359,Revenue Department,Medium,36,29,7,38,6,0.15,7.9
ADM-0001304,LG-000359,Land Records Cell,Medium,35,12,5,11,8,0.05,9.6
ADM-0001305,LG-000359,Environmental Cell,Medium,26,11,9,16,1,0.31,8.0
ADM-0001306,LG-000359,Public Works Dept,Medium,49,21,9,20,1,0.27,8.8
ADM-0001307,LG-000360,Revenue Department,Medium,28,22,10,24,1,0.34,9.7
ADM-0001308,LG-000360,Land Records Cell,Medium,47,15,13,36,6,0.11,9.3
ADM-0001309,LG-000361,Revenue Department,Medium,28,25,13,18,8,0.13,8.9
ADM-0001310,LG-000361,Land Records Cell,Medium,48,5,11,16,10,0.28,8.7
ADM-0001311,LG-000361,Environmental Cell,Medium,34,17,4,11,5,0.19,8.8
ADM-0001312,LG-000361,Public Works Dept,Medium,27,10,9,27,7,0.32,9.0
ADM-0001313,LG-000361,Irrigation Department,Medium,14,10,9,38,8,0.07,6.9
ADM-0001314,LG-000362,Revenue Department,High,46,15,13,93,18,0.47,2.7
ADM-0001315,LG-000362,Land Records Cell,High,29,14,11,50,27,0.82,3.4
ADM-0001316,LG-000362,Environmental Cell,High,18,30,7,111,11,0.78,4.2
ADM-0001317,LG-000362,Public Works Dept,High,41,9,9,109,13,0.67,4.7
ADM-0001318,LG-000363,Revenue Department,High,50,13,15,94,36,0.51,2.3
ADM-0001319,LG-000363,Land Records Cell,High,25,30,3,70,20,0.64,3.8
ADM-0001320,LG-000363,Environmental Cell,High,28,27,13,88,34,0.71,3.2
ADM-0001321,LG-000363,Public Works Dept,High,50,10,15,93,26,0.44,4.1
ADM-0001322,LG-000363,Irrigation Department,High,11,14,3,77,20,0.71,3.4
ADM-0001323,LG-000364,Revenue Department,High,19,9,13,49,24,0.41,2.6
ADM-0001324,LG-000364,Land Records Cell,High,21,5,14,64,23,0.76,2.8
ADM-0001325,LG-000364,Environmental Cell,High,49,17,15,50,25,0.41,4.1
ADM-0001326,LG-000364,Public Works Dept,High,31,8,11,83,30,0.44,2.3
ADM-0001327,LG-000364,Irrigation Department,High,12,29,15,73,13,0.54,2.6
ADM-0001328,LG-000365,Revenue Department,High,17,14,6,96,20,0.52,3.8
ADM-0001329,LG-000365,Land Records Cell,High,43,27,15,95,28,0.42,3.2
ADM-0001330,LG-000365,Environmental Cell,High,20,10,9,65,11,0.54,4.9
ADM-0001331,LG-000366,Revenue Department,Medium,48,10,14,19,7,0.09,7.0
ADM-0001332,LG-000366,Land Records Cell,Medium,31,8,9,17,5,0.22,8.1
ADM-0001333,LG-000366,Environmental Cell,Medium,19,14,14,40,4,0.28,9.6
ADM-0001334,LG-000366,Public Works Dept,Medium,39,17,12,38,3,0.33,8.9
ADM-0001335,LG-000366,Irrigation Department,Medium,14,6,10,21,10,0.16,6.7
ADM-0001336,LG-000367,Revenue Department,High,47,8,12,52,39,0.66,2.1
ADM-0001337,LG-000367,Land Records Cell,High,30,11,11,47,19,0.42,4.7
ADM-0001338,LG-000367,Environmental Cell,High,28,13,3,115,13,0.75,3.4
ADM-0001339,LG-000367,Public Works Dept,High,46,12,7,52,27,0.75,4.1
ADM-0001340,LG-000368,Revenue Department,Medium,29,28,8,33,5,0.12,6.5
ADM-0001341,LG-000368,Land Records Cell,Medium,49,11,10,19,10,0.13,9.5
ADM-0001342,LG-000368,Environmental Cell,Medium,29,19,13,33,7,0.26,9.7
ADM-0001343,LG-000368,Public Works Dept,Medium,15,16,4,32,5,0.35,7.8
ADM-0001344,LG-000368,Irrigation Department,Medium,45,21,7,37,2,0.16,7.2
ADM-0001345,LG-000369,Revenue Department,High,31,11,14,81,20,0.62,3.2
ADM-0001346,LG-000369,Land Records Cell,High,24,14,15,112,15,0.69,3.3
ADM-0001347,LG-000369,Environmental Cell,High,43,24,5,78,38,0.64,3.9
ADM-0001348,LG-000369,Public Works Dept,High,22,11,5,96,14,0.82,4.8
ADM-0001349,LG-000370,Revenue Department,High,44,30,5,85,21,0.49,3.6
ADM-0001350,LG-000370,Land Records Cell,High,10,17,8,95,12,0.48,4.4
ADM-0001351,LG-000370,Environmental Cell,High,34,13,3,73,15,0.79,4.7
ADM-0001352,LG-000370,Public Works Dept,High,46,27,12,95,16,0.79,3.9
ADM-0001353,LG-000371,Revenue Department,High,37,15,13,113,15,0.64,2.3
ADM-0001354,LG-000371,Land Records Cell,High,24,16,11,60,30,0.58,2.6
ADM-0001355,LG-000372,Revenue Department,High,16,11,5,117,24,0.7,4.4
