outcome_id,project_id,planned_duration_days,actual_duration_days,delay_days,delay_flag,final_status,delay_stage,completion_date
OUT-000411,LG-000411,1825,1836,11,0,On Time,None,
OUT-000412,LG-000412,1095,1119,24,0,On Time,None,
OUT-000413,LG-000413,1460,1749,289,1,Delayed,Legal Resolution,
OUT-000414,LG-000414,1825,1897,72,0,On Time,None,2028-03-24
OUT-000415,LG-000415,1825,1844,19,0,On Time,None,2025-07-26
OUT-000416,LG-000416,2190,2212,22,0,On Time,None,
OUT-000417,LG-000417,730,761,31,0,On Time,None,
OUT-000418,LG-000418,730,830,100,1,Delayed,Approval,
OUT-000419,LG-000419,1095,1160,65,0,On Time,None,
OUT-000420,LG-000420,2190,2460,270,1,Delayed,Legal Resolution,
OUT-000421,LG-000421,730,733,3,0,On Time,None,
OUT-000422,LG-000422,1825,1828,3,0,On Time,None,
OUT-000423,LG-000423,730,754,24,0,On Time,None,
OUT-000424,LG-000424,1095,1096,1,0,On Time,None,2022-03-18
OUT-000425,LG-000425,730,756,26,0,On Time,None,
OUT-000426,LG-000426,1095,1104,9,0,On Time,None,
OUT-000427,LG-000427,1825,2058,233,1,Delayed,Legal Resolution,
OUT-000428,LG-000428,2190,2912,722,1,Severely Delayed,Compensation,
OUT-000429,LG-000429,1825,2079,254,1,Delayed,Legal Resolution,2023-11-18
OUT-000430,LG-000430,1095,1683,588,1,Severely Delayed,Compensation,
OUT-000431,LG-000431,1095,1198,103,1,Delayed,Approval,
OUT-000432,LG-000432,730,753,23,0,On Time,None,
OUT-000433,LG-000433,730,940,210,1,Delayed,Legal Resolution,
OUT-000434,LG-000434,1095,1161,66,0,On Time,None,2024-12-20
OUT-000435,LG-000435,1460,1518,58,0,On Time,None,
OUT-000436,LG-000436,1460,1559,99,1,Delayed,Approval,
OUT-000437,LG-000437,730,753,23,0,On Time,None,
OUT-000438,LG-000438,1095,1153,58,0,On Time,None,
OUT-000439,LG-000439,2190,2232,42,0,On Time,None,
OUT-000440,LG-000440,1825,1926,101,1,Delayed,Approval,
OUT-000441,LG-000441,2190,2211,21,0,On Time,None,
OUT-000442,LG-000442,730,1040,310,1,Severely Delayed,Compensation,
OUT-000443,LG-000443,1825,2258,433,1,Severely Delayed,Compensation,2030-02-10
OUT-000444,LG-000444,2190,2266,76,0,On Time,None,
OUT-000445,LG-000445,1460,1783,323,1,Delayed,Legal Resolution,
OUT-000446,LG-000446,730,907,177,1,Delayed,Legal Resolution,2026-09-14
OUT-000447,LG-000447,2190,2518,328,1,Delayed,Legal Resolution,2025-01-15
OUT-000448,LG-000448,730,785,55,0,On Time,None,2022-04-28
OUT-000449,LG-000449,730,897,167,1,Delayed,Legal Resolution,2020-08-06
OUT-000450,LG-000450,1460,1635,175,1,Delayed,Legal Resolution,2025-07-16
OUT-000451,LG-000451,1095,1606,511,1,Severely Delayed,Compensation,
OUT-000452,LG-000452,1095,1754,659,1,Severely Delayed,Compensation,2024-03-15
OUT-000453,LG-000453,730,740,10,0,On Time,None,
OUT-000454,LG-000454,730,772,42,0,On Time,None,
OUT-000455,LG-000455,2190,2249,59,0,On Time,None,
OUT-000456,LG-000456,1460,1483,23,0,On Time,None,
OUT-000457,LG-000457,1460,1936,476,1,Severely Delayed,Compensation,2026-08-27
OUT-000458,LG-000458,1460,1812,352,1,Severely Delayed,Compensation,
OUT-000459,LG-000459,2190,2378,188,1,Delayed,Legal Resolution,2031-05-22
OUT-000460,LG-000460,2190,2259,69,0,On Time,None,
OUT-000461,LG-000461,1095,1140,45,0,On Time,None,
OUT-000462,LG-000462,730,754,24,0,On Time,None,
OUT-000463,LG-000463,2190,2366,176,1,Delayed,Legal Resolution,
OUT-000464,LG-000464,1460,1481,21,0,On Time,None,
OUT-000465,LG-000465,1460,1798,338,1,Severely Delayed,Compensation,2025-06-18
OUT-000466,LG-000466,2190,2207,17,0,On Time,None,
OUT-000467,LG-000467,2190,2235,45,0,On Time,None,
OUT-000468,LG-000468,730,1236,506,1,Severely Delayed,Compensation,
OUT-000469,LG-000469,1095,1252,157,1,Delayed,Legal Resolution,
OUT-000470,LG-000470,1460,1485,25,0,On Time,None,2024-06-05
OUT-000471,LG-000471,730,732,2,0,On Time,None,2021-01-07
OUT-000472,LG-000472,1825,1841,16,0,On Time,None,
OUT-000473,LG-000473,730,815,85,0,On Time,None,
OUT-000474,LG-000474,730,759,29,0,On Time,None,
OUT-000475,LG-000475,1460,1550,90,0,On Time,None,
OUT-000476,LG-000476,730,779,49,0,On Time,None,
OUT-000477,LG-000477,730,1077,347,1,Delayed,Legal Resolution,
OUT-000478,LG-000478,1825,1864,39,0,On Time,None,
OUT-000479,LG-000479,1095,1293,198,1,Delayed,Legal Resolution,
OUT-000480,LG-000480,1460,2181,721,1,Severely Delayed,Compensation,
OUT-000481,LG-000481,1095,1402,307,1,Delayed,Legal Resolution,2023-11-07
OUT-000482,LG-000482,1460,1591,131,1,Delayed,Legal Resolution,
OUT-000483,LG-000483,1095,1753,658,1,Severely Delayed,Compensation,
OUT-000484,LG-000484,1460,1769,309,1,Delayed,Legal Resolution,
OUT-000485,LG-000485,2190,2241,51,0,On Time,None,
OUT-000486,LG-000486,1825,2198,373,1,Severely Delayed,Compensation,
OUT-000487,LG-000487,1460,1672,212,1,Delayed,Legal Resolution,
OUT-000488,LG-000488,730,826,96,1,Delayed,Approval,
OUT-000489,LG-000489,2190,2210,20,0,On Time,None,
OUT-000490,LG-000490,1825,1854,29,0,On Time,None,
OUT-000491,LG-000491,1460,1670,210,1,Delayed,Legal Resolution,2026-02-19
OUT-000492,LG-000492,1825,1845,20,0,On Time,None,
OUT-000493,LG-000493,2190,2221,31,0,On Time,None,2024-06-17
OUT-000494,LG-000494,1825,1898,73,0,On Time,None,
OUT-000495,LG-000495,2190,2191,1,0,On Time,None,2026-06-04
OUT-000496,LG-000496,2190,2381,191,1,Delayed,Legal Resolution,
OUT-000497,LG-000497,1095,1104,9,0,On Time,None,2026-05-25
OUT-000498,LG-000498,730,747,17,0,On Time,None,2025-02-11
OUT-000499,LG-000499,1460,1479,19,0,On Time,None,
OUT-000500,LG-000500,2190,2392,202,1,Delayed,Legal Resolution,
OUT-000501,LG-000501,730,731,1,0,On Time,None,
OUT-000502,LG-000502,1460,1773,313,1,Severely Delayed,Compensation,
OUT-000503,LG-000503,1825,1880,55,0,On Time,None,
OUT-000504,LG-000504,2190,2489,299,1,Delayed,Legal Resolution,
OUT-000505,LG-000505,1460,2016,556,1,Severely Delayed,Compensation,
OUT-000506,LG-000506,730,1154,424,1,Severely Delayed,Compensation,
OUT-000507,LG-000507,1095,1789,694,1,Severely Delayed,Compensation,
OUT-000508,LG-000508,1460,1464,4,0,On Time,None,2027-04-26
OUT-000509,LG-000509,1460,1514,54,0,On Time,None,
OUT-000510,LG-000510,730,745,15,0,On Time,None,
OUT-000511,LG-000511,730,1041,311,1,Delayed,Legal Resolution,
OUT-000512,LG-000512,1825,1829,4,0,On Time,None,2026-06-16
OUT-000513,LG-000513,1825,1932,107,1,Delayed,Approval,
OUT-000514,LG-000514,1095,1096,1,0,On Time,None,
OUT-000515,LG-000515,1095,1112,17,0,On Time,None,
OUT-000516,LG-000516,730,1406,676,1,Severely Delayed,Compensation,
OUT-000517,LG-000517,730,1472,742,1,Severely Delayed,Compensation,2022-03-23
OUT-000518,LG-000518,1460,1559,99,1,Delayed,Approval,
OUT-000519,LG-000519,1095,1160,65,0,On Time,None,
OUT-000520,LG-000520,730,1061,331,1,Delayed,Legal Resolution,
OUT-000521,LG-000521,2190,2445,255,1,Delayed,Legal Resolution,
OUT-000522,LG-000522,730,791,61,0,On Time,None,
OUT-000523,LG-000523,1825,1862,37,0,On Time,None,
OUT-000524,LG-000524,730,1023,293,1,Delayed,Legal Resolution,
OUT-000525,LG-000525,1095,1411,316,1,Delayed,Legal Resolution,
OUT-000526,LG-000526,1460,1656,196,1,Delayed,Legal Resolution,
OUT-000527,LG-000527,1460,1549,89,0,On Time,None,
OUT-000528,LG-000528,1825,1878,53,0,On Time,None,2028-12-29
OUT-000529,LG-000529,2190,2259,69,0,On Time,None,2030-10-09
OUT-000530,LG-000530,1825,1883,58,0,On Time,None,
OUT-000531,LG-000531,2190,2714,524,1,Severely Delayed,Compensation,
OUT-000532,LG-000532,1460,1895,435,1,Severely Delayed,Compensation,2026-09-05
OUT-000533,LG-000533,1460,1714,254,1,Delayed,Legal Resolution,
OUT-000534,LG-000534,1825,2035,210,1,Delayed,Legal Resolution,
OUT-000535,LG-000535,1460,1467,7,0,On Time,None,
OUT-000536,LG-000536,1460,1461,1,0,On Time,None,
OUT-000537,LG-000537,1825,1843,18,0,On Time,None,
OUT-000538,LG-000538,1825,2164,339,1,Severely Delayed,Compensation,
OUT-000539,LG-000539,730,779,49,0,On Time,None,
OUT-000540,LG-000540,2190,2923,733,1,Severely Delayed,Compensation,
OUT-000541,LG-000541,730,731,1,0,On Time,None,
OUT-000542,LG-000542,730,1176,446,1,Severely Delayed,Compensation,
OUT-000543,LG-000543,1825,2112,287,1,Delayed,Legal Resolution,2024-03-19
OUT-000544,LG-000544,730,972,242,1,Delayed,Legal Resolution,
OUT-000545,LG-000545,1825,2400,575,1,Severely Delayed,Compensation,
OUT-000546,LG-000546,1460,1596,136,1,Delayed,Legal Resolution,
OUT-000547,LG-000547,1825,2529,704,1,Severely Delayed,Compensation,
OUT-000548,LG-000548,1460,2021,561,1,Severely Delayed,Compensation,2026-10-29
OUT-000549,LG-000549,1825,1863,38,0,On Time,None,2024-07-31
OUT-000550,LG-000550,2190,2205,15,0,On Time,None,
OUT-000551,LG-000551,1460,1606,146,1,Delayed,Legal Resolution,
OUT-000552,LG-000552,1095,1353,258,1,Delayed,Legal Resolution,2027-04-21
OUT-000553,LG-000553,2190,2384,194,1,Delayed,Legal Resolution,
OUT-000554,LG-000554,730,1007,277,1,Delayed,Legal Resolution,
OUT-000555,LG-000555,730,1033,303,1,Delayed,Legal Resolution,
OUT-000556,LG-000556,730,756,26,0,On Time,None,
OUT-000557,LG-000557,730,734,4,0,On Time,None,
OUT-000558,LG-000558,1095,1603,508,1,Severely Delayed,Compensation,
OUT-000559,LG-000559,1095,1099,4,0,On Time,None,
OUT-000560,LG-000560,1825,1890,65,0,On Time,None,
OUT-000561,LG-000561,2190,2351,161,1,Delayed,Legal Resolution,
OUT-000562,LG-000562,1825,1893,68,0,On Time,None,
OUT-000563,LG-000563,1825,2480,655,1,Severely Delayed,Compensation,
OUT-000564,LG-000564,2190,2190,0,0,On Time,None,
OUT-000565,LG-000565,2190,2196,6,0,On Time,None,
OUT-000566,LG-000566,1460,1485,25,0,On Time,None,
OUT-000567,LG-000567,1825,1826,1,0,On Time,None,
OUT-000568,LG-000568,1460,1652,192,1,Delayed,Legal Resolution,
OUT-000569,LG-000569,1095,1826,731,1,Severely Delayed,Compensation,
OUT-000570,LG-000570,1825,2134,309,1,Severely Delayed,Compensation,2028-05-27
OUT-000571,LG-000571,2190,2221,31,0,On Time,None,
OUT-000572,LG-000572,2190,2271,81,0,On Time,None,
OUT-000573,LG-000573,1095,1099,4,0,On Time,None,
OUT-000574,LG-000574,2190,2192,2,0,On Time,None,
OUT-000575,LG-000575,2190,2204,14,0,On Time,None,
OUT-000576,LG-000576,730,1067,337,1,Delayed,Legal Resolution,
OUT-000577,LG-000577,2190,2226,36,0,On Time,None,
OUT-000578,LG-000578,1825,1836,11,0,On Time,None,
OUT-000579,LG-000579,730,751,21,0,On Time,None,
OUT-000580,LG-000580,1825,2375,550,1,Severely Delayed,Compensation,2029-12-12
OUT-000581,LG-000581,730,1052,322,1,Severely Delayed,Compensation,
OUT-000582,LG-000582,2190,2240,50,0,On Time,None,
OUT-000583,LG-000583,1460,1551,91,1,Delayed,Approval,
OUT-000584,LG-000584,1095,1204,109,1,Delayed,Approval,
OUT-000585,LG-000585,1460,2029,569,1,Severely Delayed,Compensation,
OUT-000586,LG-000586,1460,1531,71,0,On Time,None,
OUT-000587,LG-000587,1460,1616,156,1,Delayed,Legal Resolution,
OUT-000588,LG-000588,730,801,71,0,On Time,None,2024-08-31
OUT-000589,LG-000589,730,861,131,1,Delayed,Legal Resolution,
OUT-000590,LG-000590,1460,1479,19,0,On Time,None,
OUT-000591,LG-000591,1825,2509,684,1,Severely Delayed,Compensation,
OUT-000592,LG-000592,730,818,88,0,On Time,None,
OUT-000593,LG-000593,1095,1188,93,1,Delayed,Approval,2022-06-07
OUT-000594,LG-000594,1460,1468,8,0,On Time,None,
OUT-000595,LG-000595,1460,1721,261,1,Delayed,Legal Resolution,
OUT-000596,LG-000596,730,832,102,1,Delayed,Approval,
OUT-000597,LG-000597,2190,2251,61,0,On Time,None,2031-02-13
OUT-000598,LG-000598,1825,2105,280,1,Delayed,Legal Resolution,
OUT-000599,LG-000599,1460,1499,39,0,On Time,None,
OUT-000600,LG-000600,1825,2089,264,1,Delayed,Legal Resolution,
OUT-000601,LG-000601,1095,1122,27,0,On Time,None,
OUT-000602,LG-000602,2190,2220,30,0,On Time,None,
OUT-000603,LG-000603,1460,1558,98,1,Delayed,Approval,2026-03-21
OUT-000604,LG-000604,2190,2469,279,1,Delayed,Legal Resolution,
OUT-000605,LG-000605,1825,2452,627,1,Severely Delayed,Compensation,
OUT-000606,LG-000606,1095,1120,25,0,On Time,None,
OUT-000607,LG-000607,1825,2378,553,1,Severely Delayed,Compensation,
OUT-000608,LG-000608,730,1469,739,1,Severely Delayed,Compensation,
OUT-000609,LG-000609,1095,1384,289,1,Delayed,Legal Resolution,
OUT-000610,LG-000610,1825,2154,329,1,Delayed,Legal Resolution,2028-02-08
OUT-000611,LG-000611,1460,1490,30,0,On Time,None,
OUT-000612,LG-000612,1095,1149,54,0,On Time,None,
OUT-000613,LG-000613,1095,1356,261,1,Delayed,Legal Resolution,
OUT-000614,LG-000614,730,1072,342,1,Delayed,Legal Resolution,2022-10-01
OUT-000615,LG-000615,1460,1489,29,0,On Time,None,
OUT-000616,LG-000616,730,947,217,1,Delayed,Legal Resolution,2023-01-08
OUT-000617,LG-000617,730,912,182,1,Delayed,Legal Resolution,2024-03-04
OUT-000618,LG-000618,1095,1641,546,1,Severely Delayed,Compensation,2027-10-05
OUT-000619,LG-000619,730,967,237,1,Delayed,Legal Resolution,
OUT-000620,LG-000620,2190,2807,617,1,Severely Delayed,Compensation,
OUT-000621,LG-000621,730,782,52,0,On Time,None,
OUT-000622,LG-000622,2190,2514,324,1,Severely Delayed,Compensation,
OUT-000623,LG-000623,2190,2211,21,0,On Time,None,
OUT-000624,LG-000624,2190,2474,284,1,Delayed,Legal Resolution,
OUT-000625,LG-000625,730,759,29,0,On Time,None,
OUT-000626,LG-000626,730,1083,353,1,Severely Delayed,Compensation,2023-06-08
OUT-000627,LG-000627,2190,2402,212,1,Delayed,Legal Resolution,
OUT-000628,LG-000628,730,998,268,1,Delayed,Legal Resolution,2022-10-17
OUT-000629,LG-000629,1095,1841,746,1,Severely Delayed,Compensation,2023-07-21
OUT-000630,LG-000630,1825,2055,230,1,Delayed,Legal Resolution,2024-08-26
OUT-000631,LG-000631,2190,2288,98,1,Delayed,Approval,
OUT-000632,LG-000632,2190,2197,7,0,On Time,None,
OUT-000633,LG-000633,730,918,188,1,Delayed,Legal Resolution,
OUT-000634,LG-000634,2190,2217,27,0,On Time,None,
OUT-000635,LG-000635,730,948,218,1,Delayed,Legal Resolution,2021-09-13
OUT-000636,LG-000636,1095,1126,31,0,On Time,None,2028-01-03
OUT-000637,LG-000637,1460,1513,53,0,On Time,None,
OUT-000638,LG-000638,1095,1115,20,0,On Time,None,2027-01-10
OUT-000639,LG-000639,1095,1118,23,0,On Time,None,
OUT-000640,LG-000640,1460,1566,106,1,Delayed,Approval,
OUT-000641,LG-000641,1825,2121,296,1,Delayed,Legal Resolution,
OUT-000642,LG-000642,1825,1847,22,0,On Time,None,
OUT-000643,LG-000643,1460,1807,347,1,Delayed,Legal Resolution,
OUT-000644,LG-000644,1095,1132,37,0,On Time,None,
OUT-000645,LG-000645,730,1254,524,1,Severely Delayed,Compensation,
OUT-000646,LG-000646,1095,1415,320,1,Delayed,Legal Resolution,
OUT-000647,LG-000647,2190,2299,109,1,Delayed,Approval,
OUT-000648,LG-000648,1095,1100,5,0,On Time,None,
OUT-000649,LG-000649,1825,2128,303,1,Severely Delayed,Compensation,
OUT-000650,LG-000650,1460,1975,515,1,Severely Delayed,Compensation,
OUT-000651,LG-000651,1460,1619,159,1,Delayed,Legal Resolution,
OUT-000652,LG-000652,1825,1844,19,0,On Time,None,
OUT-000653,LG-000653,1095,1252,157,1,Delayed,Legal Resolution,
OUT-000654,LG-000654,1095,1682,587,1,Severely Delayed,Compensation,
OUT-000655,LG-000655,1095,1117,22,0,On Time,None,
OUT-000656,LG-000656,1460,1483,23,0,On Time,None,
OUT-000657,LG-000657,730,737,7,0,On Time,None,
OUT-000658,LG-000658,1095,1095,0,0,On Time,None,
OUT-000659,LG-000659,2190,2260,70,0,On Time,None,
OUT-000660,LG-000660,1825,2017,192,1,Delayed,Legal Resolution,
OUT-000661,LG-000661,1825,1875,50,0,On Time,None,2025-01-29
OUT-000662,LG-000662,2190,2811,621,1,Severely Delayed,Compensation,
OUT-000663,LG-000663,1095,1808,713,1,Severely Delayed,Compensation,
OUT-000664,LG-000664,2190,2266,76,0,On Time,None,2030-01-24
OUT-000665,LG-000665,2190,2247,57,0,On Time,None,
OUT-000666,LG-000666,2190,2499,309,1,Severely Delayed,Compensation,
OUT-000667,LG-000667,2190,2193,3,0,On Time,None,
OUT-000668,LG-000668,730,746,16,0,On Time,None,
OUT-000669,LG-000669,730,730,0,0,On Time,None,
OUT-000670,LG-000670,1825,1929,104,1,Delayed,Approval,
OUT-000671,LG-000671,730,753,23,0,On Time,None,2024-05-27
OUT-000672,LG-000672,1825,2098,273,1,Delayed,Legal Resolution,
OUT-000673,LG-000673,730,912,182,1,Delayed,Legal Resolution,
OUT-000674,LG-000674,730,747,17,0,On Time,None,2025-11-11
OUT-000675,LG-000675,2190,2240,50,0,On Time,None,
OUT-000676,LG-000676,1460,1461,1,0,On Time,None,
OUT-000677,LG-000677,730,754,24,0,On Time,None,
OUT-000678,LG-000678,1825,1903,78,0,On Time,None,
OUT-000679,LG-000679,1460,1512,52,0,On Time,None,2028-01-14
OUT-000680,LG-000680,730,817,87,0,On Time,None,
OUT-000681,LG-000681,730,881,151,1,Delayed,Legal Resolution,
OUT-000682,LG-000682,1825,1854,29,0,On Time,None,
OUT-000683,LG-000683,1825,1962,137,1,Delayed,Legal Resolution,2028-10-25
OUT-000684,LG-000684,1095,1202,107,1,Delayed,Approval,
OUT-000685,LG-000685,2190,2194,4,0,On Time,None,
OUT-000686,LG-000686,1095,1339,244,1,Delayed,Legal Resolution,2023-10-13
OUT-000687,LG-000687,1460,1465,5,0,On Time,None,
OUT-000688,LG-000688,1095,1220,125,1,Delayed,Legal Resolution,
OUT-000689,LG-000689,2190,2275,85,0,On Time,None,2030-05-12
OUT-000690,LG-000690,1460,1555,95,1,Delayed,Approval,
OUT-000691,LG-000691,1825,1829,4,0,On Time,None,
OUT-000692,LG-000692,1460,1793,333,1,Delayed,Legal Resolution,
OUT-000693,LG-000693,1095,1106,11,0,On Time,None,
OUT-000694,LG-000694,2190,2246,56,0,On Time,None,2026-09-30
OUT-000695,LG-000695,1460,1465,5,0,On Time,None,
OUT-000696,LG-000696,1825,1915,90,0,On Time,None,2025-03-03
OUT-000697,LG-000697,730,758,28,0,On Time,None,
OUT-000698,LG-000698,2190,2190,0,0,On Time,None,
OUT-000699,LG-000699,1460,1468,8,0,On Time,None,2027-01-28
OUT-000700,LG-000700,730,1369,639,1,Severely Delayed,Compensation,
OUT-000701,LG-000701,1095,1115,20,0,On Time,None,
OUT-000702,LG-000702,1460,1516,56,0,On Time,None,2024-12-26
OUT-000703,LG-000703,1825,2124,299,1,Delayed,Legal Resolution,
OUT-000704,LG-000704,1825,1837,12,0,On Time,None,
OUT-000705,LG-000705,1825,2018,193,1,Delayed,Legal Resolution,2023-10-22
OUT-000706,LG-000706,1095,1229,134,1,Delayed,Legal Resolution,
OUT-000707,LG-000707,1095,1273,178,1,Delayed,Legal Resolution,
OUT-000708,LG-000708,2190,2231,41,0,On Time,None,
OUT-000709,LG-000709,1460,1485,25,0,On Time,None,
OUT-000710,LG-000710,730,805,75,0,On Time,None,2020-03-24
OUT-000711,LG-000711,1460,1517,57,0,On Time,None,
OUT-000712,LG-000712,1460,1770,310,1,Delayed,Legal Resolution,
OUT-000713,LG-000713,1460,1586,126,1,Delayed,Legal Resolution,
OUT-000714,LG-000714,2190,2250,60,0,On Time,None,
OUT-000715,LG-000715,1095,1405,310,1,Delayed,Legal Resolution,
OUT-000716,LG-000716,1095,1252,157,1,Delayed,Legal Resolution,
OUT-000717,LG-000717,1095,1105,10,0,On Time,None,
OUT-000718,LG-000718,1460,2200,740,1,Severely Delayed,Compensation,
OUT-000719,LG-000719,2190,2658,468,1,Severely Delayed,Compensation,2028-08-06
OUT-000720,LG-000720,1825,2170,345,1,Severely Delayed,Compensation,2030-04-27
OUT-000721,LG-000721,1825,1923,98,1,Delayed,Approval,
OUT-000722,LG-000722,2190,2629,439,1,Severely Delayed,Compensation,
OUT-000723,LG-000723,1825,1874,49,0,On Time,None,2024-01-15
OUT-000724,LG-000724,1825,1869,44,0,On Time,None,
OUT-000725,LG-000725,730,925,195,1,Delayed,Legal Resolution,
OUT-000726,LG-000726,1825,1837,12,0,On Time,None,
OUT-000727,LG-000727,1095,1658,563,1,Severely Delayed,Compensation,
OUT-000728,LG-000728,1095,1199,104,1,Delayed,Approval,2023-11-01
OUT-000729,LG-000729,730,747,17,0,On Time,None,
OUT-000730,LG-000730,1460,1497,37,0,On Time,None,2025-12-03
OUT-000731,LG-000731,1460,1791,331,1,Severely Delayed,Compensation,
OUT-000732,LG-000732,1095,1185,90,0,On Time,None,
OUT-000733,LG-000733,1825,1957,132,1,Delayed,Legal Resolution,
OUT-000734,LG-000734,2190,2913,723,1,Severely Delayed,Compensation,2030-08-19
OUT-000735,LG-000735,2190,2227,37,0,On Time,None,2029-11-06
OUT-000736,LG-000736,730,730,0,0,On Time,None,
OUT-000737,LG-000737,1460,1499,39,0,On Time,None,
OUT-000738,LG-000738,1460,1863,403,1,Severely Delayed,Compensation,
OUT-000739,LG-000739,1095,1313,218,1,Delayed,Legal Resolution,
OUT-000740,LG-000740,730,1027,297,1,Delayed,Legal Resolution,
OUT-000741,LG-000741,2190,2457,267,1,Delayed,Legal Resolution,2029-08-26
OUT-000742,LG-000742,2190,2196,6,0,On Time,None,
OUT-000743,LG-000743,1460,1462,2,0,On Time,None,2025-05-14
OUT-000744,LG-000744,1095,1378,283,1,Delayed,Legal Resolution,
OUT-000745,LG-000745,1460,1533,73,0,On Time,None,
OUT-000746,LG-000746,1825,2439,614,1,Severely Delayed,Compensation,
OUT-000747,LG-000747,730,788,58,0,On Time,None,
OUT-000748,LG-000748,1460,1662,202,1,Delayed,Legal Resolution,
OUT-000749,LG-000749,730,791,61,0,On Time,None,2022-08-06
OUT-000750,LG-000750,2190,2191,1,0,On Time,None,
OUT-000751,LG-000751,1095,1116,21,0,On Time,None,2026-01-27
OUT-000752,LG-000752,1825,1893,68,0,On Time,None,
OUT-000753,LG-000753,730,1189,459,1,Severely Delayed,Compensation,
OUT-000754,LG-000754,1095,1146,51,0,On Time,None,
OUT-000755,LG-000755,1825,2026,201,1,Delayed,Legal Resolution,
OUT-000756,LG-000756,730,968,238,1,Delayed,Legal Resolution,
OUT-000757,LG-000757,1825,2493,668,1,Severely Delayed,Compensation,
OUT-000758,LG-000758,1825,1852,27,0,On Time,None,
OUT-000759,LG-000759,730,783,53,0,On Time,None,
OUT-000760,LG-000760,1825,2172,347,1,Delayed,Legal Resolution,
OUT-000761,LG-000761,2190,2210,20,0,On Time,None,2028-11-04
OUT-000762,LG-000762,1825,2361,536,1,Severely Delayed,Compensation,2029-02-28
OUT-000763,LG-000763,2190,2417,227,1,Delayed,Legal Resolution,
OUT-000764,LG-000764,730,739,9,0,On Time,None,
OUT-000765,LG-000765,1825,1972,147,1,Delayed,Legal Resolution,2029-11-14
OUT-000766,LG-000766,2190,2297,107,1,Delayed,Approval,
OUT-000767,LG-000767,2190,2844,654,1,Severely Delayed,Compensation,
OUT-000768,LG-000768,2190,2296,106,1,Delayed,Approval,
OUT-000769,LG-000769,1460,1491,31,0,On Time,None,
OUT-000770,LG-000770,1460,1538,78,0,On Time,None,2027-11-22
OUT-000771,LG-000771,1825,1849,24,0,On Time,None,
OUT-000772,LG-000772,1460,1462,2,0,On Time,None,
OUT-000773,LG-000773,730,815,85,0,On Time,None,2023-11-25
OUT-000774,LG-000774,1825,1970,145,1,Delayed,Legal Resolution,
OUT-000775,LG-000775,1825,2189,364,1,Severely Delayed,Compensation,
OUT-000776,LG-000776,2190,2261,71,0,On Time,None,
OUT-000777,LG-000777,1095,1340,245,1,Delayed,Legal Resolution,
OUT-000778,LG-000778,2190,2275,85,0,On Time,None,
OUT-000779,LG-000779,2190,2199,9,0,On Time,None,2025-03-17
OUT-000780,LG-000780,1095,1113,18,0,On Time,None,
OUT-000781,LG-000781,1825,1903,78,0,On Time,None,
OUT-000782,LG-000782,730,740,10,0,On Time,None,
OUT-000783,LG-000783,2190,2869,679,1,Severely Delayed,Compensation,2032-08-31
OUT-000784,LG-000784,1825,2033,208,1,Delayed,Legal Resolution,2025-03-06
OUT-000785,LG-000785,1460,1809,349,1,Delayed,Legal Resolution,
OUT-000786,LG-000786,730,737,7,0,On Time,None,
OUT-000787,LG-000787,730,995,265,1,Delayed,Legal Resolution,
OUT-000788,LG-000788,1825,1951,126,1,Delayed,Legal Resolution,2026-01-23
OUT-000789,LG-000789,1825,2108,283,1,Delayed,Legal Resolution,
OUT-000790,LG-000790,2190,2465,275,1,Delayed,Legal Resolution,
OUT-000791,LG-000791,2190,2910,720,1,Severely Delayed,Compensation,
OUT-000792,LG-000792,1460,1614,154,1,Delayed,Legal Resolution,
OUT-000793,LG-000793,730,1274,544,1,Severely Delayed,Compensation,
OUT-000794,LG-000794,1460,1554,94,1,Delayed,Approval,
OUT-000795,LG-000795,1095,1255,160,1,Delayed,Legal Resolution,
OUT-000796,LG-000796,730,1036,306,1,Delayed,Legal Resolution,2022-02-07
OUT-000797,LG-000797,2190,2501,311,1,Delayed,Legal Resolution,2029-05-17
OUT-000798,LG-000798,1460,1476,16,0,On Time,None,
OUT-000799,LG-000799,730,827,97,1,Delayed,Approval,
OUT-000800,LG-000800,1460,1516,56,0,On Time,None,
OUT-000801,LG-000801,1460,1725,265,1,Delayed,Legal Resolution,
OUT-000802,LG-000802,1095,1109,14,0,On Time,None,2022-03-04
OUT-000803,LG-000803,2190,2525,335,1,Delayed,Legal Resolution,
OUT-000804,LG-000804,1460,1513,53,0,On Time,None,
OUT-000805,LG-000805,1825,1858,33,0,On Time,None,
OUT-000806,LG-000806,1460,1486,26,0,On Time,None,
OUT-000807,LG-000807,1095,1448,353,1,Severely Delayed,Compensation,
OUT-000808,LG-000808,1460,1474,14,0,On Time,None,
OUT-000809,LG-000809,2190,2482,292,1,Delayed,Legal Resolution,
OUT-000810,LG-000810,1460,1518,58,0,On Time,None,
OUT-000811,LG-000811,1460,1625,165,1,Delayed,Legal Resolution,
OUT-000812,LG-000812,1825,1860,35,0,On Time,None,
OUT-000813,LG-000813,1095,1303,208,1,Delayed,Legal Resolution,
OUT-000814,LG-000814,1095,1107,12,0,On Time,None,
OUT-000815,LG-000815,1095,1123,28,0,On Time,None,
OUT-000816,LG-000816,1825,2174,349,1,Delayed,Legal Resolution,2028-10-10
OUT-000817,LG-000817,1825,2170,345,1,Severely Delayed,Compensation,2028-06-20
