dispute_id,project_id,case_type,filing_date,resolution_date,case_status,pending_days,court_level,case_severity
LEG-0000611,LG-000194,Encroachment,2022-01-14,,Under Hearing,1628,Revenue Tribunal,Medium
LEG-0000612,LG-000195,Compensation Amount Dispute,2023-08-09,2023-11-01,Resolved,0,Revenue Tribunal,High
LEG-0000613,LG-000195,Environmental Challenge,2022-11-01,2023-01-09,Resolved,0,District Court,Low
LEG-0000614,LG-000195,Compensation Amount Dispute,2022-11-23,,Pending,1315,High Court,High
LEG-0000615,LG-000195,R&R Dispute,2023-05-25,,Pending,1132,Revenue Tribunal,High
LEG-0000616,LG-000195,Title Dispute,2023-07-26,,Pending,1070,District Court,High
LEG-0000617,LG-000196,Encroachment,2020-02-14,2020-04-19,Resolved,0,High Court,Critical
LEG-0000618,LG-000196,R&R Dispute,2020-02-18,,Under Hearing,2324,Revenue Tribunal,Critical
LEG-0000619,LG-000196,R&R Dispute,2020-07-10,,Under Hearing,2181,High Court,Critical
LEG-0000620,LG-000196,Title Dispute,2020-01-04,,Pending,2369,District Court,Critical
LEG-0000621,LG-000196,R&R Dispute,2020-07-11,,Stay Order Issued,2180,District Court,Critical
LEG-0000622,LG-000196,Title Dispute,2020-01-17,,Pending,2356,High Court,Critical
LEG-0000623,LG-000197,R&R Dispute,2019-12-24,,Under Hearing,2380,Revenue Tribunal,Medium
LEG-0000624,LG-000198,Compensation Amount Dispute,2024-10-08,2025-06-24,Resolved,0,Revenue Tribunal,Medium
LEG-0000625,LG-000199,Encroachment,2024-10-07,,Pending,631,District Court,Critical
LEG-0000626,LG-000199,R&R Dispute,2025-02-23,2025-07-14,Resolved,0,Revenue Tribunal,Critical
LEG-0000627,LG-000199,Encroachment,2025-03-16,2025-10-08,Resolved,0,High Court,Critical
LEG-0000628,LG-000199,Compensation Amount Dispute,2025-05-06,,Stay Order Issued,420,Revenue Tribunal,Critical
LEG-0000629,LG-000199,R&R Dispute,2024-09-28,2025-06-19,Resolved,0,District Court,Critical
LEG-0000630,LG-000199,Encroachment,2024-11-15,2025-06-05,Resolved,0,Revenue Tribunal,Critical
LEG-0000631,LG-000199,Compensation Amount Dispute,2025-08-08,,Under Hearing,326,Revenue Tribunal,Critical
LEG-0000632,LG-000200,Environmental Challenge,2020-04-07,,Pending,2275,District Court,Low
LEG-0000633,LG-000201,Environmental Challenge,2023-06-06,,Pending,1120,Revenue Tribunal,Critical
LEG-0000634,LG-000201,R&R Dispute,2022-10-03,,Stay Order Issued,1366,Revenue Tribunal,Critical
LEG-0000635,LG-000201,R&R Dispute,2022-10-22,2023-06-11,Resolved,0,Revenue Tribunal,Critical
LEG-0000636,LG-000201,Title Dispute,2022-09-22,,Pending,1377,High Court,Critical
LEG-0000637,LG-000201,Encroachment,2023-02-08,,Under Hearing,1238,Revenue Tribunal,Critical
LEG-0000638,LG-000201,Encroachment,2022-10-27,,Under Hearing,1342,High Court,Critical
LEG-0000639,LG-000203,Encroachment,2022-07-11,,Pending,1450,Revenue Tribunal,Low
LEG-0000640,LG-000203,R&R Dispute,2022-10-18,,Stay Order Issued,1351,Revenue Tribunal,Medium
LEG-0000641,LG-000203,Encroachment,2022-11-12,,Pending,1326,Revenue Tribunal,Low
LEG-0000642,LG-000203,Title Dispute,2023-01-13,,Under Hearing,1264,District Court,Medium
LEG-0000643,LG-000203,Title Dispute,2022-09-13,,Pending,1386,Revenue Tribunal,High
LEG-0000644,LG-000203,R&R Dispute,2022-12-23,,Under Hearing,1285,High Court,High
LEG-0000645,LG-000204,Title Dispute,2022-04-27,,Under Hearing,1525,District Court,Medium
LEG-0000646,LG-000205,Title Dispute,2019-01-09,,Pending,2729,District Court,Critical
LEG-0000647,LG-000205,Compensation Amount Dispute,2019-10-20,2020-03-15,Resolved,0,High Court,Critical
LEG-0000648,LG-000205,Title Dispute,2019-07-09,,Stay Order Issued,2548,District Court,Critical
LEG-0000649,LG-000205,Encroachment,2019-06-14,,Stay Order Issued,2573,Revenue Tribunal,Critical
LEG-0000650,LG-000205,R&R Dispute,2019-07-15,,Pending,2542,District Court,Critical
LEG-0000651,LG-000205,Encroachment,2019-02-01,,Stay Order Issued,2706,Revenue Tribunal,Critical
LEG-0000652,LG-000205,Encroachment,2019-04-06,,Under Hearing,2642,High Court,Critical
LEG-0000653,LG-000205,Encroachment,2019-10-26,2020-05-10,Resolved,0,Revenue Tribunal,Critical
LEG-0000654,LG-000205,R&R Dispute,2019-05-19,2019-10-27,Resolved,0,Revenue Tribunal,Critical
LEG-0000655,LG-000205,Title Dispute,2019-04-26,,Under Hearing,2622,Revenue Tribunal,Critical
LEG-0000656,LG-000206,Compensation Amount Dispute,2023-04-08,2023-12-25,Resolved,0,Revenue Tribunal,Medium
LEG-0000657,LG-000206,Environmental Challenge,2023-02-28,2023-06-09,Resolved,0,High Court,High
LEG-0000658,LG-000207,Compensation Amount Dispute,2019-10-21,,Pending,2444,High Court,Critical
LEG-0000659,LG-000207,Environmental Challenge,2019-11-06,,Pending,2428,District Court,Critical
LEG-0000660,LG-000207,Title Dispute,2020-03-17,,Stay Order Issued,2296,High Court,Critical
LEG-0000661,LG-000207,Encroachment,2020-03-31,,Stay Order Issued,2282,Revenue Tribunal,Critical
LEG-0000662,LG-000207,Compensation Amount Dispute,2020-06-03,,Stay Order Issued,2218,District Court,Critical
LEG-0000663,LG-000207,Compensation Amount Dispute,2020-06-12,2020-09-12,Resolved,0,Revenue Tribunal,Critical
LEG-0000664,LG-000207,Title Dispute,2019-11-28,,Under Hearing,2406,Revenue Tribunal,Critical
LEG-0000665,LG-000208,Compensation Amount Dispute,2025-03-03,,Under Hearing,484,District Court,High
LEG-0000666,LG-000208,Environmental Challenge,2025-05-26,2025-09-06,Resolved,0,Revenue Tribunal,High
LEG-0000667,LG-000208,Encroachment,2025-02-14,,Pending,501,District Court,Medium
LEG-0000668,LG-000208,Compensation Amount Dispute,2025-01-04,2025-06-11,Resolved,0,Revenue Tribunal,Low
LEG-0000669,LG-000208,R&R Dispute,2025-07-02,,Under Hearing,363,High Court,Low
LEG-0000670,LG-000208,R&R Dispute,2025-07-27,,Pending,338,Revenue Tribunal,High
LEG-0000671,LG-000209,Encroachment,2018-07-31,2019-04-03,Resolved,0,District Court,Low
LEG-0000672,LG-000210,Environmental Challenge,2019-11-02,,Pending,2432,Revenue Tribunal,Low
LEG-0000673,LG-000210,Environmental Challenge,2019-12-18,2020-09-14,Resolved,0,High Court,Medium
LEG-0000674,LG-000210,R&R Dispute,2020-03-22,,Stay Order Issued,2291,District Court,Medium
LEG-0000675,LG-000210,Environmental Challenge,2019-06-14,2020-02-06,Resolved,0,High Court,Medium
LEG-0000676,LG-000211,Compensation Amount Dispute,2019-02-03,2019-06-21,Resolved,0,Revenue Tribunal,Low
LEG-0000677,LG-000212,Encroachment,2021-04-05,,Pending,1912,High Court,Critical
LEG-0000678,LG-000212,Encroachment,2021-09-23,,Under Hearing,1741,High Court,Critical
LEG-0000679,LG-000212,Environmental Challenge,2020-11-29,,Stay Order Issued,2039,Revenue Tribunal,Critical
LEG-0000680,LG-000212,Compensation Amount Dispute,2020-12-09,,Under Hearing,2029,High Court,Critical
LEG-0000681,LG-000212,Title Dispute,2021-07-11,,Pending,1815,High Court,Critical
LEG-0000682,LG-000212,R&R Dispute,2021-03-23,2021-07-20,Resolved,0,High Court,Critical
LEG-0000683,LG-000212,Compensation Amount Dispute,2021-07-14,,Under Hearing,1812,District Court,Critical
LEG-0000684,LG-000213,Title Dispute,2022-01-09,,Under Hearing,1633,High Court,Low
LEG-0000685,LG-000213,Title Dispute,2021-07-19,2021-12-05,Resolved,0,High Court,Medium
LEG-0000686,LG-000213,Compensation Amount Dispute,2021-06-18,2022-03-18,Resolved,0,Revenue Tribunal,High
LEG-0000687,LG-000214,Environmental Challenge,2023-02-16,,Pending,1230,Revenue Tribunal,Medium
LEG-0000688,LG-000214,Title Dispute,2022-08-14,2023-01-24,Resolved,0,High Court,High
LEG-0000689,LG-000214,Environmental Challenge,2022-06-05,,Stay Order Issued,1486,District Court,High
LEG-0000690,LG-000214,Environmental Challenge,2022-09-29,2023-07-13,Resolved,0,District Court,High
LEG-0000691,LG-000215,Environmental Challenge,2022-03-18,2022-06-25,Resolved,0,Revenue Tribunal,Medium
LEG-0000692,LG-000215,Encroachment,2021-06-29,,Pending,1827,High Court,Medium
LEG-0000693,LG-000215,Encroachment,2021-07-04,2022-02-23,Resolved,0,Revenue Tribunal,Low
LEG-0000694,LG-000217,R&R Dispute,2021-12-30,,Stay Order Issued,1643,High Court,Low
LEG-0000695,LG-000217,Compensation Amount Dispute,2022-12-23,,Stay Order Issued,1285,Revenue Tribunal,High
LEG-0000696,LG-000217,Encroachment,2022-01-20,,Under Hearing,1622,District Court,High
LEG-0000697,LG-000217,Environmental Challenge,2022-11-20,,Stay Order Issued,1318,Revenue Tribunal,Low
LEG-0000698,LG-000217,R&R Dispute,2022-09-05,,Stay Order Issued,1394,Revenue Tribunal,High
LEG-0000699,LG-000218,R&R Dispute,2022-09-29,,Under Hearing,1370,High Court,Medium
LEG-0000700,LG-000218,Environmental Challenge,2022-10-26,,Pending,1343,District Court,High
LEG-0000701,LG-000219,R&R Dispute,2023-05-04,,Stay Order Issued,1153,High Court,Critical
LEG-0000702,LG-000219,Environmental Challenge,2022-06-18,,Under Hearing,1473,District Court,Critical
LEG-0000703,LG-000219,Compensation Amount Dispute,2023-02-19,,Pending,1227,High Court,Critical
LEG-0000704,LG-000219,R&R Dispute,2023-05-24,2024-03-06,Resolved,0,District Court,Critical
LEG-0000705,LG-000219,R&R Dispute,2022-10-15,2023-04-11,Resolved,0,District Court,Critical
LEG-0000706,LG-000219,Environmental Challenge,2022-07-16,,Stay Order Issued,1445,High Court,Critical
LEG-0000707,LG-000219,R&R Dispute,2022-08-20,,Pending,1410,Revenue Tribunal,Critical
LEG-0000708,LG-000219,Compensation Amount Dispute,2022-08-29,,Under Hearing,1401,Revenue Tribunal,Critical
LEG-0000709,LG-000219,Encroachment,2022-12-28,2023-06-16,Resolved,0,Revenue Tribunal,Critical
LEG-0000710,LG-000219,Compensation Amount Dispute,2023-05-10,,Under Hearing,1147,District Court,Critical
LEG-0000711,LG-000220,Compensation Amount Dispute,2023-11-27,,Under Hearing,946,Revenue Tribunal,High
LEG-0000712,LG-000220,R&R Dispute,2024-01-09,2024-06-03,Resolved,0,Revenue Tribunal,High
LEG-0000713,LG-000221,Title Dispute,2020-04-29,2021-01-20,Resolved,0,District Court,Low
LEG-0000714,LG-000221,Compensation Amount Dispute,2020-03-06,2020-09-21,Resolved,0,Revenue Tribunal,High
LEG-0000715,LG-000222,Environmental Challenge,2019-10-11,,Stay Order Issued,2454,Revenue Tribunal,Critical
LEG-0000716,LG-000222,Environmental Challenge,2019-03-16,,Pending,2663,Revenue Tribunal,Critical
LEG-0000717,LG-000222,Title Dispute,2019-10-09,,Under Hearing,2456,District Court,Critical
LEG-0000718,LG-000222,Title Dispute,2019-04-23,2019-07-12,Resolved,0,District Court,Critical
LEG-0000719,LG-000222,R&R Dispute,2019-09-09,,Pending,2486,District Court,Critical
LEG-0000720,LG-000222,Title Dispute,2019-02-14,,Pending,2693,Revenue Tribunal,Critical
LEG-0000721,LG-000222,Title Dispute,2019-03-24,,Pending,2655,Revenue Tribunal,Critical
LEG-0000722,LG-000223,Environmental Challenge,2020-09-20,2021-03-26,Resolved,0,High Court,Low
LEG-0000723,LG-000223,R&R Dispute,2020-07-10,2021-05-02,Resolved,0,High Court,Low
LEG-0000724,LG-000223,Encroachment,2021-02-25,2021-10-16,Resolved,0,District Court,Medium
LEG-0000725,LG-000224,R&R Dispute,2022-05-30,,Pending,1492,High Court,High
LEG-0000726,LG-000224,R&R Dispute,2022-04-24,,Under Hearing,1528,Revenue Tribunal,Medium
LEG-0000727,LG-000224,Encroachment,2022-05-13,,Stay Order Issued,1509,High Court,High
LEG-0000728,LG-000225,R&R Dispute,2022-08-13,2022-12-02,Resolved,0,District Court,Medium
LEG-0000729,LG-000225,R&R Dispute,2023-01-25,2023-08-05,Resolved,0,Revenue Tribunal,Medium
LEG-0000730,LG-000226,Environmental Challenge,2024-03-21,2024-12-08,Resolved,0,District Court,High
LEG-0000731,LG-000226,Compensation Amount Dispute,2023-10-27,,Pending,977,High Court,Low
LEG-0000732,LG-000226,Encroachment,2023-06-09,2023-08-31,Resolved,0,High Court,Low
LEG-0000733,LG-000227,Compensation Amount Dispute,2023-11-09,2024-06-20,Resolved,0,District Court,Medium
LEG-0000734,LG-000227,Compensation Amount Dispute,2023-07-12,,Stay Order Issued,1084,High Court,High
LEG-0000735,LG-000227,R&R Dispute,2023-08-07,,Stay Order Issued,1058,Revenue Tribunal,Medium
LEG-0000736,LG-000227,Title Dispute,2023-10-28,,Stay Order Issued,976,Revenue Tribunal,Medium
LEG-0000737,LG-000227,Encroachment,2023-06-28,,Stay Order Issued,1098,High Court,High
LEG-0000738,LG-000229,Title Dispute,2021-02-24,2021-08-10,Resolved,0,District Court,High
LEG-0000739,LG-000230,Title Dispute,2021-05-22,2022-02-17,Resolved,0,Revenue Tribunal,Medium
LEG-0000740,LG-000230,Title Dispute,2020-12-23,2021-04-28,Resolved,0,High Court,Low
LEG-0000741,LG-000231,Title Dispute,2019-05-07,2019-09-28,Resolved,0,Revenue Tribunal,High
LEG-0000742,LG-000231,Title Dispute,2018-08-21,2018-10-23,Resolved,0,District Court,High
LEG-0000743,LG-000232,Compensation Amount Dispute,2024-04-26,2024-11-21,Resolved,0,District Court,Low
LEG-0000744,LG-000233,Environmental Challenge,2020-04-30,2020-12-08,Resolved,0,High Court,High
LEG-0000745,LG-000234,Environmental Challenge,2020-02-29,,Under Hearing,2313,Revenue Tribunal,Low
LEG-0000746,LG-000235,R&R Dispute,2025-12-18,2026-03-30,Resolved,0,High Court,Low
LEG-0000747,LG-000235,Compensation Amount Dispute,2025-02-17,,Pending,498,District Court,High
LEG-0000748,LG-000235,Title Dispute,2025-03-30,2025-12-07,Resolved,0,District Court,High
LEG-0000749,LG-000235,R&R Dispute,2025-10-31,,Pending,242,High Court,High
LEG-0000750,LG-000237,Title Dispute,2020-03-13,2020-10-24,Resolved,0,Revenue Tribunal,Medium
LEG-0000751,LG-000237,R&R Dispute,2020-01-19,2020-05-09,Resolved,0,Revenue Tribunal,Medium
LEG-0000752,LG-000238,Title Dispute,2024-10-23,,Stay Order Issued,615,District Court,Medium
LEG-0000753,LG-000238,Encroachment,2024-02-03,,Stay Order Issued,878,District Court,Low
LEG-0000754,LG-000238,R&R Dispute,2024-08-11,,Stay Order Issued,688,High Court,High
LEG-0000755,LG-000239,R&R Dispute,2025-05-22,,Pending,404,District Court,High
LEG-0000756,LG-000239,Encroachment,2025-08-03,,Stay Order Issued,331,District Court,Low
LEG-0000757,LG-000239,Title Dispute,2025-03-12,2025-12-07,Resolved,0,Revenue Tribunal,High
LEG-0000758,LG-000240,Encroachment,2023-04-22,2023-09-10,Resolved,0,High Court,Low
LEG-0000759,LG-000240,Encroachment,2023-09-15,2024-03-17,Resolved,0,High Court,Low
LEG-0000760,LG-000241,Title Dispute,2021-10-25,,Pending,1709,High Court,High
LEG-0000761,LG-000241,Compensation Amount Dispute,2021-05-19,,Under Hearing,1868,High Court,Low
LEG-0000762,LG-000242,Encroachment,2022-06-02,,Pending,1489,Revenue Tribunal,Critical
LEG-0000763,LG-000242,R&R Dispute,2022-03-19,2022-12-24,Resolved,0,Revenue Tribunal,Critical
LEG-0000764,LG-000242,R&R Dispute,2022-07-13,,Under Hearing,1448,High Court,Critical
LEG-0000765,LG-000242,Encroachment,2021-09-24,,Pending,1740,District Court,Critical
LEG-0000766,LG-000242,Title Dispute,2022-07-05,,Under Hearing,1456,High Court,Critical
LEG-0000767,LG-000242,Environmental Challenge,2022-08-24,2022-11-18,Resolved,0,High Court,Critical
LEG-0000768,LG-000242,R&R Dispute,2021-11-19,,Under Hearing,1684,Revenue Tribunal,Critical
LEG-0000769,LG-000242,R&R Dispute,2022-04-24,2022-07-01,Resolved,0,District Court,Critical
LEG-0000770,LG-000242,Compensation Amount Dispute,2022-02-26,2022-11-20,Resolved,0,District Court,Critical
LEG-0000771,LG-000243,Title Dispute,2019-03-25,2020-01-05,Resolved,0,District Court,High
LEG-0000772,LG-000243,Environmental Challenge,2018-08-16,,Under Hearing,2875,Revenue Tribunal,Low
LEG-0000773,LG-000243,Title Dispute,2018-08-26,2019-02-28,Resolved,0,Revenue Tribunal,Low
LEG-0000774,LG-000243,Compensation Amount Dispute,2018-09-14,2018-11-20,Resolved,0,District Court,Medium
LEG-0000775,LG-000244,Compensation Amount Dispute,2019-06-04,2019-10-05,Resolved,0,District Court,Medium
LEG-0000776,LG-000245,Title Dispute,2023-06-19,,Pending,1107,District Court,Low
LEG-0000777,LG-000245,Compensation Amount Dispute,2023-09-17,2024-02-09,Resolved,0,District Court,High
LEG-0000778,LG-000245,Compensation Amount Dispute,2023-11-10,,Pending,963,District Court,Medium
LEG-0000779,LG-000245,Compensation Amount Dispute,2023-04-29,2023-08-28,Resolved,0,High Court,Low
LEG-0000780,LG-000245,Compensation Amount Dispute,2023-03-25,2023-09-24,Resolved,0,Revenue Tribunal,High
LEG-0000781,LG-000245,Compensation Amount Dispute,2023-05-09,,Under Hearing,1148,District Court,Low
LEG-0000782,LG-000247,Title Dispute,2019-04-08,2019-11-15,Resolved,0,High Court,High
LEG-0000783,LG-000247,R&R Dispute,2019-05-01,2020-01-12,Resolved,0,Revenue Tribunal,High
LEG-0000784,LG-000249,Compensation Amount Dispute,2019-08-08,,Pending,2518,District Court,Low
LEG-0000785,LG-000249,Compensation Amount Dispute,2020-03-05,,Stay Order Issued,2308,District Court,Medium
LEG-0000786,LG-000250,Encroachment,2024-06-27,2025-02-06,Resolved,0,District Court,Medium
LEG-0000787,LG-000250,Encroachment,2024-01-13,2024-06-27,Resolved,0,High Court,High
LEG-0000788,LG-000251,R&R Dispute,2021-06-05,2022-03-06,Resolved,0,High Court,Low
LEG-0000789,LG-000251,Encroachment,2021-05-25,,Under Hearing,1862,District Court,Medium
LEG-0000790,LG-000251,Encroachment,2020-10-23,,Stay Order Issued,2076,District Court,High
LEG-0000791,LG-000251,Compensation Amount Dispute,2021-05-24,2022-01-15,Resolved,0,Revenue Tribunal,Medium
LEG-0000792,LG-000252,Environmental Challenge,2020-06-15,,Under Hearing,2206,High Court,Medium
LEG-0000793,LG-000252,Encroachment,2021-02-06,2021-04-26,Resolved,0,District Court,High
LEG-0000794,LG-000252,Compensation Amount Dispute,2020-09-21,2021-02-24,Resolved,0,District Court,Low
LEG-0000795,LG-000253,Encroachment,2022-03-22,2022-11-13,Resolved,0,District Court,Low
LEG-0000796,LG-000255,R&R Dispute,2023-07-16,,Under Hearing,1080,Revenue Tribunal,Low
LEG-0000797,LG-000255,Compensation Amount Dispute,2023-11-05,,Stay Order Issued,968,High Court,Low
LEG-0000798,LG-000255,R&R Dispute,2023-10-19,,Under Hearing,985,District Court,Low
LEG-0000799,LG-000255,Title Dispute,2024-06-28,,Stay Order Issued,732,District Court,High
LEG-0000800,LG-000255,Compensation Amount Dispute,2024-03-09,,Under Hearing,843,High Court,High
LEG-0000801,LG-000255,R&R Dispute,2023-08-19,,Pending,1046,High Court,High
LEG-0000802,LG-000256,Title Dispute,2021-02-26,2021-11-28,Resolved,0,Revenue Tribunal,Critical
LEG-0000803,LG-000256,Title Dispute,2021-07-16,2022-01-15,Resolved,0,High Court,Critical
LEG-0000804,LG-000256,Compensation Amount Dispute,2020-10-19,2021-04-12,Resolved,0,High Court,Critical
LEG-0000805,LG-000256,Environmental Challenge,2021-07-10,,Pending,1816,District Court,Critical
LEG-0000806,LG-000256,Environmental Challenge,2021-04-12,2021-07-09,Resolved,0,District Court,Critical
LEG-0000807,LG-000256,R&R Dispute,2021-01-26,,Pending,1981,District Court,Critical
LEG-0000808,LG-000258,Encroachment,2018-11-26,,Pending,2773,High Court,High
LEG-0000809,LG-000258,Compensation Amount Dispute,2019-02-16,2019-04-28,Resolved,0,District Court,Medium
LEG-0000810,LG-000259,Encroachment,2024-11-19,2025-03-25,Resolved,0,High Court,Medium
LEG-0000811,LG-000260,R&R Dispute,2019-05-17,2019-09-25,Resolved,0,High Court,Medium
LEG-0000812,LG-000261,Compensation Amount Dispute,2024-09-20,2025-03-25,Resolved,0,High Court,Critical
LEG-0000813,LG-000261,Compensation Amount Dispute,2024-01-24,,Under Hearing,888,Revenue Tribunal,Critical
LEG-0000814,LG-000261,Title Dispute,2024-07-09,,Stay Order Issued,721,Revenue Tribunal,Critical
LEG-0000815,LG-000261,Title Dispute,2024-09-15,,Pending,653,High Court,Critical
LEG-0000816,LG-000261,Title Dispute,2024-01-07,2024-10-16,Resolved,0,Revenue Tribunal,Critical
LEG-0000817,LG-000261,Title Dispute,2023-12-17,,Pending,926,Revenue Tribunal,Critical
LEG-0000818,LG-000262,Title Dispute,2024-06-25,2024-10-23,Resolved,0,Revenue Tribunal,Low
LEG-0000819,LG-000263,Compensation Amount Dispute,2022-01-17,,Under Hearing,1625,Revenue Tribunal,Critical
LEG-0000820,LG-000263,Encroachment,2021-08-31,,Stay Order Issued,1764,Revenue Tribunal,Critical
LEG-0000821,LG-000263,Compensation Amount Dispute,2022-01-11,2022-06-27,Resolved,0,District Court,Critical
LEG-0000822,LG-000263,Encroachment,2022-07-22,,Under Hearing,1439,Revenue Tribunal,Critical
LEG-0000823,LG-000263,Environmental Challenge,2021-08-10,2021-12-05,Resolved,0,District Court,Critical
LEG-0000824,LG-000263,Title Dispute,2022-02-27,,Stay Order Issued,1584,High Court,Critical
LEG-0000825,LG-000263,R&R Dispute,2021-12-18,,Stay Order Issued,1655,High Court,Critical
LEG-0000826,LG-000263,Environmental Challenge,2022-07-23,,Under Hearing,1438,District Court,Critical
LEG-0000827,LG-000263,Compensation Amount Dispute,2022-06-27,2022-12-15,Resolved,0,District Court,Critical
LEG-0000828,LG-000264,Environmental Challenge,2025-09-09,2025-12-18,Resolved,0,High Court,Medium
LEG-0000829,LG-000265,Compensation Amount Dispute,2021-07-27,2021-10-01,Resolved,0,District Court,High
LEG-0000830,LG-000267,Environmental Challenge,2025-05-07,,Pending,419,High Court,High
LEG-0000831,LG-000267,Environmental Challenge,2025-08-21,,Stay Order Issued,313,High Court,Medium
LEG-0000832,LG-000267,Title Dispute,2024-12-05,,Stay Order Issued,572,High Court,High
LEG-0000833,LG-000267,Encroachment,2024-10-16,,Pending,622,District Court,Low
LEG-0000834,LG-000268,Title Dispute,2023-02-25,,Pending,1221,District Court,High
LEG-0000835,LG-000268,R&R Dispute,2023-02-26,,Stay Order Issued,1220,Revenue Tribunal,Low
LEG-0000836,LG-000268,Encroachment,2023-03-02,,Stay Order Issued,1216,District Court,High
LEG-0000837,LG-000268,Environmental Challenge,2023-09-20,2024-01-29,Resolved,0,Revenue Tribunal,Low
LEG-0000838,LG-000269,R&R Dispute,2025-02-28,2025-11-25,Resolved,0,Revenue Tribunal,Low
LEG-0000839,LG-000269,Title Dispute,2025-02-22,,Pending,493,District Court,Medium
LEG-0000840,LG-000269,Compensation Amount Dispute,2025-05-24,,Under Hearing,402,High Court,Medium
LEG-0000841,LG-000270,Title Dispute,2023-04-12,2023-07-20,Resolved,0,District Court,Low
LEG-0000842,LG-000271,R&R Dispute,2018-06-15,2019-03-22,Resolved,0,District Court,Critical
LEG-0000843,LG-000271,Encroachment,2018-08-31,2019-02-01,Resolved,0,District Court,Critical
LEG-0000844,LG-000271,Encroachment,2018-11-07,,Under Hearing,2792,Revenue Tribunal,Critical
LEG-0000845,LG-000271,Title Dispute,2018-06-09,,Pending,2943,High Court,Critical
LEG-0000846,LG-000271,Compensation Amount Dispute,2019-01-24,2019-06-13,Resolved,0,Revenue Tribunal,Critical
LEG-0000847,LG-000271,R&R Dispute,2018-12-17,,Pending,2752,High Court,Critical
LEG-0000848,LG-000271,R&R Dispute,2019-03-17,2019-08-23,Resolved,0,High Court,Critical
LEG-0000849,LG-000271,Title Dispute,2018-06-18,,Under Hearing,2934,High Court,Critical
LEG-0000850,LG-000271,Encroachment,2019-04-04,2019-12-16,Resolved,0,Revenue Tribunal,Critical
LEG-0000851,LG-000272,R&R Dispute,2020-10-08,2021-01-25,Resolved,0,High Court,High
LEG-0000852,LG-000272,Environmental Challenge,2020-05-22,2020-10-08,Resolved,0,Revenue Tribunal,Medium
LEG-0000853,LG-000273,R&R Dispute,2021-06-07,,Under Hearing,1849,Revenue Tribunal,High
LEG-0000854,LG-000274,R&R Dispute,2024-05-17,,Pending,774,Revenue Tribunal,Low
LEG-0000855,LG-000274,R&R Dispute,2023-10-11,,Stay Order Issued,993,High Court,Low
LEG-0000856,LG-000275,Encroachment,2023-05-21,2023-08-09,Resolved,0,High Court,Medium
LEG-0000857,LG-000275,Title Dispute,2023-01-15,,Stay Order Issued,1262,Revenue Tribunal,Low
LEG-0000858,LG-000276,Encroachment,2025-02-28,2025-08-10,Resolved,0,District Court,High
LEG-0000859,LG-000277,Compensation Amount Dispute,2020-12-28,2021-09-14,Resolved,0,High Court,Low
LEG-0000860,LG-000278,Compensation Amount Dispute,2022-07-20,,Pending,1441,District Court,Critical
LEG-0000861,LG-000278,R&R Dispute,2023-03-16,2023-07-15,Resolved,0,District Court,Critical
LEG-0000862,LG-000278,Title Dispute,2022-07-09,2023-04-16,Resolved,0,Revenue Tribunal,Critical
LEG-0000863,LG-000278,Compensation Amount Dispute,2023-01-15,2023-06-14,Resolved,0,High Court,Critical
LEG-0000864,LG-000278,Environmental Challenge,2022-10-08,,Pending,1361,District Court,Critical
LEG-0000865,LG-000278,Environmental Challenge,2022-05-21,2023-03-13,Resolved,0,Revenue Tribunal,Critical
LEG-0000866,LG-000279,Environmental Challenge,2020-06-22,,Under Hearing,2199,District Court,High
LEG-0000867,LG-000279,Title Dispute,2020-06-04,,Stay Order Issued,2217,District Court,High
LEG-0000868,LG-000279,Compensation Amount Dispute,2020-06-12,,Pending,2209,High Court,Low
LEG-0000869,LG-000280,Environmental Challenge,2019-01-07,2019-06-29,Resolved,0,District Court,High
LEG-0000870,LG-000280,Environmental Challenge,2018-04-12,2018-06-23,Resolved,0,High Court,High
LEG-0000871,LG-000280,Encroachment,2018-07-07,,Under Hearing,2915,Revenue Tribunal,High
LEG-0000872,LG-000281,Title Dispute,2019-10-06,2020-03-05,Resolved,0,District Court,High
LEG-0000873,LG-000281,Environmental Challenge,2020-04-10,,Pending,2272,Revenue Tribunal,High
LEG-0000874,LG-000282,Encroachment,2024-04-06,2024-10-27,Resolved,0,High Court,Medium
LEG-0000875,LG-000282,Environmental Challenge,2023-11-09,2024-02-13,Resolved,0,High Court,High
LEG-0000876,LG-000282,Encroachment,2023-10-08,,Under Hearing,996,Revenue Tribunal,High
LEG-0000877,LG-000283,Encroachment,2024-07-26,,Stay Order Issued,704,Revenue Tribunal,High
LEG-0000878,LG-000284,Title Dispute,2019-09-23,2020-05-15,Resolved,0,District Court,Medium
LEG-0000879,LG-000284,Title Dispute,2019-04-23,2019-12-07,Resolved,0,High Court,Medium
LEG-0000880,LG-000285,Compensation Amount Dispute,2023-08-03,2024-03-14,Resolved,0,High Court,Medium
LEG-0000881,LG-000286,Environmental Challenge,2023-07-08,,Pending,1088,District Court,Critical
LEG-0000882,LG-000286,R&R Dispute,2023-09-15,,Pending,1019,District Court,Critical
LEG-0000883,LG-000286,Compensation Amount Dispute,2024-01-10,,Pending,902,Revenue Tribunal,Critical
LEG-0000884,LG-000286,Encroachment,2024-01-30,,Under Hearing,882,District Court,Critical
LEG-0000885,LG-000286,Encroachment,2023-03-18,,Pending,1200,District Court,Critical
