rr_id,project_id,affected_families,families_eligible,families_rehabilitated,families_pending,houses_required,houses_completed,rr_budget,rr_spent,rr_completion_percentage,rr_status
RR-000274,LG-000274,2912,2785,2451,334,2785,2451,7007346429.84,6166968078.83,88.01,In Progress
RR-000275,LG-000275,4297,3956,3576,380,3956,3576,10426690023.89,9425137392.68,90.39,In Progress
RR-000276,LG-000276,414,341,313,28,341,313,5699503102.21,5231508712.59,91.79,In Progress
RR-000277,LG-000277,1915,1907,1748,159,1907,1748,8213842836.86,7528996999.91,91.66,In Progress
RR-000278,LG-000278,434,416,145,271,416,124,13633666080.55,4752119186.73,34.86,Delayed
RR-000279,LG-000279,3900,3510,3028,482,3510,3028,13568574727.95,11705311759.61,86.27,In Progress
RR-000280,LG-000280,498,413,376,37,413,376,14577658987.78,13271670168.05,91.04,In Progress
RR-000281,LG-000281,1486,1207,1144,63,1207,1144,14556311068.77,13796536754.49,94.78,In Progress
RR-000282,LG-000282,3465,3293,1811,1482,3293,1646,2283318819.33,1255721342.79,55.0,In Progress
RR-000283,LG-000283,4017,3959,3815,144,3959,3815,14335016769.8,13813611764.79,96.36,In Progress
RR-000284,LG-000284,3574,3139,3050,89,3139,3050,3532955032.37,3432785233.75,97.16,In Progress
RR-000285,LG-000285,3880,3601,3547,54,3601,3547,14586907148.03,14368164302.71,98.5,In Progress
RR-000286,LG-000286,3285,3135,1097,2038,3135,940,14585640976.33,5103811212.45,34.99,Delayed
RR-000287,LG-000287,3329,2942,2670,272,2942,2670,12661947952.21,11491298787.36,90.75,In Progress
RR-000288,LG-000288,4206,3439,1891,1548,3439,1719,10951050939.32,6021645049.8,54.99,In Progress
RR-000289,LG-000289,471,405,222,183,405,202,3934478929.51,2156677339.14,54.81,In Progress
RR-000290,LG-000290,4886,4343,3966,377,4343,3966,10901142230.06,9954853807.14,91.32,In Progress
RR-000291,LG-000291,4962,3980,1393,2587,3980,1194,4641107583.75,1624387654.31,35.0,Delayed
RR-000292,LG-000292,2493,2454,2131,323,2454,2131,3860143851.02,3352064607.39,86.84,In Progress
RR-000293,LG-000293,3878,3292,1152,2140,3292,987,13773965295.46,4820051038.99,34.99,Delayed
RR-000294,LG-000294,1970,1880,1653,227,1880,1653,6352333941.14,5585323406.76,87.93,In Progress
RR-000295,LG-000295,102,94,51,43,94,47,7411679888.45,4021230577.78,54.26,In Progress
RR-000296,LG-000296,3176,2639,2552,87,2639,2552,10930520212.62,10570173392.42,96.7,In Progress
RR-000297,LG-000297,660,544,299,245,544,272,10456189874.46,5747060243.5,54.96,In Progress
RR-000298,LG-000298,2615,2386,2141,245,2386,2141,2891061060.0,2594200221.9,89.73,In Progress
RR-000299,LG-000299,654,588,205,383,588,176,11003820666.59,3836366048.73,34.86,Delayed
RR-000300,LG-000300,1037,861,777,84,861,777,7671631780.24,6923179899.24,90.24,In Progress
RR-000301,LG-000301,4309,3505,3367,138,3505,3367,1649711220.41,1584758253.67,96.06,In Progress
RR-000302,LG-000302,330,306,272,34,306,272,5197873870.66,4620332329.48,88.89,In Progress
RR-000303,LG-000303,1049,924,850,74,924,850,3353017111.34,3084485437.92,91.99,In Progress
RR-000304,LG-000304,4839,4464,1562,2902,4464,1339,4335748040.64,1517123306.34,34.99,Delayed
RR-000305,LG-000305,2514,2052,1128,924,2052,1026,8679108964.15,4770972179.12,54.97,In Progress
RR-000306,LG-000306,48,46,39,7,46,39,4271721720.07,3621677110.49,84.78,In Progress
RR-000307,LG-000307,4960,4640,4471,169,4640,4471,14798707814.05,14259703154.44,96.36,In Progress
RR-000308,LG-000308,1168,1009,959,50,1009,959,8711701777.81,8280001987.04,95.04,In Progress
RR-000309,LG-000309,851,806,443,363,806,403,7238906182.72,3978704018.54,54.96,In Progress
RR-000310,LG-000310,4185,3810,2095,1715,3810,1905,3310649534.69,1820422775.64,54.99,In Progress
RR-000311,LG-000311,704,623,546,77,623,546,12390494660.89,10859085208.42,87.64,In Progress
RR-000312,LG-000312,1690,1675,921,754,1675,837,11752584049.19,6462167110.03,54.99,In Progress
RR-000313,LG-000313,4420,3860,3344,516,3860,3344,9278603519.31,8038251339.01,86.63,In Progress
RR-000314,LG-000314,1903,1536,844,692,1536,768,9765673025.36,5366033875.91,54.95,In Progress
RR-000315,LG-000315,1653,1414,1249,165,1414,1249,10368265425.87,9158390040.25,88.33,In Progress
RR-000316,LG-000316,3962,3601,3486,115,3601,3486,1035530488.88,1002460228.89,96.81,In Progress
RR-000317,LG-000317,2934,2891,2472,419,2891,2472,10697157928.63,9146791559.87,85.51,In Progress
RR-000318,LG-000318,4065,3322,2947,375,3322,2947,14950674007.05,13262985038.76,88.71,In Progress
RR-000319,LG-000319,3642,3585,3256,329,3585,3256,13758899602.29,12496227923.31,90.82,In Progress
RR-000320,LG-000320,74,64,54,10,64,54,254422161.2,214668698.51,84.38,In Progress
RR-000321,LG-000321,2553,2205,1902,303,2205,1902,6438222276.71,5553514181.54,86.26,In Progress
RR-000322,LG-000322,2913,2693,942,1751,2693,807,14967173954.19,5235454090.18,34.98,Delayed
RR-000323,LG-000323,3769,3042,1064,1978,3042,912,7223365698.66,2526515813.08,34.98,Delayed
RR-000324,LG-000324,4377,3910,1368,2542,3910,1173,5080350943.82,1777473169.09,34.99,Delayed
RR-000325,LG-000325,4005,3209,3201,8,3209,3201,14854141182.32,14817109979.62,99.75,In Progress
RR-000326,LG-000326,4800,4079,1427,2652,4079,1223,14297440078.47,5001825690.6,34.98,Delayed
RR-000327,LG-000327,4485,3770,2073,1697,3770,1885,7283082323.62,4004729351.95,54.99,In Progress
RR-000328,LG-000328,72,61,33,28,61,30,9812367183.39,5308329787.74,54.1,In Progress
RR-000329,LG-000329,1686,1505,526,979,1505,451,3233339002.7,1130057352.44,34.95,Delayed
RR-000330,LG-000330,1972,1795,1692,103,1795,1692,14793639348.92,13944756422.49,94.26,In Progress
RR-000331,LG-000331,3178,2584,904,1680,2584,775,5786038888.22,2024217939.22,34.98,Delayed
RR-000332,LG-000332,3663,3000,2608,392,3000,2608,3731150202.45,3243613242.66,86.93,In Progress
RR-000333,LG-000333,723,612,336,276,612,306,11352950746.96,6232992566.96,54.9,In Progress
RR-000334,LG-000334,2952,2551,892,1659,2551,765,14226377862.09,4974491984.71,34.97,Delayed
RR-000335,LG-000335,156,141,77,64,141,70,14099786169.0,7699883227.04,54.61,In Progress
RR-000336,LG-000336,894,763,419,344,763,381,3864714332.12,2122300531.01,54.91,In Progress
RR-000337,LG-000337,1141,951,523,428,951,475,5345029335.25,2939485112.87,54.99,In Progress
RR-000338,LG-000338,74,59,56,3,59,56,3665012238.96,3478655684.44,94.92,In Progress
RR-000339,LG-000339,2929,2771,2592,179,2771,2592,3057566778.89,2860055247.52,93.54,In Progress
RR-000340,LG-000340,597,514,437,77,514,437,7565663237.27,6432285670.6,85.02,In Progress
RR-000341,LG-000341,2982,2969,2555,414,2969,2555,405630287.6,349068839.62,86.06,In Progress
RR-000342,LG-000342,1721,1660,913,747,1660,830,7865016553.9,4325759104.65,55.0,In Progress
RR-000343,LG-000343,749,690,682,8,690,682,504107967.26,498263237.2,98.84,In Progress
RR-000344,LG-000344,493,473,454,19,473,454,9070638247.6,8706278571.69,95.98,In Progress
RR-000345,LG-000345,611,573,315,258,573,286,4947241241.8,2719687593.66,54.97,In Progress
RR-000346,LG-000346,3836,3134,2828,306,3134,2828,8256444582.35,7450295238.96,90.24,In Progress
RR-000347,LG-000347,588,477,262,215,477,238,7157947356.08,3931618883.21,54.93,In Progress
RR-000348,LG-000348,975,914,819,95,914,819,11026492767.03,9880413103.06,89.61,In Progress
RR-000349,LG-000349,1723,1508,1370,138,1508,1370,11996136046.8,10898346408.56,90.85,In Progress
RR-000350,LG-000350,2676,2617,2262,355,2617,2262,11892091274.05,10278911143.26,86.43,In Progress
RR-000351,LG-000351,4955,4046,3829,217,4046,3829,6756997933.98,6394598390.81,94.64,In Progress
RR-000352,LG-000352,1809,1716,1649,67,1716,1649,6354365279.66,6106263604.99,96.1,In Progress
RR-000353,LG-000353,725,619,216,403,619,185,12984781976.25,4531038621.76,34.89,Delayed
RR-000354,LG-000354,2697,2167,1956,211,2167,1956,1839603094.05,1660481611.43,90.26,In Progress
RR-000355,LG-000355,3337,3176,1746,1430,3176,1588,4315617676.46,2372502664.7,54.97,In Progress
RR-000356,LG-000356,3410,3009,2663,346,3009,2663,5741730971.76,5081498696.51,88.5,In Progress
RR-000357,LG-000357,1324,1276,1176,100,1276,1176,7872023820.29,7255094053.81,92.16,In Progress
RR-000358,LG-000358,3273,3131,1095,2036,3131,939,12364488523.01,4324214287.03,34.97,Delayed
RR-000359,LG-000359,468,393,336,57,393,336,2676254355.75,2288095327.05,85.5,In Progress
RR-000360,LG-000360,3554,2872,2680,192,2872,2680,2675416362.86,2496558444.45,93.31,In Progress
RR-000361,LG-000361,1325,1192,1171,21,1192,1171,13335578444.23,13100639562.24,98.24,In Progress
RR-000362,LG-000362,1887,1812,996,816,1812,906,4251135438.35,2336716830.35,54.97,In Progress
RR-000363,LG-000363,2312,2280,798,1482,2280,684,3973586379.86,1390755232.95,35.0,Delayed
RR-000364,LG-000364,2010,1917,1054,863,1917,958,2923729107.05,1607517203.35,54.98,In Progress
RR-000365,LG-000365,1669,1622,567,1055,1622,486,11876253610.8,4151563376.89,34.96,Delayed
RR-000366,LG-000366,4232,3468,3026,442,3468,3026,8038908533.01,7014341759.2,87.25,In Progress
RR-000367,LG-000367,2369,2313,1272,1041,2313,1156,14075192676.49,7740443183.96,54.99,In Progress
RR-000368,LG-000368,4596,4236,4189,47,4236,4189,2328453581.16,2302618520.18,98.89,In Progress
RR-000369,LG-000369,434,416,145,271,416,124,5006908531.49,1745196483.33,34.86,Delayed
RR-000370,LG-000370,2548,2342,1288,1054,2342,1171,2739213651.98,1506450548.14,55.0,In Progress
RR-000371,LG-000371,2196,1803,631,1172,1803,540,9210005075.31,3223246368.56,35.0,Delayed
RR-000372,LG-000372,3931,3250,1137,2113,3250,975,10060498536.29,3519626718.7,34.98,Delayed
RR-000373,LG-000373,2806,2380,1309,1071,2380,1190,8656323364.78,4760977850.63,55.0,In Progress
RR-000374,LG-000374,2867,2585,2537,48,2585,2537,8854069576.39,8689661321.2,98.14,In Progress
RR-000375,LG-000375,2771,2293,1261,1032,2293,1146,7930517778.26,4361265991.45,54.99,In Progress
RR-000376,LG-000376,1297,1178,1172,6,1178,1172,6688771129.53,6654702685.75,99.49,In Progress
RR-000377,LG-000377,1233,1070,588,482,1070,535,832912416.11,457712617.45,54.95,In Progress
RR-000378,LG-000378,406,347,190,157,347,173,9037261121.97,4948356233.93,54.76,In Progress
RR-000379,LG-000379,2036,1880,1707,173,1880,1707,4023753302.19,3653482386.62,90.8,In Progress
RR-000380,LG-000380,1771,1485,1267,218,1485,1267,14261326978.96,12167744971.27,85.32,In Progress
RR-000381,LG-000381,1381,1365,1355,10,1365,1355,12441649746.92,12350502129.73,99.27,In Progress
RR-000382,LG-000382,3049,2500,2425,75,2500,2425,12393185178.69,12021389623.33,97.0,In Progress
RR-000383,LG-000383,3497,3289,3119,170,3289,3119,4173676548.95,3957949880.26,94.83,In Progress
RR-000384,LG-000384,2048,1920,1056,864,1920,960,10620471200.85,5841259160.47,55.0,In Progress
RR-000385,LG-000385,2566,2372,1304,1068,2372,1186,4001759633.67,2199955549.03,54.97,In Progress
RR-000386,LG-000386,3312,3000,2675,325,3000,2675,2441723299.47,2177203275.36,89.17,In Progress
RR-000387,LG-000387,1427,1174,1166,8,1174,1166,13972030561.89,13876820813.6,99.32,In Progress
RR-000388,LG-000388,1202,1039,906,133,1039,906,11782434074.29,10274191791.44,87.2,In Progress
RR-000389,LG-000389,2635,2349,2343,6,2349,2343,712574325.63,710754212.41,99.74,In Progress
RR-000390,LG-000390,4206,4110,2260,1850,4110,2055,9884982850.44,5435538015.08,54.99,In Progress
RR-000391,LG-000391,2073,1894,1716,178,1894,1716,7258649036.88,6576473995.4,90.6,In Progress
RR-000392,LG-000392,3495,3078,1077,2001,3078,923,9968863581.84,3488130629.51,34.99,Delayed
RR-000393,LG-000393,824,668,634,34,668,634,14566005294.32,13824621791.32,94.91,In Progress
RR-000394,LG-000394,209,186,176,10,186,176,4933931770.97,4668666621.99,94.62,In Progress
RR-000395,LG-000395,910,764,267,497,764,229,7072609221.7,2471710290.83,34.95,Delayed
RR-000396,LG-000396,2189,1759,967,792,1759,879,6813435835.93,3745646647.72,54.97,In Progress
RR-000397,LG-000397,1252,1247,1080,167,1247,1080,8817287789.47,7636464164.1,86.61,In Progress
RR-000398,LG-000398,269,238,229,9,238,229,7932818778.51,7632838236.47,96.22,In Progress
RR-000399,LG-000399,4921,4836,4654,182,4836,4654,206937306.66,199149343.51,96.24,In Progress
RR-000400,LG-000400,3077,2614,2446,168,2614,2446,12375277424.59,11579926771.44,93.57,In Progress
RR-000401,LG-000401,3215,3049,1067,1982,3049,914,8400246300.68,2939672942.87,35.0,Delayed
RR-000402,LG-000402,1099,923,507,416,923,461,1962142359.28,1077796507.21,54.93,In Progress
RR-000403,LG-000403,1060,929,881,48,929,881,3267884566.37,3099038001.05,94.83,In Progress
RR-000404,LG-000404,1271,1213,667,546,1213,606,13631480210.64,7495628442.29,54.99,In Progress
RR-000405,LG-000405,2064,1878,1032,846,1878,939,7336643553.25,4031637990.92,54.95,In Progress
RR-000406,LG-000406,1239,1193,1151,42,1193,1151,10392396327.25,10026528225.2,96.48,In Progress
RR-000407,LG-000407,1775,1543,1476,67,1543,1476,4015235714.97,3840886529.68,95.66,In Progress
RR-000408,LG-000408,1553,1299,1218,81,1299,1218,2703479707.51,2534902450.92,93.76,In Progress
RR-000409,LG-000409,4554,3954,3580,374,3954,3580,8168597243.1,7395947933.81,90.54,In Progress
RR-000410,LG-000410,4333,4148,3701,447,4148,3701,520364993.35,464289016.49,89.22,In Progress
RR-000411,LG-000411,1408,1309,1288,21,1309,1288,185269009.47,182296779.37,98.4,In Progress
RR-000412,LG-000412,1250,1011,902,109,1011,902,594500976.04,530405420.76,89.22,In Progress
RR-000413,LG-000413,4977,4206,2313,1893,4206,2103,7774456973.63,4275396809.32,54.99,In Progress
RR-000414,LG-000414,842,753,686,67,753,686,9256384215.22,8432774995.54,91.1,In Progress
RR-000415,LG-000415,4642,4568,4233,335,4568,4233,7129613250.16,6606754134.84,92.67,In Progress
RR-000416,LG-000416,1129,929,875,54,929,875,9769946550.72,9202048688.78,94.19,In Progress
RR-000417,LG-000417,3205,2904,2860,44,2904,2860,3564172582.68,3510169967.79,98.48,In Progress
RR-000418,LG-000418,3798,3519,3130,389,3519,3130,14004178493.41,12456117841.54,88.95,In Progress
RR-000419,LG-000419,4555,4061,4031,30,4061,4031,10767671432.76,10688126950.37,99.26,In Progress
RR-000420,LG-000420,81,74,40,34,74,37,3069399387.18,1659134803.88,54.05,In Progress
RR-000421,LG-000421,3460,3201,2984,217,3201,2984,2283137027.67,2128360165.75,93.22,In Progress
RR-000422,LG-000422,3018,2669,2515,154,2669,2515,5028107018.28,4737987692.38,94.23,In Progress
RR-000423,LG-000423,2966,2826,2674,152,2826,2674,14379171388.42,13605769388.76,94.62,In Progress
RR-000424,LG-000424,2294,2273,1963,310,2273,1963,11953728831.55,10323435854.08,86.36,In Progress
RR-000425,LG-000425,4784,4540,4360,180,4540,4360,6548306098.5,6288681627.63,96.04,In Progress
RR-000426,LG-000426,4495,4158,3762,396,4158,3762,2006287907.85,1815212869.01,90.48,In Progress
RR-000427,LG-000427,597,505,277,228,505,252,8273511172.55,4538143752.07,54.85,In Progress
RR-000428,LG-000428,1380,1240,434,806,1240,372,6181186371.78,2163415230.12,35.0,Delayed
RR-000429,LG-000429,4945,4407,2423,1984,4407,2203,4817103170.07,2648477644.9,54.98,In Progress
RR-000430,LG-000430,1522,1312,459,853,1312,393,641559839.07,224448144.92,34.98,Delayed
RR-000431,LG-000431,3418,3163,2827,336,3163,2827,5819944206.22,5201701634.84,89.38,In Progress
RR-000432,LG-000432,4813,4562,4207,355,4562,4207,1658096128.66,1529068481.65,92.22,In Progress
RR-000433,LG-000433,4479,3767,2071,1696,3767,1883,12879566874.1,7080855587.01,54.98,In Progress
RR-000434,LG-000434,4843,3929,3450,479,3929,3450,5012686609.11,4401570069.08,87.81,In Progress
RR-000435,LG-000435,641,539,482,57,539,482,8320717693.77,7440790219.66,89.42,In Progress
RR-000436,LG-000436,2203,2105,2000,105,2105,1999,2254526791.2,2142068210.17,95.01,In Progress
RR-000437,LG-000437,215,194,172,22,194,172,6216242887.93,5511308127.44,88.66,In Progress
RR-000438,LG-000438,549,505,478,27,505,478,8685844055.8,8221452393.41,94.65,In Progress
RR-000439,LG-000439,3618,3402,3092,310,3402,3092,10421388755.87,9471761914.51,90.89,In Progress
RR-000440,LG-000440,3728,3565,3057,508,3565,3057,11602515765.83,9949197951.23,85.75,In Progress
RR-000441,LG-000441,4614,3974,3890,84,3974,3890,69448333.78,67980377.05,97.89,In Progress
RR-000442,LG-000442,1500,1282,448,834,1282,384,13399448663.83,4682490640.71,34.95,Delayed
RR-000443,LG-000443,4725,3829,1340,2489,3829,1148,8738142529.31,3058007570.98,35.0,Delayed
RR-000444,LG-000444,1426,1153,1101,52,1153,1101,8114032345.81,7748091598.21,95.49,In Progress
RR-000445,LG-000445,1225,1131,622,509,1131,565,125728427.31,69145076.73,55.0,In Progress
RR-000446,LG-000446,689,574,315,259,574,287,14230646374.3,7809501059.07,54.88,In Progress
RR-000447,LG-000447,2065,1846,1015,831,1846,923,13570173388.43,7461390026.68,54.98,In Progress
RR-000448,LG-000448,1381,1239,1158,81,1239,1158,12096769986.72,11305939987.59,93.46,In Progress
RR-000449,LG-000449,4852,4703,2586,2117,4703,2351,4401007474.95,2419945849.5,54.99,In Progress
RR-000450,LG-000450,2921,2362,1299,1063,2362,1181,10659793444.46,5862435090.75,55.0,In Progress
RR-000451,LG-000451,1910,1666,583,1083,1666,499,9654406326.61,3378462718.14,34.99,Delayed
RR-000452,LG-000452,1629,1603,561,1042,1603,480,13880389739.93,4857703458.58,35.0,Delayed
RR-000453,LG-000453,2873,2432,2321,111,2432,2321,2598707195.96,2480098438.25,95.44,In Progress
RR-000454,LG-000454,3892,3865,3338,527,3865,3338,10523893746.87,9088941093.67,86.36,In Progress
RR-000455,LG-000455,1244,1013,938,75,1013,938,5075686565.98,4699895359.22,92.6,In Progress
RR-000456,LG-000456,1843,1576,1433,143,1576,1433,11736982217.04,10672014921.97,90.93,In Progress
RR-000457,LG-000457,4275,3872,1355,2517,3872,1161,1477478494.47,517041157.03,34.99,Delayed
RR-000458,LG-000458,3372,2844,995,1849,2844,853,4301603451.45,1504956200.49,34.99,Delayed
RR-000459,LG-000459,3661,3462,1904,1558,3462,1731,7809208536.17,4294839125.61,55.0,In Progress
RR-000460,LG-000460,4772,4333,4234,99,4333,4234,2175378851.98,2125675988.76,97.72,In Progress
RR-000461,LG-000461,2898,2549,2358,191,2549,2358,7266385933.95,6721905858.08,92.51,In Progress
RR-000462,LG-000462,1775,1662,1450,212,1662,1450,6911202044.28,6029628738.99,87.24,In Progress
RR-000463,LG-000463,690,676,371,305,676,338,14377485710.97,7890602365.04,54.88,In Progress
RR-000464,LG-000464,3536,2909,2571,338,2909,2571,6666184282.2,5891632791.18,88.38,In Progress
RR-000465,LG-000465,1298,1099,384,715,1099,329,13612931678.84,4756474763.13,34.94,Delayed
RR-000466,LG-000466,261,260,232,28,260,232,530555986.63,473419188.07,89.23,In Progress
RR-000467,LG-000467,97,96,94,2,96,94,462704320.19,453064646.85,97.92,In Progress
RR-000468,LG-000468,615,575,201,374,575,172,11029119290.68,3855396482.48,34.96,Delayed
RR-000469,LG-000469,315,263,144,119,263,131,11501480822.7,6297388739.43,54.75,In Progress
RR-000470,LG-000470,1964,1743,1521,222,1743,1521,13535685552.39,11811691179.11,87.26,In Progress
RR-000471,LG-000471,3112,2568,2333,235,2568,2333,10648356209.24,9673915512.52,90.85,In Progress
RR-000472,LG-000472,2896,2455,2097,358,2455,2097,13903969205.59,11876425020.01,85.42,In Progress
RR-000473,LG-000473,4986,4882,4673,209,4882,4673,10599977449.28,10146188984.12,95.72,In Progress
RR-000474,LG-000474,3140,2579,2302,277,2579,2302,14664341387.07,13089303556.82,89.26,In Progress
RR-000475,LG-000475,4733,4480,4062,418,4480,4062,3107212489.89,2817298467.4,90.67,In Progress
RR-000476,LG-000476,3940,3572,3315,257,3572,3315,4578645671.08,4249219036.85,92.81,In Progress
RR-000477,LG-000477,2661,2612,1436,1176,2612,1306,1146269163.95,630184731.79,54.98,In Progress
RR-000478,LG-000478,3835,3797,3454,343,3797,3454,3248029563.31,2954620519.27,90.97,In Progress
RR-000479,LG-000479,4106,3302,1816,1486,3302,1651,6072513600.94,3339698576.41,55.0,In Progress
RR-000480,LG-000480,3018,2476,866,1610,2476,742,3805590704.51,1331034551.74,34.98,Delayed
RR-000481,LG-000481,3305,2726,1499,1227,2726,1363,14993851213.02,8244968073.48,54.99,In Progress
RR-000482,LG-000482,1625,1313,722,591,1313,656,7855265181.26,4319498446.97,54.99,In Progress
RR-000483,LG-000483,423,415,145,270,415,124,13932689482.11,4868048132.3,34.94,Delayed
RR-000484,LG-000484,3012,2981,1639,1342,2981,1490,11711944976.73,6439408861.74,54.98,In Progress
RR-000485,LG-000485,2368,2063,1946,117,2063,1946,13702637265.46,12925512418.12,94.33,In Progress
RR-000486,LG-000486,1501,1437,502,935,1437,431,12229038534.59,4272078875.69,34.93,Delayed
RR-000487,LG-000487,4419,3779,2078,1701,3779,1889,11084638616.18,6095231289.87,54.99,In Progress
RR-000488,LG-000488,4303,4059,3596,463,4059,3596,9285860255.22,8226645350.52,88.59,In Progress
RR-000489,LG-000489,2062,1962,1809,153,1962,1809,6253835128.38,5766150737.63,92.2,In Progress
RR-000490,LG-000490,108,90,87,3,90,87,13641493599.55,13186777146.23,96.67,In Progress
RR-000491,LG-000491,4550,4219,2320,1899,4219,2109,14604557073.25,8030948663.18,54.99,In Progress
RR-000492,LG-000492,1411,1154,1127,27,1154,1127,3061921000.59,2990281601.1,97.66,In Progress
RR-000493,LG-000493,2709,2535,2309,226,2535,2309,12627005023.72,11501283865.79,91.08,In Progress
RR-000494,LG-000494,1255,1131,1065,66,1131,1065,1698575519.15,1599454401.32,94.16,In Progress
RR-000495,LG-000495,4602,4169,3583,586,4169,3583,11036186708.58,9484926115.82,85.94,In Progress
RR-000496,LG-000496,4099,3530,1941,1589,3530,1765,7860781532.91,4322316417.95,54.99,In Progress
RR-000497,LG-000497,3046,3012,2788,224,3012,2788,3881500815.39,3592836744.13,92.56,In Progress
RR-000498,LG-000498,3961,3241,3037,204,3241,3037,3754148834.08,3517849432.0,93.71,In Progress
RR-000499,LG-000499,3448,3329,3149,180,3329,3149,13894177176.9,13142914968.48,94.59,In Progress
RR-000500,LG-000500,1351,1100,605,495,1100,550,9587612798.16,5273187038.99,55.0,In Progress
RR-000501,LG-000501,2476,2310,2039,271,2310,2039,14108797424.48,12453609501.52,88.27,In Progress
RR-000502,LG-000502,2644,2561,896,1665,2561,768,12376835523.99,4330200948.65,34.99,Delayed
RR-000503,LG-000503,2038,1872,1689,183,1872,1689,3535099363.09,3189520739.45,90.22,In Progress
RR-000504,LG-000504,1103,1064,585,479,1064,532,10160979449.35,5586628738.6,54.98,In Progress
RR-000505,LG-000505,4475,3671,1284,2387,3671,1101,12114176513.41,4237156808.29,34.98,Delayed
RR-000506,LG-000506,4868,4378,1532,2846,4378,1313,6555837035.35,2294093727.31,34.99,Delayed
RR-000507,LG-000507,4156,3939,1378,2561,3939,1181,11396743759.06,3986979664.89,34.98,Delayed
RR-000508,LG-000508,3885,3814,3307,507,3814,3307,10249678336.17,8887175211.78,86.71,In Progress
RR-000509,LG-000509,3064,3058,3042,16,3058,3042,12173293985.02,12109601145.33,99.48,In Progress
RR-000510,LG-000510,1352,1132,1120,12,1132,1120,6003119522.28,5939482212.86,98.94,In Progress
RR-000511,LG-000511,3308,2967,1631,1336,2967,1483,7586892706.19,4170617459.99,54.97,In Progress
RR-000512,LG-000512,3677,3065,2999,66,3065,2999,12930846837.73,12652401196.2,97.85,In Progress
RR-000513,LG-000513,2732,2661,2617,44,2661,2617,14424893284.23,14186375695.16,98.35,In Progress
RR-000514,LG-000514,1668,1526,1412,114,1526,1412,11991089338.2,11095293673.35,92.53,In Progress
RR-000515,LG-000515,970,864,842,22,864,842,9674656102.39,9428310692.38,97.45,In Progress
RR-000516,LG-000516,526,512,179,333,512,153,11106036232.97,3882774386.14,34.96,Delayed
RR-000517,LG-000517,4901,4755,1664,3091,4755,1426,11043728377.14,3864724294.33,34.99,Delayed
RR-000518,LG-000518,1990,1877,1826,51,1877,1826,10174742595.43,9898284485.48,97.28,In Progress
RR-000519,LG-000519,1887,1680,1627,53,1680,1627,7011999500.18,6790787611.19,96.85,In Progress
RR-000520,LG-000520,4007,3560,1958,1602,3560,1780,13389467322.26,7364207027.24,55.0,In Progress
RR-000521,LG-000521,2933,2432,1337,1095,2432,1216,7533422486.33,4141523792.85,54.98,In Progress
RR-000522,LG-000522,4659,3998,3630,368,3998,3630,9579242724.84,8697511528.56,90.8,In Progress
RR-000523,LG-000523,4969,4455,3931,524,4455,3931,12894119580.79,11377504842.22,88.24,In Progress
RR-000524,LG-000524,4192,3918,2154,1764,3918,1959,5373701493.14,2954301433.44,54.98,In Progress
RR-000525,LG-000525,2203,2102,1156,946,2102,1051,7350538029.61,4042446223.71,55.0,In Progress
RR-000526,LG-000526,1570,1265,695,570,1265,632,9823321044.32,5397002470.99,54.94,In Progress
RR-000527,LG-000527,3559,3492,3380,112,3492,3380,12036834795.34,11650773656.43,96.79,In Progress
RR-000528,LG-000528,3998,3830,3637,193,3830,3637,14455866134.46,13727411261.37,94.96,In Progress
RR-000529,LG-000529,4427,3854,3746,108,3854,3746,3420283273.04,3324437244.63,97.2,In Progress
RR-000530,LG-000530,2083,2040,2006,34,2040,2006,10432029150.63,10258161998.12,98.33,In Progress
RR-000531,LG-000531,3618,3004,1051,1953,3004,901,3743700722.08,1309796757.29,34.99,Delayed
RR-000532,LG-000532,3822,3356,1174,2182,3356,1006,869292142.03,304096833.95,34.98,Delayed
RR-000533,LG-000533,2321,1903,1046,857,1903,951,9039847525.99,4968828435.2,54.97,In Progress
RR-000534,LG-000534,2247,2198,1208,990,2198,1099,6644271993.68,3651629012.0,54.96,In Progress
RR-000535,LG-000535,4249,3412,3031,381,3412,3031,13215172669.8,11739504209.31,88.83,In Progress
RR-000536,LG-000536,124,100,94,6,100,94,10901285579.25,10247208444.49,94.0,In Progress
RR-000537,LG-000537,1967,1627,1486,141,1627,1486,837433212.0,764859098.36,91.33,In Progress
RR-000538,LG-000538,71,63,22,41,63,18,2777048994.61,969763140.97,34.92,Delayed
RR-000539,LG-000539,1542,1420,1307,113,1420,1307,11054367209.82,10174688692.42,92.04,In Progress
RR-000540,LG-000540,2328,1901,665,1236,1901,570,49449851.4,17298343.6,34.98,Delayed
RR-000541,LG-000541,2945,2516,2278,238,2516,2278,12361733772.63,11192380577.92,90.54,In Progress
RR-000542,LG-000542,3792,3217,1125,2092,3217,965,10380630528.95,3630155220.72,34.97,Delayed
RR-000543,LG-000543,2533,2451,1348,1103,2451,1225,4257519252.31,2341548736.07,55.0,In Progress
RR-000544,LG-000544,3187,2875,1581,1294,2875,1437,8138710627.2,4475583130.99,54.99,In Progress
RR-000545,LG-000545,2638,2437,852,1585,2437,731,11618085536.17,4061800934.27,34.96,Delayed
RR-000546,LG-000546,497,426,234,192,426,213,2927256583.31,1607929672.52,54.93,In Progress
RR-000547,LG-000547,2123,1930,675,1255,1930,579,10837107060.43,3790179930.46,34.97,Delayed
