risk_history_id,project_id,prediction_date,delay_probability,risk_score,risk_category,expected_delay_days,highest_risk_stage,model_version
RISK-0004053,LG-000318,2024-01-08,0.2,20,LOW,7,Documentation,v1.2.0
RISK-0004054,LG-000318,2024-02-07,0.12,12,LOW,28,Documentation,v1.2.0
RISK-0004055,LG-000318,2024-03-08,0.14,14,LOW,16,Documentation,v1.2.0
RISK-0004056,LG-000318,2024-04-07,0.2,20,LOW,13,Documentation,v1.2.0
RISK-0004057,LG-000318,2024-05-07,0.16,16,LOW,5,Documentation,v1.2.0
RISK-0004058,LG-000318,2024-06-06,0.21,21,LOW,21,Documentation,v1.2.0
RISK-0004059,LG-000318,2024-07-06,0.15,15,LOW,20,Documentation,v1.2.0
RISK-0004060,LG-000318,2024-08-05,0.11,11,LOW,30,Documentation,v1.2.0
RISK-0004061,LG-000319,2023-07-28,0.16,16,LOW,17,Possession,v1.2.0
RISK-0004062,LG-000319,2023-08-27,0.18,18,LOW,19,Possession,v1.2.0
RISK-0004063,LG-000319,2023-09-26,0.23,23,LOW,14,Possession,v1.2.0
RISK-0004064,LG-000319,2023-10-26,0.09,9,LOW,2,Possession,v1.2.0
RISK-0004065,LG-000319,2023-11-25,0.2,20,LOW,20,Possession,v1.2.0
RISK-0004066,LG-000319,2023-12-25,0.07,7,LOW,4,Possession,v1.2.0
RISK-0004067,LG-000319,2024-01-24,0.1,10,LOW,7,Possession,v1.2.0
RISK-0004068,LG-000319,2024-02-23,0.23,23,LOW,13,Possession,v1.2.0
RISK-0004069,LG-000319,2024-03-24,0.19,19,LOW,25,Possession,v1.2.0
RISK-0004070,LG-000319,2024-04-23,0.09,9,LOW,20,Possession,v1.2.0
RISK-0004071,LG-000319,2024-05-23,0.1,10,LOW,29,Possession,v1.2.0
RISK-0004072,LG-000319,2024-06-22,0.14,14,LOW,18,Possession,v1.2.0
RISK-0004073,LG-000319,2024-07-22,0.16,16,LOW,23,Possession,v1.2.0
RISK-0004074,LG-000319,2024-08-21,0.22,22,LOW,24,Possession,v1.2.0
RISK-0004075,LG-000319,2024-09-20,0.17,17,LOW,4,Possession,v1.2.0
RISK-0004076,LG-000319,2024-10-20,0.22,22,LOW,30,Possession,v1.2.0
RISK-0004077,LG-000320,2021-05-13,0.35,35,MEDIUM,98,Documentation,v1.2.0
RISK-0004078,LG-000320,2021-06-12,0.37,37,MEDIUM,108,Documentation,v1.2.0
RISK-0004079,LG-000320,2021-07-12,0.31,31,MEDIUM,108,Documentation,v1.2.0
RISK-0004080,LG-000320,2021-08-11,0.4,40,MEDIUM,68,Documentation,v1.2.0
RISK-0004081,LG-000320,2021-09-10,0.45,45,MEDIUM,98,Documentation,v1.2.0
RISK-0004082,LG-000320,2021-10-10,0.39,39,MEDIUM,97,Documentation,v1.2.0
RISK-0004083,LG-000320,2021-11-09,0.42,42,MEDIUM,66,Documentation,v1.2.0
RISK-0004084,LG-000320,2021-12-09,0.31,31,MEDIUM,76,Documentation,v1.2.0
RISK-0004085,LG-000320,2022-01-08,0.4,40,MEDIUM,49,Documentation,v1.2.0
RISK-0004086,LG-000320,2022-02-07,0.31,31,MEDIUM,86,Documentation,v1.2.0
RISK-0004087,LG-000321,2020-05-05,0.32,32,MEDIUM,70,Land Identification,v1.2.0
RISK-0004088,LG-000321,2020-06-04,0.39,39,MEDIUM,45,Land Identification,v1.2.0
RISK-0004089,LG-000321,2020-07-04,0.32,32,MEDIUM,99,Land Identification,v1.2.0
RISK-0004090,LG-000321,2020-08-03,0.38,38,MEDIUM,99,Land Identification,v1.2.0
RISK-0004091,LG-000321,2020-09-02,0.33,33,MEDIUM,66,Land Identification,v1.2.0
RISK-0004092,LG-000321,2020-10-02,0.43,43,MEDIUM,73,Land Identification,v1.2.0
RISK-0004093,LG-000321,2020-11-01,0.32,32,MEDIUM,56,Land Identification,v1.2.0
RISK-0004094,LG-000321,2020-12-01,0.4,40,MEDIUM,74,Land Identification,v1.2.0
RISK-0004095,LG-000321,2020-12-31,0.33,33,MEDIUM,106,Land Identification,v1.2.0
RISK-0004096,LG-000321,2021-01-30,0.4,40,MEDIUM,42,Land Identification,v1.2.0
RISK-0004097,LG-000321,2021-03-01,0.33,33,MEDIUM,91,Land Identification,v1.2.0
RISK-0004098,LG-000321,2021-03-31,0.38,38,MEDIUM,110,Land Identification,v1.2.0
RISK-0004099,LG-000321,2021-04-30,0.45,45,MEDIUM,100,Land Identification,v1.2.0
RISK-0004100,LG-000321,2021-05-30,0.36,36,MEDIUM,100,Land Identification,v1.2.0
RISK-0004101,LG-000321,2021-06-29,0.42,42,MEDIUM,80,Land Identification,v1.2.0
RISK-0004102,LG-000321,2021-07-29,0.33,33,MEDIUM,97,Land Identification,v1.2.0
RISK-0004103,LG-000322,2019-11-15,0.83,83,CRITICAL,260,Objection/Hearing,v1.2.0
RISK-0004104,LG-000322,2019-12-15,0.81,81,CRITICAL,337,Objection/Hearing,v1.2.0
RISK-0004105,LG-000322,2020-01-14,0.84,84,CRITICAL,366,Objection/Hearing,v1.2.0
RISK-0004106,LG-000322,2020-02-13,0.84,84,CRITICAL,492,Objection/Hearing,v1.2.0
RISK-0004107,LG-000322,2020-03-14,0.89,89,CRITICAL,304,Objection/Hearing,v1.2.0
RISK-0004108,LG-000322,2020-04-13,0.86,86,CRITICAL,587,Objection/Hearing,v1.2.0
RISK-0004109,LG-000322,2020-05-13,0.85,85,CRITICAL,291,Objection/Hearing,v1.2.0
RISK-0004110,LG-000322,2020-06-12,0.91,91,CRITICAL,369,Objection/Hearing,v1.2.0
RISK-0004111,LG-000322,2020-07-12,0.9,90,CRITICAL,374,Objection/Hearing,v1.2.0
RISK-0004112,LG-000322,2020-08-11,0.88,88,CRITICAL,595,Objection/Hearing,v1.2.0
RISK-0004113,LG-000322,2020-09-10,0.92,92,CRITICAL,477,Objection/Hearing,v1.2.0
RISK-0004114,LG-000322,2020-10-10,0.93,93,CRITICAL,342,Objection/Hearing,v1.2.0
RISK-0004115,LG-000322,2020-11-09,0.97,97,CRITICAL,448,Objection/Hearing,v1.2.0
RISK-0004116,LG-000322,2020-12-09,0.92,92,CRITICAL,299,Objection/Hearing,v1.2.0
RISK-0004117,LG-000322,2021-01-08,0.97,97,CRITICAL,367,Objection/Hearing,v1.2.0
RISK-0004118,LG-000322,2021-02-07,0.96,96,CRITICAL,493,Objection/Hearing,v1.2.0
RISK-0004119,LG-000322,2021-03-09,1.0,100,CRITICAL,537,Objection/Hearing,v1.2.0
RISK-0004120,LG-000323,2020-06-01,0.82,82,CRITICAL,583,Survey,v1.2.0
RISK-0004121,LG-000323,2020-07-01,0.86,86,CRITICAL,345,Survey,v1.2.0
RISK-0004122,LG-000323,2020-07-31,0.86,86,CRITICAL,593,Survey,v1.2.0
RISK-0004123,LG-000323,2020-08-30,0.85,85,CRITICAL,567,Survey,v1.2.0
RISK-0004124,LG-000323,2020-09-29,0.86,86,CRITICAL,454,Survey,v1.2.0
RISK-0004125,LG-000323,2020-10-29,0.9,90,CRITICAL,390,Survey,v1.2.0
RISK-0004126,LG-000323,2020-11-28,0.85,85,CRITICAL,252,Survey,v1.2.0
RISK-0004127,LG-000323,2020-12-28,0.92,92,CRITICAL,275,Survey,v1.2.0
RISK-0004128,LG-000323,2021-01-27,0.87,87,CRITICAL,318,Survey,v1.2.0
RISK-0004129,LG-000323,2021-02-26,0.92,92,CRITICAL,369,Survey,v1.2.0
RISK-0004130,LG-000323,2021-03-28,0.94,94,CRITICAL,385,Survey,v1.2.0
RISK-0004131,LG-000323,2021-04-27,0.92,92,CRITICAL,566,Survey,v1.2.0
RISK-0004132,LG-000323,2021-05-27,0.92,92,CRITICAL,281,Survey,v1.2.0
RISK-0004133,LG-000323,2021-06-26,0.97,97,CRITICAL,499,Survey,v1.2.0
RISK-0004134,LG-000323,2021-07-26,0.98,98,CRITICAL,369,Survey,v1.2.0
RISK-0004135,LG-000323,2021-08-25,1.0,100,CRITICAL,284,Survey,v1.2.0
RISK-0004136,LG-000323,2021-09-24,0.95,95,CRITICAL,510,Survey,v1.2.0
RISK-0004137,LG-000324,2021-08-20,0.79,79,CRITICAL,339,Approval,v1.2.0
RISK-0004138,LG-000324,2021-09-19,0.8,80,CRITICAL,420,Approval,v1.2.0
RISK-0004139,LG-000324,2021-10-19,0.83,83,CRITICAL,406,Approval,v1.2.0
RISK-0004140,LG-000324,2021-11-18,0.83,83,CRITICAL,374,Approval,v1.2.0
RISK-0004141,LG-000324,2021-12-18,0.87,87,CRITICAL,563,Approval,v1.2.0
RISK-0004142,LG-000324,2022-01-17,0.88,88,CRITICAL,369,Approval,v1.2.0
RISK-0004143,LG-000324,2022-02-16,0.9,90,CRITICAL,386,Approval,v1.2.0
RISK-0004144,LG-000324,2022-03-18,0.91,91,CRITICAL,477,Approval,v1.2.0
RISK-0004145,LG-000324,2022-04-17,0.89,89,CRITICAL,526,Approval,v1.2.0
RISK-0004146,LG-000324,2022-05-17,0.9,90,CRITICAL,355,Approval,v1.2.0
RISK-0004147,LG-000325,2021-11-05,0.34,34,MEDIUM,89,Land Identification,v1.2.0
RISK-0004148,LG-000325,2021-12-05,0.38,38,MEDIUM,44,Land Identification,v1.2.0
RISK-0004149,LG-000325,2022-01-04,0.34,34,MEDIUM,52,Land Identification,v1.2.0
RISK-0004150,LG-000325,2022-02-03,0.38,38,MEDIUM,87,Land Identification,v1.2.0
RISK-0004151,LG-000325,2022-03-05,0.31,31,MEDIUM,91,Land Identification,v1.2.0
RISK-0004152,LG-000326,2021-11-04,0.83,83,CRITICAL,396,R&R,v1.2.0
RISK-0004153,LG-000326,2021-12-04,0.86,86,CRITICAL,483,R&R,v1.2.0
RISK-0004154,LG-000326,2022-01-03,0.84,84,CRITICAL,321,R&R,v1.2.0
RISK-0004155,LG-000326,2022-02-02,0.88,88,CRITICAL,597,R&R,v1.2.0
RISK-0004156,LG-000326,2022-03-04,0.86,86,CRITICAL,481,R&R,v1.2.0
RISK-0004157,LG-000326,2022-04-03,0.88,88,CRITICAL,426,R&R,v1.2.0
RISK-0004158,LG-000326,2022-05-03,0.91,91,CRITICAL,272,R&R,v1.2.0
RISK-0004159,LG-000326,2022-06-02,0.87,87,CRITICAL,414,R&R,v1.2.0
RISK-0004160,LG-000326,2022-07-02,0.89,89,CRITICAL,512,R&R,v1.2.0
RISK-0004161,LG-000326,2022-08-01,0.92,92,CRITICAL,567,R&R,v1.2.0
RISK-0004162,LG-000326,2022-08-31,0.89,89,CRITICAL,579,R&R,v1.2.0
RISK-0004163,LG-000326,2022-09-30,0.92,92,CRITICAL,361,R&R,v1.2.0
RISK-0004164,LG-000326,2022-10-30,0.92,92,CRITICAL,333,R&R,v1.2.0
RISK-0004165,LG-000326,2022-11-29,0.94,94,CRITICAL,420,R&R,v1.2.0
RISK-0004166,LG-000326,2022-12-29,0.96,96,CRITICAL,427,R&R,v1.2.0
RISK-0004167,LG-000327,2022-08-02,0.64,64,HIGH,201,Compensation,v1.2.0
RISK-0004168,LG-000327,2022-09-01,0.61,61,HIGH,276,Compensation,v1.2.0
RISK-0004169,LG-000327,2022-10-01,0.64,64,HIGH,277,Compensation,v1.2.0
RISK-0004170,LG-000327,2022-10-31,0.66,66,HIGH,196,Compensation,v1.2.0
RISK-0004171,LG-000327,2022-11-30,0.62,62,HIGH,189,Compensation,v1.2.0
RISK-0004172,LG-000327,2022-12-30,0.67,67,HIGH,137,Compensation,v1.2.0
RISK-0004173,LG-000327,2023-01-29,0.64,64,HIGH,210,Compensation,v1.2.0
RISK-0004174,LG-000327,2023-02-28,0.64,64,HIGH,269,Compensation,v1.2.0
RISK-0004175,LG-000327,2023-03-30,0.7,70,HIGH,265,Compensation,v1.2.0
RISK-0004176,LG-000327,2023-04-29,0.69,69,HIGH,280,Compensation,v1.2.0
RISK-0004177,LG-000328,2019-09-23,0.64,64,HIGH,211,Compensation,v1.2.0
RISK-0004178,LG-000328,2019-10-23,0.63,63,HIGH,126,Compensation,v1.2.0
RISK-0004179,LG-000328,2019-11-22,0.65,65,HIGH,140,Compensation,v1.2.0
RISK-0004180,LG-000328,2019-12-22,0.65,65,HIGH,262,Compensation,v1.2.0
RISK-0004181,LG-000328,2020-01-21,0.67,67,HIGH,179,Compensation,v1.2.0
RISK-0004182,LG-000328,2020-02-20,0.63,63,HIGH,210,Compensation,v1.2.0
RISK-0004183,LG-000329,2022-04-08,0.8,80,CRITICAL,272,Land Identification,v1.2.0
RISK-0004184,LG-000329,2022-05-08,0.8,80,CRITICAL,536,Land Identification,v1.2.0
RISK-0004185,LG-000329,2022-06-07,0.84,84,CRITICAL,415,Land Identification,v1.2.0
RISK-0004186,LG-000329,2022-07-07,0.87,87,CRITICAL,497,Land Identification,v1.2.0
RISK-0004187,LG-000329,2022-08-06,0.87,87,CRITICAL,487,Land Identification,v1.2.0
RISK-0004188,LG-000329,2022-09-05,0.88,88,CRITICAL,501,Land Identification,v1.2.0
RISK-0004189,LG-000329,2022-10-05,0.91,91,CRITICAL,277,Land Identification,v1.2.0
RISK-0004190,LG-000329,2022-11-04,0.88,88,CRITICAL,299,Land Identification,v1.2.0
RISK-0004191,LG-000329,2022-12-04,0.93,93,CRITICAL,411,Land Identification,v1.2.0
RISK-0004192,LG-000329,2023-01-03,0.91,91,CRITICAL,379,Land Identification,v1.2.0
RISK-0004193,LG-000329,2023-02-02,0.9,90,CRITICAL,569,Land Identification,v1.2.0
RISK-0004194,LG-000329,2023-03-04,0.94,94,CRITICAL,385,Land Identification,v1.2.0
RISK-0004195,LG-000329,2023-04-03,0.92,92,CRITICAL,325,Land Identification,v1.2.0
RISK-0004196,LG-000329,2023-05-03,0.92,92,CRITICAL,433,Land Identification,v1.2.0
RISK-0004197,LG-000329,2023-06-02,0.98,98,CRITICAL,560,Land Identification,v1.2.0
RISK-0004198,LG-000329,2023-07-02,0.97,97,CRITICAL,464,Land Identification,v1.2.0
RISK-0004199,LG-000329,2023-08-01,1.0,100,CRITICAL,524,Land Identification,v1.2.0
RISK-0004200,LG-000329,2023-08-31,0.97,97,CRITICAL,540,Land Identification,v1.2.0
RISK-0004201,LG-000329,2023-09-30,0.98,98,CRITICAL,497,Land Identification,v1.2.0
RISK-0004202,LG-000329,2023-10-30,0.99,99,CRITICAL,276,Land Identification,v1.2.0
RISK-0004203,LG-000330,2020-09-11,0.42,42,MEDIUM,84,Approval,v1.2.0
RISK-0004204,LG-000330,2020-10-11,0.31,31,MEDIUM,84,Approval,v1.2.0
RISK-0004205,LG-000330,2020-11-10,0.34,34,MEDIUM,80,Approval,v1.2.0
RISK-0004206,LG-000330,2020-12-10,0.42,42,MEDIUM,67,Approval,v1.2.0
RISK-0004207,LG-000330,2021-01-09,0.31,31,MEDIUM,107,Approval,v1.2.0
RISK-0004208,LG-000330,2021-02-08,0.31,31,MEDIUM,46,Approval,v1.2.0
RISK-0004209,LG-000330,2021-03-10,0.31,31,MEDIUM,44,Approval,v1.2.0
RISK-0004210,LG-000330,2021-04-09,0.37,37,MEDIUM,110,Approval,v1.2.0
RISK-0004211,LG-000330,2021-05-09,0.33,33,MEDIUM,43,Approval,v1.2.0
RISK-0004212,LG-000330,2021-06-08,0.44,44,MEDIUM,74,Approval,v1.2.0
RISK-0004213,LG-000330,2021-07-08,0.33,33,MEDIUM,62,Approval,v1.2.0
RISK-0004214,LG-000330,2021-08-07,0.43,43,MEDIUM,46,Approval,v1.2.0
RISK-0004215,LG-000330,2021-09-06,0.31,31,MEDIUM,51,Approval,v1.2.0
RISK-0004216,LG-000330,2021-10-06,0.31,31,MEDIUM,68,Approval,v1.2.0
RISK-0004217,LG-000330,2021-11-05,0.32,32,MEDIUM,57,Approval,v1.2.0
RISK-0004218,LG-000330,2021-12-05,0.31,31,MEDIUM,97,Approval,v1.2.0
RISK-0004219,LG-000330,2022-01-04,0.34,34,MEDIUM,78,Approval,v1.2.0
RISK-0004220,LG-000330,2022-02-03,0.39,39,MEDIUM,97,Approval,v1.2.0
RISK-0004221,LG-000330,2022-03-05,0.38,38,MEDIUM,88,Approval,v1.2.0
RISK-0004222,LG-000331,2021-04-21,0.82,82,CRITICAL,281,R&R,v1.2.0
RISK-0004223,LG-000331,2021-05-21,0.8,80,CRITICAL,572,R&R,v1.2.0
RISK-0004224,LG-000331,2021-06-20,0.86,86,CRITICAL,357,R&R,v1.2.0
RISK-0004225,LG-000331,2021-07-20,0.88,88,CRITICAL,592,R&R,v1.2.0
RISK-0004226,LG-000331,2021-08-19,0.88,88,CRITICAL,313,R&R,v1.2.0
RISK-0004227,LG-000331,2021-09-18,0.89,89,CRITICAL,450,R&R,v1.2.0
RISK-0004228,LG-000332,2019-02-14,0.45,45,MEDIUM,86,Documentation,v1.2.0
RISK-0004229,LG-000332,2019-03-16,0.45,45,MEDIUM,100,Documentation,v1.2.0
RISK-0004230,LG-000332,2019-04-15,0.45,45,MEDIUM,103,Documentation,v1.2.0
RISK-0004231,LG-000332,2019-05-15,0.42,42,MEDIUM,53,Documentation,v1.2.0
RISK-0004232,LG-000332,2019-06-14,0.35,35,MEDIUM,96,Documentation,v1.2.0
RISK-0004233,LG-000332,2019-07-14,0.43,43,MEDIUM,86,Documentation,v1.2.0
RISK-0004234,LG-000332,2019-08-13,0.33,33,MEDIUM,72,Documentation,v1.2.0
RISK-0004235,LG-000332,2019-09-12,0.35,35,MEDIUM,79,Documentation,v1.2.0
RISK-0004236,LG-000332,2019-10-12,0.33,33,MEDIUM,40,Documentation,v1.2.0
RISK-0004237,LG-000332,2019-11-11,0.31,31,MEDIUM,92,Documentation,v1.2.0
RISK-0004238,LG-000332,2019-12-11,0.31,31,MEDIUM,42,Documentation,v1.2.0
RISK-0004239,LG-000332,2020-01-10,0.38,38,MEDIUM,50,Documentation,v1.2.0
RISK-0004240,LG-000332,2020-02-09,0.32,32,MEDIUM,70,Documentation,v1.2.0
RISK-0004241,LG-000332,2020-03-10,0.43,43,MEDIUM,92,Documentation,v1.2.0
RISK-0004242,LG-000332,2020-04-09,0.34,34,MEDIUM,44,Documentation,v1.2.0
RISK-0004243,LG-000333,2018-12-15,0.64,64,HIGH,194,Survey,v1.2.0
RISK-0004244,LG-000333,2019-01-14,0.63,63,HIGH,152,Survey,v1.2.0
RISK-0004245,LG-000333,2019-02-13,0.61,61,HIGH,246,Survey,v1.2.0
RISK-0004246,LG-000333,2019-03-15,0.66,66,HIGH,149,Survey,v1.2.0
RISK-0004247,LG-000333,2019-04-14,0.66,66,HIGH,150,Survey,v1.2.0
RISK-0004248,LG-000333,2019-05-14,0.64,64,HIGH,152,Survey,v1.2.0
RISK-0004249,LG-000333,2019-06-13,0.63,63,HIGH,170,Survey,v1.2.0
RISK-0004250,LG-000333,2019-07-13,0.63,63,HIGH,166,Survey,v1.2.0
RISK-0004251,LG-000333,2019-08-12,0.68,68,HIGH,195,Survey,v1.2.0
RISK-0004252,LG-000333,2019-09-11,0.65,65,HIGH,213,Survey,v1.2.0
RISK-0004253,LG-000333,2019-10-11,0.71,71,HIGH,166,Survey,v1.2.0
RISK-0004254,LG-000333,2019-11-10,0.69,69,HIGH,242,Survey,v1.2.0
RISK-0004255,LG-000334,2019-03-27,0.84,84,CRITICAL,272,Objection/Hearing,v1.2.0
RISK-0004256,LG-000334,2019-04-26,0.81,81,CRITICAL,576,Objection/Hearing,v1.2.0
RISK-0004257,LG-000334,2019-05-26,0.81,81,CRITICAL,329,Objection/Hearing,v1.2.0
RISK-0004258,LG-000334,2019-06-25,0.87,87,CRITICAL,361,Objection/Hearing,v1.2.0
RISK-0004259,LG-000334,2019-07-25,0.85,85,CRITICAL,560,Objection/Hearing,v1.2.0
RISK-0004260,LG-000334,2019-08-24,0.85,85,CRITICAL,436,Objection/Hearing,v1.2.0
RISK-0004261,LG-000334,2019-09-23,0.85,85,CRITICAL,563,Objection/Hearing,v1.2.0
RISK-0004262,LG-000334,2019-10-23,0.91,91,CRITICAL,456,Objection/Hearing,v1.2.0
RISK-0004263,LG-000335,2022-10-18,0.63,63,HIGH,126,Documentation,v1.2.0
RISK-0004264,LG-000335,2022-11-17,0.61,61,HIGH,230,Documentation,v1.2.0
RISK-0004265,LG-000335,2022-12-17,0.64,64,HIGH,197,Documentation,v1.2.0
RISK-0004266,LG-000335,2023-01-16,0.65,65,HIGH,124,Documentation,v1.2.0
RISK-0004267,LG-000335,2023-02-15,0.67,67,HIGH,133,Documentation,v1.2.0
RISK-0004268,LG-000335,2023-03-17,0.62,62,HIGH,190,Documentation,v1.2.0
RISK-0004269,LG-000335,2023-04-16,0.66,66,HIGH,140,Documentation,v1.2.0
RISK-0004270,LG-000335,2023-05-16,0.64,64,HIGH,183,Documentation,v1.2.0
RISK-0004271,LG-000335,2023-06-15,0.67,67,HIGH,132,Documentation,v1.2.0
RISK-0004272,LG-000335,2023-07-15,0.69,69,HIGH,188,Documentation,v1.2.0
RISK-0004273,LG-000335,2023-08-14,0.69,69,HIGH,162,Documentation,v1.2.0
RISK-0004274,LG-000335,2023-09-13,0.69,69,HIGH,155,Documentation,v1.2.0
RISK-0004275,LG-000335,2023-10-13,0.67,67,HIGH,219,Documentation,v1.2.0
RISK-0004276,LG-000335,2023-11-12,0.74,74,HIGH,180,Documentation,v1.2.0
RISK-0004277,LG-000335,2023-12-12,0.69,69,HIGH,206,Documentation,v1.2.0
RISK-0004278,LG-000335,2024-01-11,0.73,73,HIGH,238,Documentation,v1.2.0
RISK-0004279,LG-000335,2024-02-10,0.76,76,HIGH,227,Documentation,v1.2.0
RISK-0004280,LG-000335,2024-03-11,0.71,71,HIGH,210,Documentation,v1.2.0
RISK-0004281,LG-000335,2024-04-10,0.75,75,HIGH,193,Documentation,v1.2.0
RISK-0004282,LG-000336,2019-11-01,0.61,61,HIGH,141,Possession,v1.2.0
RISK-0004283,LG-000336,2019-12-01,0.61,61,HIGH,229,Possession,v1.2.0
RISK-0004284,LG-000336,2019-12-31,0.61,61,HIGH,226,Possession,v1.2.0
RISK-0004285,LG-000336,2020-01-30,0.66,66,HIGH,252,Possession,v1.2.0
RISK-0004286,LG-000336,2020-02-29,0.65,65,HIGH,216,Possession,v1.2.0
RISK-0004287,LG-000337,2024-10-20,0.61,61,HIGH,161,Final Handover,v1.2.0
RISK-0004288,LG-000337,2024-11-19,0.61,61,HIGH,173,Final Handover,v1.2.0
RISK-0004289,LG-000337,2024-12-19,0.63,63,HIGH,227,Final Handover,v1.2.0
RISK-0004290,LG-000337,2025-01-18,0.63,63,HIGH,199,Final Handover,v1.2.0
RISK-0004291,LG-000337,2025-02-17,0.61,61,HIGH,232,Final Handover,v1.2.0
RISK-0004292,LG-000337,2025-03-19,0.68,68,HIGH,149,Final Handover,v1.2.0
RISK-0004293,LG-000337,2025-04-18,0.64,64,HIGH,197,Final Handover,v1.2.0
RISK-0004294,LG-000338,2020-06-26,0.36,36,MEDIUM,109,R&R,v1.2.0
RISK-0004295,LG-000338,2020-07-26,0.45,45,MEDIUM,80,R&R,v1.2.0
RISK-0004296,LG-000338,2020-08-25,0.36,36,MEDIUM,86,R&R,v1.2.0
RISK-0004297,LG-000338,2020-09-24,0.42,42,MEDIUM,88,R&R,v1.2.0
RISK-0004298,LG-000338,2020-10-24,0.34,34,MEDIUM,65,R&R,v1.2.0
RISK-0004299,LG-000339,2022-03-24,0.19,19,LOW,11,Legal Resolution,v1.2.0
RISK-0004300,LG-000339,2022-04-23,0.18,18,LOW,2,Legal Resolution,v1.2.0
RISK-0004301,LG-000339,2022-05-23,0.17,17,LOW,29,Legal Resolution,v1.2.0
RISK-0004302,LG-000339,2022-06-22,0.1,10,LOW,18,Legal Resolution,v1.2.0
RISK-0004303,LG-000339,2022-07-22,0.11,11,LOW,15,Legal Resolution,v1.2.0
RISK-0004304,LG-000339,2022-08-21,0.17,17,LOW,24,Legal Resolution,v1.2.0
RISK-0004305,LG-000339,2022-09-20,0.15,15,LOW,3,Legal Resolution,v1.2.0
RISK-0004306,LG-000339,2022-10-20,0.07,7,LOW,13,Legal Resolution,v1.2.0
RISK-0004307,LG-000339,2022-11-19,0.22,22,LOW,11,Legal Resolution,v1.2.0
RISK-0004308,LG-000339,2022-12-19,0.23,23,LOW,11,Legal Resolution,v1.2.0
RISK-0004309,LG-000339,2023-01-18,0.23,23,LOW,30,Legal Resolution,v1.2.0
RISK-0004310,LG-000339,2023-02-17,0.23,23,LOW,24,Legal Resolution,v1.2.0
RISK-0004311,LG-000339,2023-03-19,0.14,14,LOW,8,Legal Resolution,v1.2.0
RISK-0004312,LG-000339,2023-04-18,0.19,19,LOW,4,Legal Resolution,v1.2.0
RISK-0004313,LG-000339,2023-05-18,0.17,17,LOW,22,Legal Resolution,v1.2.0
RISK-0004314,LG-000339,2023-06-17,0.08,8,LOW,9,Legal Resolution,v1.2.0
RISK-0004315,LG-000340,2018-03-25,0.43,43,MEDIUM,63,R&R,v1.2.0
RISK-0004316,LG-000340,2018-04-24,0.31,31,MEDIUM,71,R&R,v1.2.0
RISK-0004317,LG-000340,2018-05-24,0.33,33,MEDIUM,85,R&R,v1.2.0
RISK-0004318,LG-000340,2018-06-23,0.33,33,MEDIUM,82,R&R,v1.2.0
RISK-0004319,LG-000340,2018-07-23,0.44,44,MEDIUM,65,R&R,v1.2.0
RISK-0004320,LG-000340,2018-08-22,0.33,33,MEDIUM,79,R&R,v1.2.0
RISK-0004321,LG-000340,2018-09-21,0.36,36,MEDIUM,43,R&R,v1.2.0
RISK-0004322,LG-000340,2018-10-21,0.41,41,MEDIUM,90,R&R,v1.2.0
RISK-0004323,LG-000341,2018-09-27,0.17,17,LOW,0,Objection/Hearing,v1.2.0
RISK-0004324,LG-000341,2018-10-27,0.13,13,LOW,29,Objection/Hearing,v1.2.0
RISK-0004325,LG-000341,2018-11-26,0.11,11,LOW,30,Objection/Hearing,v1.2.0
RISK-0004326,LG-000341,2018-12-26,0.07,7,LOW,24,Objection/Hearing,v1.2.0
RISK-0004327,LG-000341,2019-01-25,0.21,21,LOW,15,Objection/Hearing,v1.2.0
RISK-0004328,LG-000341,2019-02-24,0.12,12,LOW,12,Objection/Hearing,v1.2.0
RISK-0004329,LG-000341,2019-03-26,0.09,9,LOW,10,Objection/Hearing,v1.2.0
RISK-0004330,LG-000341,2019-04-25,0.2,20,LOW,26,Objection/Hearing,v1.2.0
RISK-0004331,LG-000341,2019-05-25,0.15,15,LOW,19,Objection/Hearing,v1.2.0
RISK-0004332,LG-000341,2019-06-24,0.14,14,LOW,21,Objection/Hearing,v1.2.0
RISK-0004333,LG-000341,2019-07-24,0.14,14,LOW,3,Objection/Hearing,v1.2.0
RISK-0004334,LG-000341,2019-08-23,0.16,16,LOW,29,Objection/Hearing,v1.2.0
RISK-0004335,LG-000341,2019-09-22,0.21,21,LOW,12,Objection/Hearing,v1.2.0
RISK-0004336,LG-000341,2019-10-22,0.23,23,LOW,22,Objection/Hearing,v1.2.0
RISK-0004337,LG-000341,2019-11-21,0.15,15,LOW,24,Objection/Hearing,v1.2.0
RISK-0004338,LG-000341,2019-12-21,0.19,19,LOW,7,Objection/Hearing,v1.2.0
RISK-0004339,LG-000341,2020-01-20,0.14,14,LOW,9,Objection/Hearing,v1.2.0
RISK-0004340,LG-000342,2020-05-11,0.61,61,HIGH,155,R&R,v1.2.0
RISK-0004341,LG-000342,2020-06-10,0.61,61,HIGH,163,R&R,v1.2.0
RISK-0004342,LG-000342,2020-07-10,0.61,61,HIGH,193,R&R,v1.2.0
RISK-0004343,LG-000342,2020-08-09,0.61,61,HIGH,241,R&R,v1.2.0
RISK-0004344,LG-000342,2020-09-08,0.65,65,HIGH,198,R&R,v1.2.0
RISK-0004345,LG-000342,2020-10-08,0.64,64,HIGH,181,R&R,v1.2.0
