approval_id,project_id,approval_type,submission_date,approval_date,approval_status,responsible_authority,delay_days
APP-0001950,LG-000370,Administrative Approval,2019-01-20,2019-03-08,Approved,State Cabinet,2
APP-0001951,LG-000370,Environmental Clearance,2019-02-05,2019-04-01,Approved,District Collectorate,0
APP-0001952,LG-000370,Land Acquisition Approval,2018-12-18,,Conditionally Approved,State Cabinet,118
APP-0001953,LG-000370,Financial Approval,2018-11-27,2019-01-07,Approved,MoEFCC,4
APP-0001954,LG-000370,Government Notification,2019-01-07,,Submitted,MoEFCC,34
APP-0001955,LG-000370,Administrative Approval,2019-01-22,2019-05-05,Approved,State Cabinet,5
APP-0001956,LG-000370,Environmental Clearance,2019-01-03,2019-03-28,Approved,District Collectorate,13
APP-0001957,LG-000371,Administrative Approval,2024-12-13,,Conditionally Approved,Finance Ministry,114
APP-0001958,LG-000371,Environmental Clearance,2024-11-09,2024-12-15,Approved,MoEFCC,0
APP-0001959,LG-000371,Land Acquisition Approval,2024-12-23,2025-04-07,Approved,Finance Ministry,14
APP-0001960,LG-000372,Administrative Approval,2021-04-15,2021-06-02,Approved,State Cabinet,15
APP-0001961,LG-000372,Environmental Clearance,2021-06-16,,In Review,District Collectorate,103
APP-0001962,LG-000372,Land Acquisition Approval,2021-04-10,,In Review,State Cabinet,123
APP-0001963,LG-000372,Financial Approval,2021-06-03,,Submitted,MoEFCC,37
APP-0001964,LG-000372,Government Notification,2021-04-20,,In Review,MoEFCC,37
APP-0001965,LG-000372,Administrative Approval,2021-05-19,,Conditionally Approved,State Cabinet,43
APP-0001966,LG-000372,Environmental Clearance,2021-04-05,,In Review,District Collectorate,100
APP-0001967,LG-000372,Land Acquisition Approval,2021-04-29,2021-07-29,Approved,State Cabinet,0
APP-0001968,LG-000373,Administrative Approval,2024-03-01,,Conditionally Approved,District Collectorate,58
APP-0001969,LG-000373,Environmental Clearance,2024-01-02,,Submitted,Finance Ministry,52
APP-0001970,LG-000373,Land Acquisition Approval,2024-01-04,,In Review,State Cabinet,125
APP-0001971,LG-000373,Financial Approval,2024-02-16,2024-03-29,Approved,MoEFCC,10
APP-0001972,LG-000373,Government Notification,2024-02-11,2024-06-10,Approved,Finance Ministry,8
APP-0001973,LG-000373,Administrative Approval,2024-01-03,,Submitted,State Cabinet,115
APP-0001974,LG-000373,Environmental Clearance,2024-02-08,2024-03-12,Approved,MoEFCC,5
APP-0001975,LG-000373,Land Acquisition Approval,2023-12-07,,In Review,MoEFCC,100
APP-0001976,LG-000374,Administrative Approval,2023-10-20,2023-11-25,Approved,State Cabinet,5
APP-0001977,LG-000374,Environmental Clearance,2023-12-08,2024-01-19,Approved,State Cabinet,6
APP-0001978,LG-000374,Land Acquisition Approval,2023-11-29,,Conditionally Approved,MoEFCC,99
APP-0001979,LG-000374,Financial Approval,2023-12-13,2024-02-12,Approved,State Cabinet,5
APP-0001980,LG-000374,Government Notification,2023-12-25,,Submitted,MoEFCC,97
APP-0001981,LG-000374,Administrative Approval,2023-11-07,2023-12-12,Approved,MoEFCC,6
APP-0001982,LG-000374,Environmental Clearance,2023-11-24,2024-03-05,Approved,State Cabinet,8
APP-0001983,LG-000374,Land Acquisition Approval,2023-12-03,2024-03-27,Approved,District Collectorate,2
APP-0001984,LG-000375,Administrative Approval,2024-05-28,,Conditionally Approved,MoEFCC,150
APP-0001985,LG-000375,Environmental Clearance,2024-03-10,2024-06-22,Approved,State Cabinet,2
APP-0001986,LG-000375,Land Acquisition Approval,2024-03-19,,Submitted,MoEFCC,39
APP-0001987,LG-000375,Financial Approval,2024-03-22,2024-04-27,Approved,Finance Ministry,8
APP-0001988,LG-000375,Government Notification,2024-05-30,,In Review,MoEFCC,122
APP-0001989,LG-000375,Administrative Approval,2024-03-04,,Conditionally Approved,MoEFCC,150
APP-0001990,LG-000375,Environmental Clearance,2024-05-06,,Submitted,State Cabinet,140
APP-0001991,LG-000375,Land Acquisition Approval,2024-04-18,2024-05-21,Approved,State Cabinet,11
APP-0001992,LG-000376,Administrative Approval,2019-07-29,2019-10-29,Approved,State Cabinet,14
APP-0001993,LG-000376,Environmental Clearance,2019-08-01,2019-11-22,Approved,State Cabinet,7
APP-0001994,LG-000376,Land Acquisition Approval,2019-08-06,2019-09-20,Approved,Finance Ministry,5
APP-0001995,LG-000376,Financial Approval,2019-07-20,2019-09-18,Approved,Finance Ministry,2
APP-0001996,LG-000376,Government Notification,2019-08-14,2019-09-18,Approved,Finance Ministry,2
APP-0001997,LG-000376,Administrative Approval,2019-05-26,2019-09-05,Approved,MoEFCC,2
APP-0001998,LG-000376,Environmental Clearance,2019-07-08,2019-11-04,Approved,District Collectorate,15
APP-0001999,LG-000376,Land Acquisition Approval,2019-06-29,2019-10-07,Approved,Finance Ministry,1
APP-0002000,LG-000377,Administrative Approval,2024-12-10,,Submitted,District Collectorate,146
APP-0002001,LG-000377,Environmental Clearance,2024-12-26,,Submitted,MoEFCC,40
APP-0002002,LG-000377,Land Acquisition Approval,2024-10-23,,Submitted,MoEFCC,74
APP-0002003,LG-000377,Financial Approval,2024-12-04,2025-02-24,Approved,District Collectorate,15
APP-0002004,LG-000377,Government Notification,2024-12-27,2025-03-21,Approved,State Cabinet,2
APP-0002005,LG-000377,Administrative Approval,2024-10-12,,In Review,State Cabinet,95
APP-0002006,LG-000378,Administrative Approval,2023-03-31,2023-05-19,Approved,District Collectorate,2
APP-0002007,LG-000378,Environmental Clearance,2023-01-25,,Conditionally Approved,State Cabinet,144
APP-0002008,LG-000378,Land Acquisition Approval,2023-04-02,,In Review,Finance Ministry,47
APP-0002009,LG-000378,Financial Approval,2023-02-11,,Submitted,MoEFCC,87
APP-0002010,LG-000378,Government Notification,2023-03-27,,In Review,Finance Ministry,146
APP-0002011,LG-000378,Administrative Approval,2023-03-05,,In Review,MoEFCC,87
APP-0002012,LG-000379,Administrative Approval,2020-11-19,2021-01-21,Approved,MoEFCC,11
APP-0002013,LG-000379,Environmental Clearance,2020-09-10,2020-11-23,Approved,District Collectorate,7
APP-0002014,LG-000379,Land Acquisition Approval,2020-10-03,2020-12-23,Approved,Finance Ministry,12
APP-0002015,LG-000379,Financial Approval,2020-09-18,2020-12-27,Approved,MoEFCC,2
APP-0002016,LG-000379,Government Notification,2020-12-01,2021-03-14,Approved,MoEFCC,2
APP-0002017,LG-000380,Administrative Approval,2022-06-11,2022-07-18,Approved,Finance Ministry,2
APP-0002018,LG-000380,Environmental Clearance,2022-04-06,2022-05-23,Approved,State Cabinet,5
APP-0002019,LG-000380,Land Acquisition Approval,2022-06-07,2022-09-21,Approved,MoEFCC,14
APP-0002020,LG-000381,Administrative Approval,2025-03-01,2025-04-14,Approved,State Cabinet,15
APP-0002021,LG-000381,Environmental Clearance,2025-01-29,2025-05-07,Approved,State Cabinet,7
APP-0002022,LG-000381,Land Acquisition Approval,2025-02-18,2025-04-01,Approved,District Collectorate,2
APP-0002023,LG-000382,Administrative Approval,2018-12-19,2019-02-14,Approved,District Collectorate,1
APP-0002024,LG-000382,Environmental Clearance,2019-02-13,2019-03-23,Approved,MoEFCC,1
APP-0002025,LG-000382,Land Acquisition Approval,2019-02-04,2019-03-20,Approved,District Collectorate,9
APP-0002026,LG-000382,Financial Approval,2019-02-01,2019-03-23,Approved,MoEFCC,6
APP-0002027,LG-000383,Administrative Approval,2019-02-12,2019-06-02,Approved,Finance Ministry,0
APP-0002028,LG-000383,Environmental Clearance,2019-04-02,2019-07-29,Approved,Finance Ministry,10
APP-0002029,LG-000383,Land Acquisition Approval,2019-03-11,,Conditionally Approved,District Collectorate,133
APP-0002030,LG-000384,Administrative Approval,2018-06-19,,Submitted,MoEFCC,86
APP-0002031,LG-000384,Environmental Clearance,2018-05-04,,Conditionally Approved,District Collectorate,101
APP-0002032,LG-000384,Land Acquisition Approval,2018-07-10,,Conditionally Approved,District Collectorate,137
APP-0002033,LG-000384,Financial Approval,2018-05-13,2018-09-09,Approved,Finance Ministry,6
APP-0002034,LG-000384,Government Notification,2018-05-18,2018-06-24,Approved,State Cabinet,4
APP-0002035,LG-000384,Administrative Approval,2018-06-17,,Conditionally Approved,MoEFCC,146
APP-0002036,LG-000384,Environmental Clearance,2018-06-17,2018-10-06,Approved,State Cabinet,9
APP-0002037,LG-000384,Land Acquisition Approval,2018-06-20,,Conditionally Approved,MoEFCC,117
APP-0002038,LG-000385,Administrative Approval,2021-05-18,2021-08-18,Approved,Finance Ministry,14
APP-0002039,LG-000385,Environmental Clearance,2021-04-08,,In Review,District Collectorate,112
APP-0002040,LG-000385,Land Acquisition Approval,2021-05-07,,Submitted,Finance Ministry,92
APP-0002041,LG-000386,Administrative Approval,2025-01-10,2025-03-18,Approved,State Cabinet,6
APP-0002042,LG-000386,Environmental Clearance,2024-12-25,2025-04-02,Approved,Finance Ministry,0
APP-0002043,LG-000386,Land Acquisition Approval,2024-12-07,2025-04-04,Approved,Finance Ministry,1
APP-0002044,LG-000386,Financial Approval,2024-12-29,,Conditionally Approved,State Cabinet,64
APP-0002045,LG-000386,Government Notification,2024-11-18,2024-12-29,Approved,State Cabinet,15
APP-0002046,LG-000387,Administrative Approval,2020-04-02,2020-07-08,Approved,State Cabinet,8
APP-0002047,LG-000387,Environmental Clearance,2020-03-04,2020-06-30,Approved,District Collectorate,13
APP-0002048,LG-000387,Land Acquisition Approval,2020-01-07,2020-02-15,Approved,District Collectorate,4
APP-0002049,LG-000387,Financial Approval,2020-02-16,,In Review,MoEFCC,73
APP-0002050,LG-000387,Government Notification,2020-03-02,2020-06-22,Approved,Finance Ministry,10
APP-0002051,LG-000387,Administrative Approval,2020-02-14,,Conditionally Approved,MoEFCC,75
APP-0002052,LG-000387,Environmental Clearance,2020-02-14,2020-06-03,Approved,MoEFCC,13
APP-0002053,LG-000388,Administrative Approval,2023-09-18,,Submitted,District Collectorate,41
APP-0002054,LG-000388,Environmental Clearance,2023-08-28,2023-11-01,Approved,Finance Ministry,1
APP-0002055,LG-000388,Land Acquisition Approval,2023-09-08,2024-01-05,Approved,Finance Ministry,1
APP-0002056,LG-000389,Administrative Approval,2022-05-10,2022-08-07,Approved,Finance Ministry,1
APP-0002057,LG-000389,Environmental Clearance,2022-06-28,2022-10-08,Approved,District Collectorate,7
APP-0002058,LG-000389,Land Acquisition Approval,2022-04-16,2022-07-14,Approved,Finance Ministry,0
APP-0002059,LG-000389,Financial Approval,2022-05-23,2022-07-13,Approved,District Collectorate,10
APP-0002060,LG-000390,Administrative Approval,2023-04-28,2023-07-01,Approved,MoEFCC,8
APP-0002061,LG-000390,Environmental Clearance,2023-05-14,,Submitted,Finance Ministry,83
APP-0002062,LG-000390,Land Acquisition Approval,2023-02-19,,Submitted,State Cabinet,119
APP-0002063,LG-000390,Financial Approval,2023-04-18,,Submitted,State Cabinet,141
APP-0002064,LG-000390,Government Notification,2023-03-27,,Conditionally Approved,State Cabinet,145
APP-0002065,LG-000390,Administrative Approval,2023-02-24,2023-05-28,Approved,Finance Ministry,5
APP-0002066,LG-000390,Environmental Clearance,2023-02-14,,Submitted,State Cabinet,61
APP-0002067,LG-000390,Land Acquisition Approval,2023-04-20,,Conditionally Approved,State Cabinet,32
APP-0002068,LG-000391,Administrative Approval,2020-12-22,2021-02-02,Approved,State Cabinet,0
APP-0002069,LG-000391,Environmental Clearance,2020-12-13,,In Review,District Collectorate,41
APP-0002070,LG-000391,Land Acquisition Approval,2021-02-02,2021-04-02,Approved,MoEFCC,15
APP-0002071,LG-000391,Financial Approval,2021-02-06,2021-05-18,Approved,Finance Ministry,8
APP-0002072,LG-000391,Government Notification,2021-01-25,2021-03-19,Approved,State Cabinet,15
APP-0002073,LG-000391,Administrative Approval,2020-12-08,2021-03-29,Approved,District Collectorate,4
APP-0002074,LG-000391,Environmental Clearance,2020-12-03,2021-02-13,Approved,State Cabinet,7
APP-0002075,LG-000392,Administrative Approval,2018-10-26,,In Review,Finance Ministry,69
APP-0002076,LG-000392,Environmental Clearance,2018-09-10,,Conditionally Approved,District Collectorate,55
APP-0002077,LG-000392,Land Acquisition Approval,2018-09-29,2018-12-20,Approved,District Collectorate,0
APP-0002078,LG-000392,Financial Approval,2018-08-30,,Submitted,MoEFCC,77
APP-0002079,LG-000392,Government Notification,2018-08-23,,Conditionally Approved,State Cabinet,62
APP-0002080,LG-000392,Administrative Approval,2018-08-21,,Conditionally Approved,District Collectorate,127
APP-0002081,LG-000393,Administrative Approval,2021-10-08,2022-01-17,Approved,State Cabinet,14
APP-0002082,LG-000393,Environmental Clearance,2021-08-01,2021-10-05,Approved,Finance Ministry,6
APP-0002083,LG-000393,Land Acquisition Approval,2021-10-22,2022-01-09,Approved,MoEFCC,3
APP-0002084,LG-000393,Financial Approval,2021-08-28,2021-11-01,Approved,MoEFCC,15
APP-0002085,LG-000394,Administrative Approval,2022-01-29,2022-03-31,Approved,Finance Ministry,1
APP-0002086,LG-000394,Environmental Clearance,2022-02-21,2022-06-20,Approved,MoEFCC,0
APP-0002087,LG-000394,Land Acquisition Approval,2022-02-07,2022-05-13,Approved,Finance Ministry,10
APP-0002088,LG-000394,Financial Approval,2022-02-17,2022-05-26,Approved,MoEFCC,6
APP-0002089,LG-000394,Government Notification,2022-02-15,2022-05-01,Approved,District Collectorate,9
APP-0002090,LG-000394,Administrative Approval,2022-02-28,2022-04-26,Approved,State Cabinet,3
APP-0002091,LG-000394,Environmental Clearance,2022-02-26,2022-04-30,Approved,District Collectorate,5
APP-0002092,LG-000394,Land Acquisition Approval,2022-01-02,2022-03-14,Approved,MoEFCC,15
APP-0002093,LG-000395,Administrative Approval,2023-12-08,2024-03-24,Approved,State Cabinet,2
APP-0002094,LG-000395,Environmental Clearance,2023-11-10,,Submitted,State Cabinet,59
APP-0002095,LG-000395,Land Acquisition Approval,2023-11-04,2023-12-10,Approved,State Cabinet,4
APP-0002096,LG-000395,Financial Approval,2023-09-24,,In Review,MoEFCC,92
APP-0002097,LG-000395,Government Notification,2023-09-22,,Submitted,State Cabinet,83
APP-0002098,LG-000395,Administrative Approval,2023-10-17,2023-11-27,Approved,Finance Ministry,4
APP-0002099,LG-000395,Environmental Clearance,2023-11-19,2024-01-29,Approved,Finance Ministry,7
APP-0002100,LG-000396,Administrative Approval,2022-11-14,,In Review,State Cabinet,125
APP-0002101,LG-000396,Environmental Clearance,2022-10-15,,Conditionally Approved,Finance Ministry,145
APP-0002102,LG-000396,Land Acquisition Approval,2022-11-03,,In Review,District Collectorate,124
APP-0002103,LG-000396,Financial Approval,2022-12-15,2023-03-24,Approved,Finance Ministry,8
APP-0002104,LG-000396,Government Notification,2022-12-10,,Conditionally Approved,MoEFCC,105
APP-0002105,LG-000396,Administrative Approval,2022-11-12,,Conditionally Approved,State Cabinet,110
APP-0002106,LG-000397,Administrative Approval,2022-01-14,,In Review,District Collectorate,107
APP-0002107,LG-000397,Environmental Clearance,2021-11-29,2022-03-13,Approved,Finance Ministry,10
APP-0002108,LG-000397,Land Acquisition Approval,2021-10-26,2021-12-22,Approved,State Cabinet,14
APP-0002109,LG-000398,Administrative Approval,2024-12-23,,Submitted,Finance Ministry,70
APP-0002110,LG-000398,Environmental Clearance,2024-12-29,,Conditionally Approved,Finance Ministry,116
APP-0002111,LG-000398,Land Acquisition Approval,2025-02-10,2025-04-19,Approved,State Cabinet,11
APP-0002112,LG-000398,Financial Approval,2025-01-13,2025-02-15,Approved,MoEFCC,10
APP-0002113,LG-000398,Government Notification,2024-12-19,2025-01-21,Approved,District Collectorate,3
APP-0002114,LG-000398,Administrative Approval,2025-01-08,2025-03-28,Approved,District Collectorate,7
APP-0002115,LG-000399,Administrative Approval,2023-02-09,2023-05-27,Approved,State Cabinet,15
APP-0002116,LG-000399,Environmental Clearance,2023-03-25,2023-07-04,Approved,District Collectorate,4
APP-0002117,LG-000399,Land Acquisition Approval,2023-04-29,2023-06-11,Approved,Finance Ministry,13
APP-0002118,LG-000399,Financial Approval,2023-02-23,2023-05-28,Approved,State Cabinet,2
APP-0002119,LG-000399,Government Notification,2023-04-27,2023-07-08,Approved,District Collectorate,7
APP-0002120,LG-000399,Administrative Approval,2023-04-07,2023-06-17,Approved,District Collectorate,14
APP-0002121,LG-000399,Environmental Clearance,2023-02-25,2023-05-22,Approved,MoEFCC,11
APP-0002122,LG-000400,Administrative Approval,2024-07-01,2024-09-06,Approved,State Cabinet,11
APP-0002123,LG-000400,Environmental Clearance,2024-07-05,2024-10-24,Approved,District Collectorate,3
APP-0002124,LG-000400,Land Acquisition Approval,2024-08-29,2024-10-04,Approved,District Collectorate,2
APP-0002125,LG-000401,Administrative Approval,2018-05-25,,Conditionally Approved,Finance Ministry,138
APP-0002126,LG-000401,Environmental Clearance,2018-04-11,,Submitted,MoEFCC,107
APP-0002127,LG-000401,Land Acquisition Approval,2018-05-10,2018-06-09,Approved,State Cabinet,7
APP-0002128,LG-000401,Financial Approval,2018-05-22,,In Review,District Collectorate,60
APP-0002129,LG-000401,Government Notification,2018-04-26,,Submitted,MoEFCC,102
APP-0002130,LG-000401,Administrative Approval,2018-04-15,2018-06-21,Approved,MoEFCC,3
APP-0002131,LG-000402,Administrative Approval,2024-07-03,,In Review,State Cabinet,57
APP-0002132,LG-000402,Environmental Clearance,2024-05-16,2024-08-08,Approved,MoEFCC,3
APP-0002133,LG-000402,Land Acquisition Approval,2024-05-22,,Conditionally Approved,Finance Ministry,118
APP-0002134,LG-000402,Financial Approval,2024-06-25,,Submitted,District Collectorate,109
APP-0002135,LG-000402,Government Notification,2024-07-12,,In Review,District Collectorate,91
APP-0002136,LG-000403,Administrative Approval,2024-02-28,2024-05-31,Approved,State Cabinet,10
APP-0002137,LG-000403,Environmental Clearance,2024-05-05,2024-06-05,Approved,Finance Ministry,8
APP-0002138,LG-000403,Land Acquisition Approval,2024-03-28,2024-07-04,Approved,State Cabinet,13
APP-0002139,LG-000403,Financial Approval,2024-04-27,2024-06-19,Approved,Finance Ministry,9
APP-0002140,LG-000403,Government Notification,2024-05-08,2024-08-25,Approved,State Cabinet,15
APP-0002141,LG-000403,Administrative Approval,2024-02-18,2024-05-25,Approved,District Collectorate,2
APP-0002142,LG-000403,Environmental Clearance,2024-04-13,2024-07-16,Approved,State Cabinet,9
APP-0002143,LG-000404,Administrative Approval,2021-08-10,2021-11-08,Approved,MoEFCC,5
APP-0002144,LG-000404,Environmental Clearance,2021-07-21,,In Review,State Cabinet,144
APP-0002145,LG-000404,Land Acquisition Approval,2021-07-13,,Conditionally Approved,State Cabinet,49
APP-0002146,LG-000404,Financial Approval,2021-06-13,,Conditionally Approved,Finance Ministry,94
APP-0002147,LG-000405,Administrative Approval,2022-01-22,,In Review,Finance Ministry,79
APP-0002148,LG-000405,Environmental Clearance,2021-12-14,2022-02-02,Approved,District Collectorate,9
APP-0002149,LG-000405,Land Acquisition Approval,2022-01-04,,In Review,State Cabinet,84
APP-0002150,LG-000405,Financial Approval,2021-11-29,,Conditionally Approved,MoEFCC,58
APP-0002151,LG-000405,Government Notification,2022-02-21,2022-04-17,Approved,MoEFCC,4
APP-0002152,LG-000405,Administrative Approval,2021-12-31,,Submitted,District Collectorate,60
APP-0002153,LG-000405,Environmental Clearance,2022-01-09,2022-03-11,Approved,District Collectorate,15
APP-0002154,LG-000405,Land Acquisition Approval,2021-11-28,,Submitted,MoEFCC,138
APP-0002155,LG-000406,Administrative Approval,2021-12-23,2022-03-08,Approved,State Cabinet,9
APP-0002156,LG-000406,Environmental Clearance,2021-11-26,2021-12-27,Approved,Finance Ministry,13
APP-0002157,LG-000406,Land Acquisition Approval,2022-02-07,2022-04-10,Approved,State Cabinet,7
APP-0002158,LG-000407,Administrative Approval,2021-06-07,2021-08-31,Approved,State Cabinet,14
APP-0002159,LG-000407,Environmental Clearance,2021-07-26,2021-11-09,Approved,MoEFCC,8
APP-0002160,LG-000407,Land Acquisition Approval,2021-08-19,2021-10-27,Approved,Finance Ministry,6
APP-0002161,LG-000408,Administrative Approval,2021-11-05,2022-02-07,Approved,Finance Ministry,13
APP-0002162,LG-000408,Environmental Clearance,2021-10-26,2022-02-01,Approved,Finance Ministry,5
APP-0002163,LG-000408,Land Acquisition Approval,2021-09-13,2022-01-07,Approved,State Cabinet,1
APP-0002164,LG-000409,Administrative Approval,2022-08-01,2022-11-10,Approved,State Cabinet,6
APP-0002165,LG-000409,Environmental Clearance,2022-09-24,2023-01-06,Approved,Finance Ministry,6
APP-0002166,LG-000409,Land Acquisition Approval,2022-07-30,2022-10-20,Approved,Finance Ministry,8
APP-0002167,LG-000409,Financial Approval,2022-08-06,2022-09-09,Approved,State Cabinet,6
APP-0002168,LG-000410,Administrative Approval,2019-03-07,2019-06-01,Approved,Finance Ministry,9
APP-0002169,LG-000410,Environmental Clearance,2019-03-31,2019-05-31,Approved,State Cabinet,0
APP-0002170,LG-000410,Land Acquisition Approval,2019-02-27,2019-05-27,Approved,State Cabinet,4
APP-0002171,LG-000411,Administrative Approval,2025-03-09,2025-06-01,Approved,District Collectorate,12
APP-0002172,LG-000411,Environmental Clearance,2025-03-25,2025-07-06,Approved,District Collectorate,10
APP-0002173,LG-000411,Land Acquisition Approval,2025-03-01,2025-05-28,Approved,MoEFCC,11
APP-0002174,LG-000411,Financial Approval,2025-02-09,2025-03-30,Approved,Finance Ministry,13
APP-0002175,LG-000412,Administrative Approval,2019-03-30,2019-05-21,Approved,State Cabinet,12
APP-0002176,LG-000412,Environmental Clearance,2019-03-22,2019-05-09,Approved,District Collectorate,7
APP-0002177,LG-000412,Land Acquisition Approval,2019-03-06,2019-04-29,Approved,Finance Ministry,6
APP-0002178,LG-000412,Financial Approval,2019-02-08,2019-04-19,Approved,MoEFCC,15
APP-0002179,LG-000412,Government Notification,2019-02-14,2019-04-17,Approved,District Collectorate,2
APP-0002180,LG-000412,Administrative Approval,2019-01-22,2019-03-10,Approved,MoEFCC,13
APP-0002181,LG-000413,Administrative Approval,2022-07-15,2022-08-30,Approved,State Cabinet,12
APP-0002182,LG-000413,Environmental Clearance,2022-07-19,2022-11-05,Approved,MoEFCC,5
APP-0002183,LG-000413,Land Acquisition Approval,2022-05-25,,Submitted,MoEFCC,137
APP-0002184,LG-000414,Administrative Approval,2023-03-18,2023-06-08,Approved,MoEFCC,14
APP-0002185,LG-000414,Environmental Clearance,2023-01-25,2023-05-15,Approved,MoEFCC,2
APP-0002186,LG-000414,Land Acquisition Approval,2023-03-25,2023-06-06,Approved,State Cabinet,0
APP-0002187,LG-000414,Financial Approval,2023-02-05,2023-05-13,Approved,District Collectorate,6
APP-0002188,LG-000415,Administrative Approval,2020-08-20,2020-12-13,Approved,District Collectorate,8
APP-0002189,LG-000415,Environmental Clearance,2020-09-17,,Conditionally Approved,Finance Ministry,80
APP-0002190,LG-000415,Land Acquisition Approval,2020-09-15,2020-10-15,Approved,State Cabinet,14
APP-0002191,LG-000416,Administrative Approval,2025-03-10,2025-05-10,Approved,State Cabinet,7
APP-0002192,LG-000416,Environmental Clearance,2025-03-26,2025-06-20,Approved,Finance Ministry,12
APP-0002193,LG-000416,Land Acquisition Approval,2025-02-13,2025-03-26,Approved,State Cabinet,13
APP-0002194,LG-000417,Administrative Approval,2020-01-24,2020-04-03,Approved,State Cabinet,4
APP-0002195,LG-000417,Environmental Clearance,2020-01-18,,In Review,MoEFCC,81
APP-0002196,LG-000417,Land Acquisition Approval,2020-03-15,2020-07-12,Approved,District Collectorate,3
APP-0002197,LG-000417,Financial Approval,2020-01-09,2020-04-10,Approved,State Cabinet,14
APP-0002198,LG-000417,Government Notification,2020-02-22,2020-03-23,Approved,Finance Ministry,4
APP-0002199,LG-000417,Administrative Approval,2020-01-19,,In Review,District Collectorate,139
APP-0002200,LG-000417,Environmental Clearance,2020-01-31,2020-03-05,Approved,District Collectorate,7
APP-0002201,LG-000418,Administrative Approval,2022-08-04,,In Review,State Cabinet,146
APP-0002202,LG-000418,Environmental Clearance,2022-07-18,,In Review,District Collectorate,108
APP-0002203,LG-000418,Land Acquisition Approval,2022-08-21,,In Review,District Collectorate,90
APP-0002204,LG-000418,Financial Approval,2022-08-14,2022-10-25,Approved,Finance Ministry,14
APP-0002205,LG-000418,Government Notification,2022-09-12,2022-11-12,Approved,District Collectorate,8
APP-0002206,LG-000418,Administrative Approval,2022-07-31,2022-10-18,Approved,District Collectorate,15
APP-0002207,LG-000419,Administrative Approval,2022-12-27,2023-01-28,Approved,MoEFCC,4
APP-0002208,LG-000419,Environmental Clearance,2023-02-20,2023-04-01,Approved,State Cabinet,0
APP-0002209,LG-000419,Land Acquisition Approval,2023-02-09,2023-06-03,Approved,Finance Ministry,12
APP-0002210,LG-000419,Financial Approval,2023-03-04,2023-06-19,Approved,MoEFCC,11
APP-0002211,LG-000419,Government Notification,2023-01-15,2023-04-23,Approved,MoEFCC,4
APP-0002212,LG-000419,Administrative Approval,2022-12-17,2023-02-24,Approved,State Cabinet,9
APP-0002213,LG-000420,Administrative Approval,2018-10-29,2019-01-21,Approved,Finance Ministry,8
APP-0002214,LG-000420,Environmental Clearance,2018-10-08,2018-11-10,Approved,MoEFCC,5
APP-0002215,LG-000420,Land Acquisition Approval,2018-11-21,,Conditionally Approved,District Collectorate,137
APP-0002216,LG-000421,Administrative Approval,2024-10-21,2024-12-22,Approved,State Cabinet,2
APP-0002217,LG-000421,Environmental Clearance,2024-11-15,2025-01-17,Approved,Finance Ministry,7
APP-0002218,LG-000421,Land Acquisition Approval,2024-11-01,2024-12-23,Approved,District Collectorate,12
APP-0002219,LG-000421,Financial Approval,2024-10-28,,Conditionally Approved,State Cabinet,147
APP-0002220,LG-000422,Administrative Approval,2022-12-16,2023-01-24,Approved,Finance Ministry,9
APP-0002221,LG-000422,Environmental Clearance,2022-10-30,2023-01-08,Approved,State Cabinet,11
APP-0002222,LG-000422,Land Acquisition Approval,2022-10-20,2022-12-12,Approved,District Collectorate,14
APP-0002223,LG-000422,Financial Approval,2022-10-20,2022-12-10,Approved,State Cabinet,9
APP-0002224,LG-000422,Government Notification,2022-12-24,2023-02-23,Approved,MoEFCC,4
APP-0002225,LG-000423,Administrative Approval,2023-04-17,2023-07-22,Approved,MoEFCC,13
APP-0002226,LG-000423,Environmental Clearance,2023-04-29,2023-07-09,Approved,Finance Ministry,15
APP-0002227,LG-000423,Land Acquisition Approval,2023-06-02,2023-07-04,Approved,State Cabinet,9
APP-0002228,LG-000423,Financial Approval,2023-05-08,,Submitted,MoEFCC,134
APP-0002229,LG-000424,Administrative Approval,2019-05-15,2019-09-12,Approved,State Cabinet,14
APP-0002230,LG-000424,Environmental Clearance,2019-06-22,2019-07-23,Approved,State Cabinet,3
APP-0002231,LG-000424,Land Acquisition Approval,2019-05-24,2019-08-31,Approved,State Cabinet,11
APP-0002232,LG-000424,Financial Approval,2019-04-16,2019-06-06,Approved,State Cabinet,11
APP-0002233,LG-000425,Administrative Approval,2022-01-09,2022-03-02,Approved,Finance Ministry,6
APP-0002234,LG-000425,Environmental Clearance,2022-02-02,2022-03-25,Approved,Finance Ministry,14
APP-0002235,LG-000425,Land Acquisition Approval,2022-03-06,2022-05-15,Approved,MoEFCC,15
APP-0002236,LG-000425,Financial Approval,2022-02-11,2022-04-21,Approved,State Cabinet,2
APP-0002237,LG-000426,Administrative Approval,2022-10-07,2023-01-30,Approved,State Cabinet,14
APP-0002238,LG-000426,Environmental Clearance,2022-10-06,2022-11-19,Approved,MoEFCC,8
APP-0002239,LG-000426,Land Acquisition Approval,2022-10-10,2022-11-28,Approved,MoEFCC,8
APP-0002240,LG-000426,Financial Approval,2022-11-01,2022-12-21,Approved,MoEFCC,8
APP-0002241,LG-000426,Government Notification,2022-10-04,2022-12-14,Approved,District Collectorate,3
APP-0002242,LG-000426,Administrative Approval,2022-09-11,2022-11-08,Approved,District Collectorate,9
