timeline_id,project_id,stage_name,planned_start_date,planned_end_date,actual_start_date,actual_end_date,stage_status,responsible_department,planned_duration_days,actual_duration_days,stage_delay_days
TL-0003371,LG-000307,Notification,2020-09-13,2020-11-12,2020-09-13,2020-11-23,Completed,Irrigation Department,60,71,11
TL-0003372,LG-000307,Objection/Hearing,2020-11-17,2020-12-23,2020-11-17,2021-01-02,Completed,Finance Department,36,46,10
TL-0003373,LG-000307,Compensation,2020-12-28,2021-01-30,2020-12-28,,In Progress,Public Works Dept,33,0,1
TL-0003374,LG-000307,Legal Resolution,2021-02-04,2021-04-27,,,Not Started,Public Works Dept,82,0,0
TL-0003375,LG-000307,R&R,2021-05-02,2021-06-22,,,Not Started,Irrigation Department,51,0,0
TL-0003376,LG-000307,Possession,2021-06-27,2021-10-11,,,Not Started,Public Works Dept,106,0,0
TL-0003377,LG-000307,Final Handover,2021-10-16,2022-01-23,,,Not Started,Irrigation Department,99,0,0
TL-0003378,LG-000308,Land Identification,2018-10-27,2019-01-04,2018-10-27,,In Progress,Finance Department,69,0,9
TL-0003379,LG-000308,Survey,2019-01-09,2019-03-12,,,Not Started,Environmental Cell,62,0,0
TL-0003380,LG-000308,Documentation,2019-03-17,2019-06-18,,,Not Started,Revenue Department,93,0,0
TL-0003381,LG-000308,Approval,2019-06-23,2019-08-01,,,Not Started,Finance Department,39,0,0
TL-0003382,LG-000308,Notification,2019-08-06,2019-09-25,,,Not Started,Public Works Dept,50,0,0
TL-0003383,LG-000308,Objection/Hearing,2019-09-30,2020-01-15,,,Not Started,Legal Affairs,107,0,0
TL-0003384,LG-000308,Compensation,2020-01-20,2020-04-25,,,Not Started,Finance Department,96,0,0
TL-0003385,LG-000308,Legal Resolution,2020-04-30,2020-08-10,,,Not Started,Revenue Department,102,0,0
TL-0003386,LG-000308,R&R,2020-08-15,2020-11-04,,,Not Started,R&R Authority,81,0,0
TL-0003387,LG-000308,Possession,2020-11-09,2021-01-30,,,Not Started,Legal Affairs,82,0,0
TL-0003388,LG-000308,Final Handover,2021-02-04,2021-04-15,,,Not Started,Environmental Cell,70,0,0
TL-0003389,LG-000309,Land Identification,2021-10-25,2021-12-19,2021-10-25,2022-03-08,Completed,R&R Authority,55,134,79
TL-0003390,LG-000309,Survey,2021-12-24,2022-04-16,2021-12-24,2022-06-04,Completed,Finance Department,113,162,49
TL-0003391,LG-000309,Documentation,2022-04-21,2022-07-25,2022-04-21,2022-11-14,Completed,Land Records Cell,95,207,112
TL-0003392,LG-000309,Approval,2022-07-30,2022-10-30,2022-07-30,,In Progress,Land Records Cell,92,0,81
TL-0003393,LG-000309,Notification,2022-11-04,2022-12-11,,,Not Started,Environmental Cell,37,0,0
TL-0003394,LG-000309,Objection/Hearing,2022-12-16,2023-01-22,,,Not Started,Public Works Dept,37,0,0
TL-0003395,LG-000309,Compensation,2023-01-27,2023-04-29,,,Not Started,R&R Authority,92,0,0
TL-0003396,LG-000309,Legal Resolution,2023-05-04,2023-07-06,,,Not Started,Land Records Cell,63,0,0
TL-0003397,LG-000309,R&R,2023-07-11,2023-08-25,,,Not Started,Irrigation Department,45,0,0
TL-0003398,LG-000309,Possession,2023-08-30,2023-11-25,,,Not Started,Irrigation Department,87,0,0
TL-0003399,LG-000309,Final Handover,2023-11-30,2024-02-28,,,Not Started,Land Records Cell,90,0,0
TL-0003400,LG-000310,Land Identification,2019-10-15,2020-02-06,2019-10-15,2020-04-22,Completed,Revenue Department,114,190,76
TL-0003401,LG-000310,Survey,2020-02-11,2020-03-30,2020-02-11,,In Progress,Land Records Cell,48,0,47
TL-0003402,LG-000310,Documentation,2020-04-04,2020-06-05,,,Not Started,Revenue Department,62,0,0
TL-0003403,LG-000310,Approval,2020-06-10,2020-10-03,,,Not Started,Irrigation Department,115,0,0
TL-0003404,LG-000310,Notification,2020-10-08,2021-01-25,,,Not Started,Revenue Department,109,0,0
TL-0003405,LG-000310,Objection/Hearing,2021-01-30,2021-05-16,,,Not Started,Finance Department,106,0,0
TL-0003406,LG-000310,Compensation,2021-05-21,2021-07-20,,,Not Started,Land Records Cell,60,0,0
TL-0003407,LG-000310,Legal Resolution,2021-07-25,2021-09-22,,,Not Started,Public Works Dept,59,0,0
TL-0003408,LG-000310,R&R,2021-09-27,2021-11-09,,,Not Started,Environmental Cell,43,0,0
TL-0003409,LG-000310,Possession,2021-11-14,2022-03-09,,,Not Started,Legal Affairs,115,0,0
TL-0003410,LG-000310,Final Handover,2022-03-14,2022-06-05,,,Not Started,Revenue Department,83,0,0
TL-0003411,LG-000311,Land Identification,2022-03-06,2022-04-24,2022-03-06,2022-05-01,Completed,Finance Department,49,56,7
TL-0003412,LG-000311,Survey,2022-04-29,2022-08-01,2022-04-29,2022-08-12,Completed,Legal Affairs,94,105,11
TL-0003413,LG-000311,Documentation,2022-08-06,2022-10-29,2022-08-06,2022-11-12,Completed,Land Records Cell,84,98,14
TL-0003414,LG-000311,Approval,2022-11-03,2022-12-24,2022-11-03,2022-12-30,Completed,Revenue Department,51,57,6
TL-0003415,LG-000311,Notification,2022-12-29,2023-02-06,2022-12-29,2023-02-19,Completed,Finance Department,39,52,13
TL-0003416,LG-000311,Objection/Hearing,2023-02-11,2023-04-21,2023-02-11,2023-04-28,Completed,Revenue Department,69,76,7
TL-0003417,LG-000311,Compensation,2023-04-26,2023-06-14,2023-04-26,2023-06-17,Completed,Environmental Cell,49,52,3
TL-0003418,LG-000311,Legal Resolution,2023-06-19,2023-07-22,2023-06-19,,In Progress,R&R Authority,33,0,6
TL-0003419,LG-000311,R&R,2023-07-27,2023-09-25,,,Not Started,Environmental Cell,60,0,0
TL-0003420,LG-000311,Possession,2023-09-30,2023-12-24,,,Not Started,Finance Department,85,0,0
TL-0003421,LG-000311,Final Handover,2023-12-29,2024-02-26,,,Not Started,Legal Affairs,59,0,0
TL-0003422,LG-000312,Land Identification,2022-02-15,2022-04-04,2022-02-15,2022-07-29,Completed,Finance Department,48,164,116
TL-0003423,LG-000312,Survey,2022-04-09,2022-05-31,2022-04-09,2022-09-11,Completed,Environmental Cell,52,155,103
TL-0003424,LG-000312,Documentation,2022-06-05,2022-07-12,2022-06-05,2022-12-06,Completed,Environmental Cell,37,184,147
TL-0003425,LG-000312,Approval,2022-07-17,2022-10-28,2022-07-17,2023-01-08,Completed,Legal Affairs,103,175,72
TL-0003426,LG-000312,Notification,2022-11-02,2023-01-14,2022-11-02,2023-05-21,Completed,Irrigation Department,73,200,127
TL-0003427,LG-000312,Objection/Hearing,2023-01-19,2023-04-14,2023-01-19,2023-08-05,Completed,Finance Department,85,198,113
TL-0003428,LG-000312,Compensation,2023-04-19,2023-06-10,2023-04-19,2023-09-13,Completed,Land Records Cell,52,147,95
TL-0003429,LG-000312,Legal Resolution,2023-06-15,2023-08-17,2023-06-15,2023-10-14,Completed,Irrigation Department,63,121,58
TL-0003430,LG-000312,R&R,2023-08-22,2023-10-30,2023-08-22,2024-02-13,Completed,Public Works Dept,69,175,106
TL-0003431,LG-000312,Possession,2023-11-04,2024-02-21,2023-11-04,,In Progress,Land Records Cell,109,0,52
TL-0003432,LG-000312,Final Handover,2024-02-26,2024-05-23,,,Not Started,Legal Affairs,87,0,0
TL-0003433,LG-000313,Land Identification,2022-05-09,2022-08-24,2022-05-09,,In Progress,Legal Affairs,107,0,5
TL-0003434,LG-000313,Survey,2022-08-29,2022-10-13,,,Not Started,Revenue Department,45,0,0
TL-0003435,LG-000313,Documentation,2022-10-18,2023-01-14,,,Not Started,Environmental Cell,88,0,0
TL-0003436,LG-000313,Approval,2023-01-19,2023-04-01,,,Not Started,Irrigation Department,72,0,0
TL-0003437,LG-000313,Notification,2023-04-06,2023-07-28,,,Not Started,Legal Affairs,113,0,0
TL-0003438,LG-000313,Objection/Hearing,2023-08-02,2023-10-29,,,Not Started,Revenue Department,88,0,0
TL-0003439,LG-000313,Compensation,2023-11-03,2023-12-24,,,Not Started,Finance Department,51,0,0
TL-0003440,LG-000313,Legal Resolution,2023-12-29,2024-04-23,,,Not Started,Environmental Cell,116,0,0
TL-0003441,LG-000313,R&R,2024-04-28,2024-08-24,,,Not Started,Environmental Cell,118,0,0
TL-0003442,LG-000313,Possession,2024-08-29,2024-10-12,,,Not Started,Irrigation Department,44,0,0
TL-0003443,LG-000313,Final Handover,2024-10-17,2025-01-13,,,Not Started,R&R Authority,88,0,0
TL-0003444,LG-000314,Land Identification,2019-04-11,2019-08-02,2019-04-11,2019-09-22,Completed,Environmental Cell,113,164,51
TL-0003445,LG-000314,Survey,2019-08-07,2019-09-07,2019-08-07,2019-10-26,Completed,Environmental Cell,31,80,49
TL-0003446,LG-000314,Documentation,2019-09-12,2019-11-14,2019-09-12,2020-02-26,Completed,Irrigation Department,63,167,104
TL-0003447,LG-000314,Approval,2019-11-19,2020-01-27,2019-11-19,2020-03-21,Completed,Finance Department,69,123,54
TL-0003448,LG-000314,Notification,2020-02-01,2020-03-10,2020-02-01,2020-07-11,Completed,Legal Affairs,38,161,123
TL-0003449,LG-000314,Objection/Hearing,2020-03-15,2020-05-20,2020-03-15,2020-08-06,Completed,Public Works Dept,66,144,78
TL-0003450,LG-000314,Compensation,2020-05-25,2020-09-07,2020-05-25,2020-12-04,Completed,Land Records Cell,105,193,88
TL-0003451,LG-000314,Legal Resolution,2020-09-12,2020-12-19,2020-09-12,2021-04-13,Completed,Revenue Department,98,213,115
TL-0003452,LG-000314,R&R,2020-12-24,2021-03-26,2020-12-24,2021-08-02,Completed,Public Works Dept,92,221,129
TL-0003453,LG-000314,Possession,2021-03-31,2021-05-08,2021-03-31,2021-07-27,Completed,Environmental Cell,38,118,80
TL-0003454,LG-000314,Final Handover,2021-05-13,2021-07-12,2021-05-13,,In Progress,Public Works Dept,60,0,52
TL-0003455,LG-000315,Land Identification,2024-09-22,2024-10-22,2024-09-22,2024-10-27,Completed,Public Works Dept,30,35,5
TL-0003456,LG-000315,Survey,2024-10-27,2025-01-16,2024-10-27,2025-01-31,Completed,Public Works Dept,81,96,15
TL-0003457,LG-000315,Documentation,2025-01-21,2025-05-11,2025-01-21,2025-05-24,Completed,Public Works Dept,110,123,13
TL-0003458,LG-000315,Approval,2025-05-16,2025-08-09,2025-05-16,2025-08-22,Completed,Land Records Cell,85,98,13
TL-0003459,LG-000315,Notification,2025-08-14,2025-11-08,2025-08-14,2025-11-22,Completed,Revenue Department,86,100,14
TL-0003460,LG-000315,Objection/Hearing,2025-11-13,2025-12-15,2025-11-13,,In Progress,Finance Department,32,0,1
TL-0003461,LG-000315,Compensation,2025-12-20,2026-02-22,,,Not Started,Legal Affairs,64,0,0
TL-0003462,LG-000315,Legal Resolution,2026-02-27,2026-04-23,,,Not Started,Public Works Dept,55,0,0
TL-0003463,LG-000315,R&R,2026-04-28,2026-06-13,,,Not Started,Environmental Cell,46,0,0
TL-0003464,LG-000315,Possession,2026-06-18,2026-07-29,,,Not Started,Finance Department,41,0,0
TL-0003465,LG-000315,Final Handover,2026-08-03,2026-10-11,,,Not Started,Revenue Department,69,0,0
TL-0003466,LG-000316,Land Identification,2018-06-17,2018-09-29,2018-06-17,2018-10-14,Completed,Land Records Cell,104,119,15
TL-0003467,LG-000316,Survey,2018-10-04,2018-12-24,2018-10-04,2019-01-07,Completed,Finance Department,81,95,14
TL-0003468,LG-000316,Documentation,2018-12-29,2019-03-13,2018-12-29,2019-03-21,Completed,Land Records Cell,74,82,8
TL-0003469,LG-000316,Approval,2019-03-18,2019-04-27,2019-03-18,2019-05-06,Completed,Finance Department,40,49,9
TL-0003470,LG-000316,Notification,2019-05-02,2019-07-21,2019-05-02,2019-07-26,Completed,Finance Department,80,85,5
TL-0003471,LG-000316,Objection/Hearing,2019-07-26,2019-11-16,2019-07-26,2019-11-24,Completed,Irrigation Department,113,121,8
TL-0003472,LG-000316,Compensation,2019-11-21,2020-03-09,2019-11-21,2020-03-23,Completed,Land Records Cell,109,123,14
TL-0003473,LG-000316,Legal Resolution,2020-03-14,2020-06-03,2020-03-14,2020-06-06,Completed,Finance Department,81,84,3
TL-0003474,LG-000316,R&R,2020-06-08,2020-07-18,2020-06-08,,In Progress,Environmental Cell,40,0,0
TL-0003475,LG-000316,Possession,2020-07-23,2020-11-19,,,Not Started,Finance Department,119,0,0
TL-0003476,LG-000316,Final Handover,2020-11-24,2021-02-17,,,Not Started,Public Works Dept,85,0,0
TL-0003477,LG-000317,Land Identification,2020-09-14,2020-12-23,2020-09-14,2020-12-30,Completed,R&R Authority,100,107,7
TL-0003478,LG-000317,Survey,2020-12-28,2021-03-16,2020-12-28,2021-03-20,Completed,Irrigation Department,78,82,4
TL-0003479,LG-000317,Documentation,2021-03-21,2021-04-27,2021-03-21,2021-05-09,Completed,Public Works Dept,37,49,12
TL-0003480,LG-000317,Approval,2021-05-02,2021-08-06,2021-05-02,2021-08-13,Completed,Irrigation Department,96,103,7
TL-0003481,LG-000317,Notification,2021-08-11,2021-11-04,2021-08-11,2021-11-17,Completed,Land Records Cell,85,98,13
TL-0003482,LG-000317,Objection/Hearing,2021-11-09,2021-12-22,2021-11-09,2022-01-06,Completed,Irrigation Department,43,58,15
TL-0003483,LG-000317,Compensation,2021-12-27,2022-04-15,2021-12-27,2022-04-26,Completed,Public Works Dept,109,120,11
TL-0003484,LG-000317,Legal Resolution,2022-04-20,2022-07-26,2022-04-20,2022-08-09,Completed,R&R Authority,97,111,14
TL-0003485,LG-000317,R&R,2022-07-31,2022-10-28,2022-07-31,,In Progress,Finance Department,89,0,9
TL-0003486,LG-000317,Possession,2022-11-02,2023-02-20,,,Not Started,R&R Authority,110,0,0
TL-0003487,LG-000317,Final Handover,2023-02-25,2023-05-04,,,Not Started,Irrigation Department,68,0,0
TL-0003488,LG-000318,Land Identification,2023-09-10,2023-11-29,2023-09-10,2023-12-10,Completed,Public Works Dept,80,91,11
TL-0003489,LG-000318,Survey,2023-12-04,2024-01-28,2023-12-04,2024-01-28,Completed,R&R Authority,55,55,0
TL-0003490,LG-000318,Documentation,2024-02-02,2024-04-28,2024-02-02,,In Progress,Public Works Dept,86,0,7
TL-0003491,LG-000318,Approval,2024-05-03,2024-08-20,,,Not Started,Legal Affairs,109,0,0
TL-0003492,LG-000318,Notification,2024-08-25,2024-10-30,,,Not Started,Irrigation Department,66,0,0
TL-0003493,LG-000318,Objection/Hearing,2024-11-04,2025-02-02,,,Not Started,Legal Affairs,90,0,0
TL-0003494,LG-000318,Compensation,2025-02-07,2025-04-23,,,Not Started,R&R Authority,75,0,0
TL-0003495,LG-000318,Legal Resolution,2025-04-28,2025-08-02,,,Not Started,Environmental Cell,96,0,0
TL-0003496,LG-000318,R&R,2025-08-07,2025-10-17,,,Not Started,Irrigation Department,71,0,0
TL-0003497,LG-000318,Possession,2025-10-22,2025-12-11,,,Not Started,Finance Department,50,0,0
TL-0003498,LG-000318,Final Handover,2025-12-16,2026-04-10,,,Not Started,Finance Department,115,0,0
TL-0003499,LG-000319,Land Identification,2023-07-28,2023-10-20,2023-07-28,2023-10-20,Completed,R&R Authority,84,84,0
TL-0003500,LG-000319,Survey,2023-10-25,2024-02-05,2023-10-25,2024-02-18,Completed,Finance Department,103,116,13
TL-0003501,LG-000319,Documentation,2024-02-10,2024-05-23,2024-02-10,2024-05-27,Completed,R&R Authority,103,107,4
TL-0003502,LG-000319,Approval,2024-05-28,2024-07-27,2024-05-28,2024-07-28,Completed,Environmental Cell,60,61,1
TL-0003503,LG-000319,Notification,2024-08-01,2024-10-11,2024-08-01,2024-10-18,Completed,Revenue Department,71,78,7
TL-0003504,LG-000319,Objection/Hearing,2024-10-16,2024-11-17,2024-10-16,2024-11-28,Completed,Irrigation Department,32,43,11
TL-0003505,LG-000319,Compensation,2024-11-22,2025-01-19,2024-11-22,2025-01-21,Completed,R&R Authority,58,60,2
TL-0003506,LG-000319,Legal Resolution,2025-01-24,2025-05-17,2025-01-24,2025-05-31,Completed,Revenue Department,113,127,14
TL-0003507,LG-000319,R&R,2025-05-22,2025-07-25,2025-05-22,2025-07-26,Completed,Irrigation Department,64,65,1
TL-0003508,LG-000319,Possession,2025-07-30,2025-11-09,2025-07-30,,In Progress,Environmental Cell,102,0,2
TL-0003509,LG-000319,Final Handover,2025-11-14,2026-01-04,,,Not Started,Irrigation Department,51,0,0
TL-0003510,LG-000320,Land Identification,2021-05-13,2021-07-02,2021-05-13,2021-07-15,Completed,Environmental Cell,50,63,13
TL-0003511,LG-000320,Survey,2021-07-07,2021-09-04,2021-07-07,2021-09-19,Completed,R&R Authority,59,74,15
TL-0003512,LG-000320,Documentation,2021-09-09,2021-11-04,2021-09-09,,In Progress,Legal Affairs,56,0,4
TL-0003513,LG-000320,Approval,2021-11-09,2022-02-19,,,Not Started,R&R Authority,102,0,0
TL-0003514,LG-000320,Notification,2022-02-24,2022-04-15,,,Not Started,R&R Authority,50,0,0
TL-0003515,LG-000320,Objection/Hearing,2022-04-20,2022-06-15,,,Not Started,Legal Affairs,56,0,0
TL-0003516,LG-000320,Compensation,2022-06-20,2022-10-08,,,Not Started,Public Works Dept,110,0,0
TL-0003517,LG-000320,Legal Resolution,2022-10-13,2022-12-24,,,Not Started,Environmental Cell,72,0,0
TL-0003518,LG-000320,R&R,2022-12-29,2023-04-27,,,Not Started,Environmental Cell,119,0,0
TL-0003519,LG-000320,Possession,2023-05-02,2023-07-29,,,Not Started,Finance Department,88,0,0
TL-0003520,LG-000320,Final Handover,2023-08-03,2023-10-05,,,Not Started,Revenue Department,63,0,0
TL-0003521,LG-000321,Land Identification,2020-05-05,2020-08-05,2020-05-05,,In Progress,Finance Department,92,0,0
TL-0003522,LG-000321,Survey,2020-08-10,2020-10-18,,,Not Started,R&R Authority,69,0,0
TL-0003523,LG-000321,Documentation,2020-10-23,2021-01-23,,,Not Started,Irrigation Department,92,0,0
TL-0003524,LG-000321,Approval,2021-01-28,2021-03-06,,,Not Started,Revenue Department,37,0,0
TL-0003525,LG-000321,Notification,2021-03-11,2021-07-05,,,Not Started,R&R Authority,116,0,0
TL-0003526,LG-000321,Objection/Hearing,2021-07-10,2021-08-22,,,Not Started,Irrigation Department,43,0,0
TL-0003527,LG-000321,Compensation,2021-08-27,2021-10-23,,,Not Started,Legal Affairs,57,0,0
TL-0003528,LG-000321,Legal Resolution,2021-10-28,2022-01-14,,,Not Started,Public Works Dept,78,0,0
TL-0003529,LG-000321,R&R,2022-01-19,2022-02-26,,,Not Started,Revenue Department,38,0,0
TL-0003530,LG-000321,Possession,2022-03-03,2022-06-09,,,Not Started,Environmental Cell,98,0,0
TL-0003531,LG-000321,Final Handover,2022-06-14,2022-08-13,,,Not Started,Environmental Cell,60,0,0
TL-0003532,LG-000322,Land Identification,2019-11-15,2020-02-14,2019-11-15,2020-05-15,Completed,Environmental Cell,91,182,91
TL-0003533,LG-000322,Survey,2020-02-19,2020-06-03,2020-02-19,2020-09-05,Completed,Land Records Cell,105,199,94
TL-0003534,LG-000322,Documentation,2020-06-08,2020-07-17,2020-06-08,2020-12-01,Completed,Finance Department,39,176,137
TL-0003535,LG-000322,Approval,2020-07-22,2020-09-05,2020-07-22,2021-01-27,Completed,Public Works Dept,45,189,144
TL-0003536,LG-000322,Notification,2020-09-10,2020-12-27,2020-09-10,2021-03-27,Completed,Revenue Department,108,198,90
TL-0003537,LG-000322,Objection/Hearing,2021-01-01,2021-04-11,2021-01-01,,Delayed,Environmental Cell,100,0,44
TL-0003538,LG-000322,Compensation,2021-04-16,2021-05-24,,,Not Started,R&R Authority,38,0,0
TL-0003539,LG-000322,Legal Resolution,2021-05-29,2021-08-21,,,Not Started,Environmental Cell,84,0,0
TL-0003540,LG-000322,R&R,2021-08-26,2021-12-24,,,Not Started,Environmental Cell,120,0,0
TL-0003541,LG-000322,Possession,2021-12-29,2022-03-04,,,Not Started,Land Records Cell,65,0,0
TL-0003542,LG-000322,Final Handover,2022-03-09,2022-05-26,,,Not Started,Legal Affairs,78,0,0
TL-0003543,LG-000323,Land Identification,2020-06-01,2020-09-02,2020-06-01,2020-11-29,Completed,Irrigation Department,93,181,88
TL-0003544,LG-000323,Survey,2020-09-07,2020-10-13,2020-09-07,,Delayed,Public Works Dept,36,0,44
TL-0003545,LG-000323,Documentation,2020-10-18,2020-12-05,,,Not Started,Finance Department,48,0,0
TL-0003546,LG-000323,Approval,2020-12-10,2021-04-07,,,Not Started,Environmental Cell,118,0,0
TL-0003547,LG-000323,Notification,2021-04-12,2021-07-07,,,Not Started,Legal Affairs,86,0,0
TL-0003548,LG-000323,Objection/Hearing,2021-07-12,2021-08-19,,,Not Started,Irrigation Department,38,0,0
TL-0003549,LG-000323,Compensation,2021-08-24,2021-10-11,,,Not Started,Land Records Cell,48,0,0
TL-0003550,LG-000323,Legal Resolution,2021-10-16,2021-12-17,,,Not Started,Legal Affairs,62,0,0
TL-0003551,LG-000323,R&R,2021-12-22,2022-02-26,,,Not Started,Finance Department,66,0,0
TL-0003552,LG-000323,Possession,2022-03-03,2022-06-07,,,Not Started,Land Records Cell,96,0,0
TL-0003553,LG-000323,Final Handover,2022-06-12,2022-09-04,,,Not Started,R&R Authority,84,0,0
TL-0003554,LG-000324,Land Identification,2021-08-20,2021-11-03,2021-08-20,2022-02-03,Completed,Legal Affairs,75,167,92
TL-0003555,LG-000324,Survey,2021-11-08,2022-01-23,2021-11-08,2022-06-17,Completed,Revenue Department,76,221,145
TL-0003556,LG-000324,Documentation,2022-01-28,2022-04-13,2022-01-28,2022-08-19,Completed,Environmental Cell,75,203,128
TL-0003557,LG-000324,Approval,2022-04-18,2022-07-23,2022-04-18,,Delayed,Public Works Dept,96,0,55
TL-0003558,LG-000324,Notification,2022-07-28,2022-08-28,,,Not Started,Irrigation Department,31,0,0
TL-0003559,LG-000324,Objection/Hearing,2022-09-02,2022-11-08,,,Not Started,Public Works Dept,67,0,0
TL-0003560,LG-000324,Compensation,2022-11-13,2023-03-06,,,Not Started,Irrigation Department,113,0,0
TL-0003561,LG-000324,Legal Resolution,2023-03-11,2023-04-29,,,Not Started,Irrigation Department,49,0,0
TL-0003562,LG-000324,R&R,2023-05-04,2023-07-26,,,Not Started,Irrigation Department,83,0,0
TL-0003563,LG-000324,Possession,2023-07-31,2023-10-15,,,Not Started,Environmental Cell,76,0,0
TL-0003564,LG-000324,Final Handover,2023-10-20,2023-12-09,,,Not Started,Revenue Department,50,0,0
TL-0003565,LG-000325,Land Identification,2021-11-05,2021-12-31,2021-11-05,,In Progress,R&R Authority,56,0,4
TL-0003566,LG-000325,Survey,2022-01-05,2022-03-26,,,Not Started,Revenue Department,80,0,0
TL-0003567,LG-000325,Documentation,2022-03-31,2022-05-29,,,Not Started,Revenue Department,59,0,0
TL-0003568,LG-000325,Approval,2022-06-03,2022-09-13,,,Not Started,Revenue Department,102,0,0
TL-0003569,LG-000325,Notification,2022-09-18,2022-11-02,,,Not Started,Public Works Dept,45,0,0
TL-0003570,LG-000325,Objection/Hearing,2022-11-07,2022-12-19,,,Not Started,Finance Department,42,0,0
TL-0003571,LG-000325,Compensation,2022-12-24,2023-02-05,,,Not Started,Finance Department,43,0,0
TL-0003572,LG-000325,Legal Resolution,2023-02-10,2023-03-23,,,Not Started,Revenue Department,41,0,0
TL-0003573,LG-000325,R&R,2023-03-28,2023-05-26,,,Not Started,R&R Authority,59,0,0
TL-0003574,LG-000325,Possession,2023-05-31,2023-07-26,,,Not Started,Land Records Cell,56,0,0
TL-0003575,LG-000325,Final Handover,2023-07-31,2023-09-27,,,Not Started,Irrigation Department,58,0,0
TL-0003576,LG-000326,Land Identification,2021-11-04,2022-01-24,2021-11-04,2022-05-09,Completed,Public Works Dept,81,186,105
TL-0003577,LG-000326,Survey,2022-01-29,2022-05-18,2022-01-29,2022-08-27,Completed,Finance Department,109,210,101
TL-0003578,LG-000326,Documentation,2022-05-23,2022-08-17,2022-05-23,2022-12-23,Completed,Revenue Department,86,214,128
TL-0003579,LG-000326,Approval,2022-08-22,2022-10-29,2022-08-22,2023-03-22,Completed,Environmental Cell,68,212,144
TL-0003580,LG-000326,Notification,2022-11-03,2023-01-16,2022-11-03,2023-05-27,Completed,Land Records Cell,74,205,131
TL-0003581,LG-000326,Objection/Hearing,2023-01-21,2023-05-03,2023-01-21,2023-08-26,Completed,Legal Affairs,102,217,115
TL-0003582,LG-000326,Compensation,2023-05-08,2023-06-29,2023-05-08,2023-10-21,Completed,Revenue Department,52,166,114
TL-0003583,LG-000326,Legal Resolution,2023-07-04,2023-09-02,2023-07-04,2023-10-15,Completed,R&R Authority,60,103,43
TL-0003584,LG-000326,R&R,2023-09-07,2023-12-23,2023-09-07,,Delayed,R&R Authority,107,0,66
TL-0003585,LG-000326,Possession,2023-12-28,2024-04-14,,,Not Started,Irrigation Department,108,0,0
TL-0003586,LG-000326,Final Handover,2024-04-19,2024-08-16,,,Not Started,Legal Affairs,119,0,0
TL-0003587,LG-000327,Land Identification,2022-08-02,2022-09-13,2022-08-02,2023-01-11,Completed,Finance Department,42,162,120
TL-0003588,LG-000327,Survey,2022-09-18,2022-12-03,2022-09-18,2023-03-27,Completed,Legal Affairs,76,190,114
TL-0003589,LG-000327,Documentation,2022-12-08,2023-01-25,2022-12-08,2023-03-19,Completed,Irrigation Department,48,101,53
TL-0003590,LG-000327,Approval,2023-01-30,2023-04-20,2023-01-30,2023-06-18,Completed,Revenue Department,80,139,59
TL-0003591,LG-000327,Notification,2023-04-25,2023-08-10,2023-04-25,2023-11-21,Completed,Legal Affairs,107,210,103
TL-0003592,LG-000327,Objection/Hearing,2023-08-15,2023-12-03,2023-08-15,2024-04-18,Completed,Land Records Cell,110,247,137
TL-0003593,LG-000327,Compensation,2023-12-08,2024-03-03,2023-12-08,,In Progress,R&R Authority,86,0,80
TL-0003594,LG-000327,Legal Resolution,2024-03-08,2024-05-30,,,Not Started,Irrigation Department,83,0,0
TL-0003595,LG-000327,R&R,2024-06-04,2024-09-30,,,Not Started,Revenue Department,118,0,0
TL-0003596,LG-000327,Possession,2024-10-05,2024-11-10,,,Not Started,Finance Department,36,0,0
TL-0003597,LG-000327,Final Handover,2024-11-15,2024-12-31,,,Not Started,Revenue Department,46,0,0
TL-0003598,LG-000328,Land Identification,2019-09-23,2020-01-15,2019-09-23,2020-03-18,Completed,Revenue Department,114,177,63
TL-0003599,LG-000328,Survey,2020-01-20,2020-04-24,2020-01-20,2020-07-21,Completed,Finance Department,95,183,88
TL-0003600,LG-000328,Documentation,2020-04-29,2020-08-27,2020-04-29,2020-11-16,Completed,Revenue Department,120,201,81
TL-0003601,LG-000328,Approval,2020-09-01,2020-10-16,2020-09-01,2021-02-10,Completed,Public Works Dept,45,162,117
TL-0003602,LG-000328,Notification,2020-10-21,2020-12-15,2020-10-21,2021-04-15,Completed,Irrigation Department,55,176,121
TL-0003603,LG-000328,Objection/Hearing,2020-12-20,2021-02-26,2020-12-20,2021-05-04,Completed,R&R Authority,68,135,67
TL-0003604,LG-000328,Compensation,2021-03-03,2021-05-19,2021-03-03,,In Progress,Land Records Cell,77,0,108
TL-0003605,LG-000328,Legal Resolution,2021-05-24,2021-08-03,,,Not Started,Public Works Dept,71,0,0
TL-0003606,LG-000328,R&R,2021-08-08,2021-09-27,,,Not Started,Finance Department,50,0,0
TL-0003607,LG-000328,Possession,2021-10-02,2021-12-24,,,Not Started,Public Works Dept,83,0,0
TL-0003608,LG-000328,Final Handover,2021-12-29,2022-04-18,,,Not Started,Legal Affairs,110,0,0
TL-0003609,LG-000329,Land Identification,2022-04-08,2022-07-19,2022-04-08,,Delayed,Finance Department,102,0,40
TL-0003610,LG-000329,Survey,2022-07-24,2022-09-28,,,Not Started,R&R Authority,66,0,0
TL-0003611,LG-000329,Documentation,2022-10-03,2022-11-19,,,Not Started,Environmental Cell,47,0,0
